team1,team2,result1,result2,date_of_match,reference
GamerLegion,forZe,0,2,2022-08-21,/matches/2358035/gamerlegion-vs-forze-iem-road-to-rio-2022-europe-open-qualifier-2
K23,1WIN,2,0,2022-08-21,/matches/2358034/k23-vs-1win-iem-road-to-rio-2022-europe-open-qualifier-2
Endpoint,Monte,0,2,2022-08-21,/matches/2358037/endpoint-vs-monte-iem-road-to-rio-2022-europe-open-qualifier-2
MIBR Academy,Capivara Strong,1,0,2022-08-21,/matches/2358190/mibr-academy-vs-capivara-strong-cct-south-america-series-1
HAVU,Into the Breach,16,13,2022-08-21,/matches/2358031/havu-vs-into-the-breach-iem-road-to-rio-2022-europe-open-qualifier-2
SAW,1WIN,20,22,2022-08-21,/matches/2358027/saw-vs-1win-iem-road-to-rio-2022-europe-open-qualifier-2
fnatic,AGO,16,3,2022-08-21,/matches/2358030/fnatic-vs-ago-iem-road-to-rio-2022-europe-open-qualifier-2
forZe,UNGENTIUM,19,17,2022-08-21,/matches/2358029/forze-vs-ungentium-iem-road-to-rio-2022-europe-open-qualifier-2
eSuba,Monte,15,19,2022-08-21,/matches/2358033/esuba-vs-monte-iem-road-to-rio-2022-europe-open-qualifier-2
Los Grandes Academy,Isurus,0,2,2022-08-21,/matches/2358189/los-grandes-academy-vs-isurus-cct-south-america-series-1
K23,SC,16,2,2022-08-21,/matches/2358026/k23-vs-sc-iem-road-to-rio-2022-europe-open-qualifier-2
Endpoint,9INE,16,11,2022-08-21,/matches/2358032/endpoint-vs-9ine-iem-road-to-rio-2022-europe-open-qualifier-2
FaZe,Heroic,10,16,2022-08-21,/matches/2357657/faze-vs-heroic-blast-premier-fall-groups-2022
GamerLegion,EYEBALLERS,16,7,2022-08-21,/matches/2358028/gamerlegion-vs-eyeballers-iem-road-to-rio-2022-europe-open-qualifier-2
Ooredoo Thunders,JPB,0,2,2022-08-21,/matches/2357994/ooredoo-thunders-vs-jpb-iem-road-to-rio-2022-middle-east-open-qualifier-2
premghouls,AGO,9,16,2022-08-21,/matches/2358019/premghouls-vs-ago-iem-road-to-rio-2022-europe-open-qualifier-2
Into the Breach,Eternal Fire,16,14,2022-08-21,/matches/2358021/into-the-breach-vs-eternal-fire-iem-road-to-rio-2022-europe-open-qualifier-2
Neon Rangers,SC,11,16,2022-08-21,/matches/2358010/neon-rangers-vs-sc-iem-road-to-rio-2022-europe-open-qualifier-2
1WIN,GRGECHI,16,14,2022-08-21,/matches/2358013/1win-vs-grgechi-iem-road-to-rio-2022-europe-open-qualifier-2
Finest,EYEBALLERS,14,16,2022-08-21,/matches/2358014/finest-vs-eyeballers-iem-road-to-rio-2022-europe-open-qualifier-2
ECSTATIC,UNGENTIUM,12,16,2022-08-21,/matches/2358016/ecstatic-vs-ungentium-iem-road-to-rio-2022-europe-open-qualifier-2
Enterprise,K23,12,16,2022-08-21,/matches/2358011/enterprise-vs-k23-iem-road-to-rio-2022-europe-open-qualifier-2
NASR,PremuimGods,2,0,2022-08-21,/matches/2357993/nasr-vs-premuimgods-iem-road-to-rio-2022-middle-east-open-qualifier-2
GamerLegion,Anonymo,16,14,2022-08-21,/matches/2358015/gamerlegion-vs-anonymo-iem-road-to-rio-2022-europe-open-qualifier-2
LF0,forZe,6,16,2022-08-21,/matches/2358017/lf0-vs-forze-iem-road-to-rio-2022-europe-open-qualifier-2
9INE,EC Kyiv,16,10,2022-08-21,/matches/2358022/9ine-vs-ec-kyiv-iem-road-to-rio-2022-europe-open-qualifier-2
SINNERS,HAVU,12,16,2022-08-21,/matches/2358020/sinners-vs-havu-iem-road-to-rio-2022-europe-open-qualifier-2
Monte,LDLC,16,12,2022-08-21,/matches/2358025/monte-vs-ldlc-iem-road-to-rio-2022-europe-open-qualifier-2
SAW,Beyond Possible,16,10,2022-08-21,/matches/2358012/saw-vs-beyond-possible-iem-road-to-rio-2022-europe-open-qualifier-2
Heroic,BIG,16,14,2022-08-21,/matches/2357654/heroic-vs-big-blast-premier-fall-groups-2022
9 Pandas,eSuba,4,16,2022-08-21,/matches/2358024/9-pandas-vs-esuba-iem-road-to-rio-2022-europe-open-qualifier-2
Endpoint,163ON,16,5,2022-08-21,/matches/2358023/endpoint-vs-163on-iem-road-to-rio-2022-europe-open-qualifier-2
fnatic,B8,16,4,2022-08-21,/matches/2358018/fnatic-vs-b8-iem-road-to-rio-2022-europe-open-qualifier-2
Evil Geniuses,BIG,6,16,2022-08-21,/matches/2357651/evil-geniuses-vs-big-blast-premier-fall-groups-2022
TYLOO,WDNMD,2,1,2022-08-21,/matches/2357987/tyloo-vs-wdnmd-iem-road-to-rio-2022-china-open-qualifier-2
FaZe,Heroic,16,10,2022-08-21,/matches/2357648/faze-vs-heroic-blast-premier-fall-groups-2022
CR,Wings Up,1,2,2022-08-21,/matches/2357988/cr-vs-wings-up-iem-road-to-rio-2022-china-open-qualifier-2
D13,TheMongolz,0,2,2022-08-21,/matches/2357981/d13-vs-themongolz-iem-road-to-rio-2022-asia-open-qualifier-2
Heroic,BIG,16,13,2022-08-21,/matches/2357645/heroic-vs-big-blast-premier-fall-groups-2022
ARAVT,MIRAI,2,0,2022-08-21,/matches/2357980/aravt-vs-mirai-iem-road-to-rio-2022-asia-open-qualifier-2
FaZe,Evil Geniuses,16,8,2022-08-21,/matches/2357642/faze-vs-evil-geniuses-blast-premier-fall-groups-2022
Stars Horizon,Capivara Strong,1,0,2022-08-21,/matches/2358053/stars-horizon-vs-capivara-strong-cct-south-america-series-1
Rehl,SWS,1,2,2022-08-21,/matches/2358052/rehl-vs-sws-cct-south-america-series-1
