team1,team2,result1,result2,date_of_match,reference
Ninjas in Pyjamas,Vitality,0,2,2022-09-01,/matches/2357698/ninjas-in-pyjamas-vs-vitality-esl-pro-league-season-16
Eternal Fire,Peace of Heroes,2,0,2022-09-01,/matches/2358507/eternal-fire-vs-peace-of-heroes-esa-supremes-fall-2022
Into the Breach,EKO,1,2,2022-09-01,/matches/2358502/into-the-breach-vs-eko-steelseries-nova-cup-uk-ireland-fall-2022
SAW,Apeks,2,0,2022-09-01,/matches/2358044/saw-vs-apeks-flow-fireleague-2022-europe-closed-qualifier
Brosskiez,gothboiclique,1,2,2022-09-01,/matches/2358506/brosskiez-vs-gothboiclique-esa-supremes-fall-2022
Falcons,SKADE,2,0,2022-09-01,/matches/2358458/falcons-vs-skade-cct-central-europe-series-1
Partizan,KTRL,2,0,2022-09-01,/matches/2358495/partizan-vs-ktrl-res-season-3
Natus Vincere,fnatic,2,1,2022-09-01,/matches/2357697/natus-vincere-vs-fnatic-esl-pro-league-season-16
blacklaminate,Goliath,0,2,2022-09-01,/matches/2358503/blacklaminate-vs-goliath-esl-challenger-rotterdam-2022-south-africa-open-qualifier-2
DNMK,Vdrxp,2,0,2022-09-01,/matches/2358504/dnmk-vs-vdrxp-esl-challenger-rotterdam-2022-south-africa-open-qualifier-2
BLUEJAYS,Strive in chaos,0,2,2022-09-01,/matches/2358494/bluejays-vs-strive-in-chaos-res-season-3
Tricked,MIBR,1,2,2022-09-01,/matches/2358457/tricked-vs-mibr-cct-central-europe-series-1
AVANGAR,Websterz,0,2,2022-09-01,/matches/2358499/avangar-vs-websterz-cyberpark-cup-2022
EC Kyiv,MASONIC,2,1,2022-09-01,/matches/2358268/ec-kyiv-vs-masonic-elisa-invitational-fall-2022-contenders
Spirit,Endpoint,2,1,2022-09-01,/matches/2357696/spirit-vs-endpoint-esl-pro-league-season-16
TAG,xDDDD,2,0,2022-09-01,/matches/2358498/tag-vs-xdddd-cyberpark-cup-2022
Eternal Fire,Enterprise,1,2,2022-09-01,/matches/2358456/eternal-fire-vs-enterprise-cct-central-europe-series-1
EYEBALLERS,Into the Breach,0,2,2022-09-01,/matches/2358267/eyeballers-vs-into-the-breach-elisa-invitational-fall-2022-contenders
Vendetta,Brazen,16,9,2022-09-01,/matches/2358157/vendetta-vs-brazen-iem-road-to-rio-2022-north-america-open-qualifier-2
Evil Geniuses,Limitless,19,17,2022-09-01,/matches/2358155/evil-geniuses-vs-limitless-iem-road-to-rio-2022-north-america-open-qualifier-2
Kari,Mythic,8,16,2022-09-01,/matches/2358161/kari-vs-mythic-iem-road-to-rio-2022-north-america-open-qualifier-2
Unjustified,ATK,5,16,2022-09-01,/matches/2358162/unjustified-vs-atk-iem-road-to-rio-2022-north-america-open-qualifier-2
Strife,Victorum,16,3,2022-09-01,/matches/2358159/strife-vs-victorum-iem-road-to-rio-2022-north-america-open-qualifier-2
Infinity,BHOP,7,16,2022-09-01,/matches/2358158/infinity-vs-bhop-iem-road-to-rio-2022-north-america-open-qualifier-2
Detonate,timbermen,11,16,2022-09-01,/matches/2358160/detonate-vs-timbermen-iem-road-to-rio-2022-north-america-open-qualifier-2
TeamOne,Northern Forces,16,3,2022-09-01,/matches/2358156/teamone-vs-northern-forces-iem-road-to-rio-2022-north-america-open-qualifier-2
The Union,Daotsu,0,2,2022-09-01,/matches/2358492/the-union-vs-daotsu-liga-gamers-club-2022-serie-a-august-cup
FTW,Bad News Eagles,0,2,2022-09-01,/matches/2358043/ftw-vs-bad-news-eagles-flow-fireleague-2022-europe-closed-qualifier
