team1,team2,result1,result2,date_of_match,reference
Isurus,00NATION,10,16,2022-10-05,/matches/2358363/isurus-vs-00nation-iem-road-to-rio-2022-americas-rmr
O PLANO,TeamOne,16,10,2022-10-05,/matches/2358364/o-plano-vs-teamone-iem-road-to-rio-2022-americas-rmr
ARCTIC,ATK,11,16,2022-10-05,/matches/2358361/arctic-vs-atk-iem-road-to-rio-2022-americas-rmr
Natus Vincere,MOUZ,16,11,2022-10-05,/matches/2358417/natus-vincere-vs-mouz-iem-road-to-rio-2022-europe-rmr-b
Nouns,Infinity,16,2,2022-10-05,/matches/2358362/nouns-vs-infinity-iem-road-to-rio-2022-americas-rmr
PALOMA,Sangal,2,0,2022-10-05,/matches/2359319/paloma-vs-sangal-esea-advanced-season-42-europe
Heroic,Outsiders,12,16,2022-10-05,/matches/2358418/heroic-vs-outsiders-iem-road-to-rio-2022-europe-rmr-b
Liquid,MIBR,19,16,2022-10-05,/matches/2358359/liquid-vs-mibr-iem-road-to-rio-2022-americas-rmr
Complexity,paiN,16,7,2022-10-05,/matches/2358360/complexity-vs-pain-iem-road-to-rio-2022-americas-rmr
BIG,Vitality,16,10,2022-10-05,/matches/2358415/big-vs-vitality-iem-road-to-rio-2022-europe-rmr-b
9z,Imperial,22,20,2022-10-05,/matches/2358358/9z-vs-imperial-iem-road-to-rio-2022-americas-rmr
Falcons,ENCE,6,16,2022-10-05,/matches/2358416/falcons-vs-ence-iem-road-to-rio-2022-europe-rmr-b
Cloud9,G2,16,13,2022-10-05,/matches/2358409/cloud9-vs-g2-iem-road-to-rio-2022-europe-rmr-a
FURIA,Evil Geniuses,14,16,2022-10-05,/matches/2358357/furia-vs-evil-geniuses-iem-road-to-rio-2022-americas-rmr
Ninjas in Pyjamas,Bad News Eagles,16,7,2022-10-05,/matches/2358410/ninjas-in-pyjamas-vs-bad-news-eagles-iem-road-to-rio-2022-europe-rmr-a
FaZe,fnatic,19,17,2022-10-05,/matches/2358407/faze-vs-fnatic-iem-road-to-rio-2022-europe-rmr-a
Sprout,Spirit,16,12,2022-10-05,/matches/2358408/sprout-vs-spirit-iem-road-to-rio-2022-europe-rmr-a
Liquid,TeamOne,16,6,2022-10-05,/matches/2358351/liquid-vs-teamone-iem-road-to-rio-2022-americas-rmr
MIBR,O PLANO,16,9,2022-10-05,/matches/2358354/mibr-vs-o-plano-iem-road-to-rio-2022-americas-rmr
00NATION,9z,16,19,2022-10-05,/matches/2358356/00nation-vs-9z-iem-road-to-rio-2022-americas-rmr
OG,Illuminar,16,5,2022-10-05,/matches/2358413/og-vs-illuminar-iem-road-to-rio-2022-europe-rmr-b
Monte,SAW,16,3,2022-10-05,/matches/2358414/monte-vs-saw-iem-road-to-rio-2022-europe-rmr-b
Complexity,ATK,16,5,2022-10-05,/matches/2358353/complexity-vs-atk-iem-road-to-rio-2022-americas-rmr
HEET,K23,13,16,2022-10-05,/matches/2358411/heet-vs-k23-iem-road-to-rio-2022-europe-rmr-b
FANTASY,Sangal,12,16,2022-10-05,/matches/2358412/fantasy-vs-sangal-iem-road-to-rio-2022-europe-rmr-b
paiN,ARCTIC,16,13,2022-10-05,/matches/2358352/pain-vs-arctic-iem-road-to-rio-2022-americas-rmr
Nouns,Evil Geniuses,7,16,2022-10-05,/matches/2358355/nouns-vs-evil-geniuses-iem-road-to-rio-2022-americas-rmr
Warriors,Elemental,2,0,2022-10-05,/matches/2359374/warriors-vs-elemental-lpl-pro-league-season-11
Astralis,Eternal Fire,16,9,2022-10-05,/matches/2358405/astralis-vs-eternal-fire-iem-road-to-rio-2022-europe-rmr-a
Aurora,GamerLegion,10,16,2022-10-05,/matches/2358406/aurora-vs-gamerlegion-iem-road-to-rio-2022-europe-rmr-a
Imperial,Isurus,16,2,2022-10-05,/matches/2358350/imperial-vs-isurus-iem-road-to-rio-2022-americas-rmr
FURIA,Infinity,16,2,2022-10-05,/matches/2358349/furia-vs-infinity-iem-road-to-rio-2022-americas-rmr
ECSTATIC,B8,16,19,2022-10-05,/matches/2358404/ecstatic-vs-b8-iem-road-to-rio-2022-europe-rmr-a
forZe,1WIN,14,16,2022-10-05,/matches/2358403/forze-vs-1win-iem-road-to-rio-2022-europe-rmr-a
CAMO,yellow,0,2,2022-10-05,/matches/2359373/camo-vs-yellow-lpl-pro-league-season-11
Snakes Den,Villainous Union,0,2,2022-10-05,/matches/2359296/snakes-den-vs-villainous-union-esea-advanced-season-42-north-america
