team1,team2,result1,result2,date_of_match,reference
paiN,Meta BR,2,0,2022-08-27,/matches/2358259/pain-vs-meta-br-cct-south-america-series-1
NASR,JiJieHao International,1,2,2022-08-27,/matches/2358217/nasr-vs-jijiehao-international-iem-road-to-rio-2022-middle-east-closed-qualifier
Astralis,Illuminar,2,0,2022-08-27,/matches/2358143/astralis-vs-illuminar-iem-road-to-rio-2022-europe-open-qualifier-4
SAW,GamerLegion,2,0,2022-08-27,/matches/2358146/saw-vs-gamerlegion-iem-road-to-rio-2022-europe-open-qualifier-4
Triple 6,JPB,1,2,2022-08-27,/matches/2358218/triple-6-vs-jpb-iem-road-to-rio-2022-middle-east-closed-qualifier
1WIN,Forward,2,0,2022-08-27,/matches/2358145/1win-vs-forward-iem-road-to-rio-2022-europe-open-qualifier-4
Benched Heroes,TAG,22,20,2022-08-27,/matches/2358138/benched-heroes-vs-tag-iem-road-to-rio-2022-europe-open-qualifier-4
Lilmix,askars,2,0,2022-08-27,/matches/2358269/lilmix-vs-askars-nordic-masters-fall-2022-sweden-closed-qualifier
HEET,xDDDD,16,12,2022-08-27,/matches/2358137/heet-vs-xdddd-iem-road-to-rio-2022-europe-open-qualifier-4
P2N,Illuminar,19,22,2022-08-27,/matches/2358136/p2n-vs-illuminar-iem-road-to-rio-2022-europe-open-qualifier-4
Astralis,BLUEJAYS,16,11,2022-08-27,/matches/2358135/astralis-vs-bluejays-iem-road-to-rio-2022-europe-open-qualifier-4
Natus Vincere,Vitality,2,0,2022-08-27,/matches/2357665/natus-vincere-vs-vitality-blast-premier-fall-groups-2022
ECLOT,Tricked,2,0,2022-08-27,/matches/2358251/eclot-vs-tricked-cct-central-europe-series-1
Sashi,GamerLegion,5,16,2022-08-27,/matches/2358142/sashi-vs-gamerlegion-iem-road-to-rio-2022-europe-open-qualifier-4
Finest,Forward,12,16,2022-08-27,/matches/2358139/finest-vs-forward-iem-road-to-rio-2022-europe-open-qualifier-4
1WIN,9 Pandas,16,6,2022-08-27,/matches/2358140/1win-vs-9-pandas-iem-road-to-rio-2022-europe-open-qualifier-4
TAG,Entropiq,25,23,2022-08-27,/matches/2358126/tag-vs-entropiq-iem-road-to-rio-2022-europe-open-qualifier-4
SAW,Anonymo,16,9,2022-08-27,/matches/2358141/saw-vs-anonymo-iem-road-to-rio-2022-europe-open-qualifier-4
TYLOO,Wings Up,1,2,2022-08-27,/matches/2358224/tyloo-vs-wings-up-iem-road-to-rio-2022-china-closed-qualifier
Sampi,xDDDD,20,22,2022-08-27,/matches/2358124/sampi-vs-xdddd-iem-road-to-rio-2022-europe-open-qualifier-4
askars,PROSPECTS,2,1,2022-08-27,/matches/2358187/askars-vs-prospects-nordic-masters-fall-2022-sweden-closed-qualifier
Apeks,GamerLegion,15,19,2022-08-27,/matches/2358133/apeks-vs-gamerlegion-iem-road-to-rio-2022-europe-open-qualifier-4
OneTap,BLUEJAYS,16,19,2022-08-27,/matches/2358120/onetap-vs-bluejays-iem-road-to-rio-2022-europe-open-qualifier-4
HEET,Pusheens,16,14,2022-08-27,/matches/2358123/heet-vs-pusheens-iem-road-to-rio-2022-europe-open-qualifier-4
Illuminar,SKADE,16,12,2022-08-27,/matches/2358122/illuminar-vs-skade-iem-road-to-rio-2022-europe-open-qualifier-4
Astralis,los kogutos,16,12,2022-08-27,/matches/2358119/astralis-vs-los-kogutos-iem-road-to-rio-2022-europe-open-qualifier-4
9 Pandas,LODIS,16,10,2022-08-27,/matches/2358129/9-pandas-vs-lodis-iem-road-to-rio-2022-europe-open-qualifier-4
Forward,777,16,11,2022-08-27,/matches/2358128/forward-vs-777-iem-road-to-rio-2022-europe-open-qualifier-4
ONYX Talents,Anonymo,7,16,2022-08-27,/matches/2358132/onyx-talents-vs-anonymo-iem-road-to-rio-2022-europe-open-qualifier-4
JiJieHao International,JPB,2,1,2022-08-27,/matches/2358215/jijiehao-international-vs-jpb-iem-road-to-rio-2022-middle-east-closed-qualifier
Finest,X,16,9,2022-08-27,/matches/2358127/finest-vs-x-iem-road-to-rio-2022-europe-open-qualifier-4
