team1,team2,result1,result2,date_of_match,reference
Ambush,PIGNOUF,0,2,2022-08-29,/matches/2358386/ambush-vs-pignouf-steelseries-nova-cup-france-fall-2022
ALTERNATE aTTaX,schadE halt,1,2,2022-08-29,/matches/2358292/alternate-attax-vs-schade-halt-steelseries-nova-cup-dach-fall-2022
SKADE,Tricked,0,2,2022-08-29,/matches/2358277/skade-vs-tricked-cct-central-europe-series-1
Exalty,PIGNOUF,0,2,2022-08-29,/matches/2358295/exalty-vs-pignouf-steelseries-nova-cup-france-fall-2022
Ambush,Ennemi,2,0,2022-08-29,/matches/2358296/ambush-vs-ennemi-steelseries-nova-cup-france-fall-2022
Sangal,SSP,2,0,2022-08-29,/matches/2358293/sangal-vs-ssp-steelseries-nova-cup-dach-fall-2022
Monte,Illuminar,2,0,2022-08-29,/matches/2358276/monte-vs-illuminar-cct-central-europe-series-1
EKO,Temperate,2,3,2022-08-29,/matches/2358290/eko-vs-temperate-insomnia69
yodagus,schadE halt,1,2,2022-08-29,/matches/2358262/yodagus-vs-schade-halt-elisa-invitational-fall-2022-contenders
EC Kyiv,PALOMA,0,2,2022-08-29,/matches/2358275/ec-kyiv-vs-paloma-cct-central-europe-series-1
KOVA,777,0,2,2022-08-29,/matches/2358261/kova-vs-777-elisa-invitational-fall-2022-contenders
Brazen,timbermen,0,2,2022-08-29,/matches/2358199/brazen-vs-timbermen-egl-premier-season-3
paiN,Fluxo,0,2,2022-08-29,/matches/2358294/pain-vs-fluxo-cct-south-america-series-1
G2,Vitality,2,1,2022-08-29,/matches/2357669/g2-vs-vitality-blast-premier-fall-groups-2022
Forward,Illuminar,1,2,2022-08-29,/matches/2358154/forward-vs-illuminar-iem-road-to-rio-2022-europe-open-qualifier-4
Fluxo,ODDIK,2,0,2022-08-29,/matches/2358279/fluxo-vs-oddik-cct-south-america-series-1
