team1,team2,result1,result2,date_of_match,reference
ODDIK,B4,13,16,2022-09-02,/matches/2357871/oddik-vs-b4-cbcs-masters-festival-2022
Vitality,fnatic,2,1,2022-09-02,/matches/2357701/vitality-vs-fnatic-esl-pro-league-season-16
Nixuh,DNMK,2,0,2022-09-02,/matches/2358536/nixuh-vs-dnmk-esl-challenger-rotterdam-2022-south-africa-closed-qualifier
Zero Tenacity,0to100,1,2,2022-09-02,/matches/2358497/zero-tenacity-vs-0to100-res-season-3
Stars Horizon,Sharks,10,16,2022-09-02,/matches/2357870/stars-horizon-vs-sharks-cbcs-masters-festival-2022
RCL,wannafly,1,2,2022-09-02,/matches/2358500/rcl-vs-wannafly-cyberpark-cup-2022
Brosskiez,Peace of Heroes,2,1,2022-09-02,/matches/2358511/brosskiez-vs-peace-of-heroes-esa-supremes-fall-2022
MASONIC,Bad News Eagles,2,0,2022-09-02,/matches/2358505/masonic-vs-bad-news-eagles-flow-fireleague-2022-europe-closed-qualifier
ARCTIC,Daotsu,16,14,2022-09-02,/matches/2357869/arctic-vs-daotsu-cbcs-masters-festival-2022
1WIN,Aurora,2,0,2022-09-02,/matches/2358463/1win-vs-aurora-cct-central-europe-series-1
X,NIJE,2,1,2022-09-02,/matches/2358496/x-vs-nije-res-season-3
DNMK,Bravado,2,0,2022-09-02,/matches/2358530/dnmk-vs-bravado-esl-challenger-rotterdam-2022-south-africa-closed-qualifier
Finest,EC Kyiv,0,2,2022-09-02,/matches/2358462/finest-vs-ec-kyiv-cct-central-europe-series-1
Nixuh,Goliath,2,0,2022-09-02,/matches/2358529/nixuh-vs-goliath-esl-challenger-rotterdam-2022-south-africa-closed-qualifier
Ninjas in Pyjamas,Spirit,0,2,2022-09-02,/matches/2357700/ninjas-in-pyjamas-vs-spirit-esl-pro-league-season-16
9 Pandas,VP.Prodigy,0,2,2022-09-02,/matches/2358501/9-pandas-vs-vpprodigy-cyberpark-cup-2022
forZe,Beyond Possible,2,0,2022-09-02,/matches/2358461/forze-vs-beyond-possible-cct-central-europe-series-1
Wings Up,EG White,2,0,2022-09-02,/matches/2358342/wings-up-vs-eg-white-esl-challenger-melbourne-2022
Natus Vincere,Endpoint,0,2,2022-09-02,/matches/2357699/natus-vincere-vs-endpoint-esl-pro-league-season-16
BLUEJAYS,Monte,1,2,2022-09-02,/matches/2358460/bluejays-vs-monte-cct-central-europe-series-1
Imperial,paiN,5,16,2022-09-02,/matches/2358341/imperial-vs-pain-esl-challenger-melbourne-2022
OG,Entropiq,13,16,2022-09-02,/matches/2358340/og-vs-entropiq-esl-challenger-melbourne-2022
paiN,Grayhound,16,12,2022-09-02,/matches/2358339/pain-vs-grayhound-esl-challenger-melbourne-2022
Imperial,VERTEX,16,13,2022-09-02,/matches/2358338/imperial-vs-vertex-esl-challenger-melbourne-2022
Strife,ATK,1,2,2022-09-02,/matches/2358168/strife-vs-atk-iem-road-to-rio-2022-north-america-open-qualifier-2
Entropiq,EG White,16,4,2022-09-02,/matches/2358337/entropiq-vs-eg-white-esl-challenger-melbourne-2022
OG,Wings Up,16,13,2022-09-02,/matches/2358336/og-vs-wings-up-esl-challenger-melbourne-2022
Evil Geniuses,BHOP,2,0,2022-09-02,/matches/2358167/evil-geniuses-vs-bhop-iem-road-to-rio-2022-north-america-open-qualifier-2
Stars Horizon,Daotsu,2,1,2022-09-02,/matches/2358493/stars-horizon-vs-daotsu-liga-gamers-club-2022-serie-a-august-cup
Mythic,ATK,20,22,2022-09-02,/matches/2358166/mythic-vs-atk-iem-road-to-rio-2022-north-america-open-qualifier-2
Evil Geniuses,TeamOne,16,13,2022-09-02,/matches/2358163/evil-geniuses-vs-teamone-iem-road-to-rio-2022-north-america-open-qualifier-2
Strife,timbermen,16,13,2022-09-02,/matches/2358165/strife-vs-timbermen-iem-road-to-rio-2022-north-america-open-qualifier-2
BHOP,Vendetta,16,11,2022-09-02,/matches/2358164/bhop-vs-vendetta-iem-road-to-rio-2022-north-america-open-qualifier-2
Sprout,Gravity 0,2,1,2022-09-02,/matches/2358045/sprout-vs-gravity-0-flow-fireleague-2022-europe-closed-qualifier
ECLOT,Copenhagen Flames,2,1,2022-09-02,/matches/2358459/eclot-vs-copenhagen-flames-cct-central-europe-series-1
