team1,team2,result1,result2,date_of_match,reference
Natus Vincere,Ninjas in Pyjamas,1,2,2022-09-04,/matches/2357705/natus-vincere-vs-ninjas-in-pyjamas-esl-pro-league-season-16
Sharks,Daotsu,1,2,2022-09-04,/matches/2358548/sharks-vs-daotsu-cbcs-masters-festival-2022
MASONIC,SAW,2,1,2022-09-04,/matches/2358539/masonic-vs-saw-flow-fireleague-2022-europe-closed-qualifier
fnatic,Endpoint,2,0,2022-09-04,/matches/2357707/fnatic-vs-endpoint-esl-pro-league-season-16
Vitality,Spirit,2,0,2022-09-04,/matches/2357706/vitality-vs-spirit-esl-pro-league-season-16
X,0to100,0,2,2022-09-04,/matches/2358538/x-vs-0to100-res-season-3
1PIN,EKO,1,2,2022-09-04,/matches/2358557/1pin-vs-eko-ukic-beyond-summer-invitational-2022
ECLOT,Cryptova,2,1,2022-09-04,/matches/2358581/eclot-vs-cryptova-tipsport-prague-cup-2022
1WIN,MIBR,1,2,2022-09-04,/matches/2358470/1win-vs-mibr-cct-central-europe-series-1
Eternal Fire,Brosskiez,3,0,2022-09-04,/matches/2358546/eternal-fire-vs-brosskiez-esa-supremes-fall-2022
Strive in chaos,Partizan,2,0,2022-09-04,/matches/2358508/strive-in-chaos-vs-partizan-res-season-3
SINNERS,Cryptova,16,5,2022-09-04,/matches/2358514/sinners-vs-cryptova-tipsport-prague-cup-2022
Into the Breach,BLVKHVND,2,0,2022-09-04,/matches/2358556/into-the-breach-vs-blvkhvnd-ukic-beyond-summer-invitational-2022
MIBR,EC Kyiv,2,0,2022-09-04,/matches/2358469/mibr-vs-ec-kyiv-cct-central-europe-series-1
ECLOT,TITANS,12,16,2022-09-04,/matches/2358515/eclot-vs-titans-tipsport-prague-cup-2022
Falcons,1WIN,0,2,2022-09-04,/matches/2358468/falcons-vs-1win-cct-central-europe-series-1
Imperial,paiN,1,2,2022-09-04,/matches/2358348/imperial-vs-pain-esl-challenger-melbourne-2022
paiN,Wings Up,2,0,2022-09-04,/matches/2358347/pain-vs-wings-up-esl-challenger-melbourne-2022
Davenport University,Northern Forces,16,14,2022-09-04,/matches/2358176/davenport-university-vs-northern-forces-iem-road-to-rio-2022-north-america-open-qualifier-3
Strife,Pete's Hookah Lounge,12,16,2022-09-04,/matches/2358170/strife-vs-petes-hookah-lounge-iem-road-to-rio-2022-north-america-open-qualifier-3
Unjustified,Brazen,16,12,2022-09-04,/matches/2358174/unjustified-vs-brazen-iem-road-to-rio-2022-north-america-open-qualifier-3
BHOP,Victorum,16,10,2022-09-04,/matches/2358177/bhop-vs-victorum-iem-road-to-rio-2022-north-america-open-qualifier-3
X13,Detonate,16,14,2022-09-04,/matches/2358171/x13-vs-detonate-iem-road-to-rio-2022-north-america-open-qualifier-3
Infinity,Mythic,16,8,2022-09-04,/matches/2358172/infinity-vs-mythic-iem-road-to-rio-2022-north-america-open-qualifier-3
Limitless,timbermen,14,16,2022-09-04,/matches/2358173/limitless-vs-timbermen-iem-road-to-rio-2022-north-america-open-qualifier-3
Vendetta,TeamOne,9,16,2022-09-04,/matches/2358175/vendetta-vs-teamone-iem-road-to-rio-2022-north-america-open-qualifier-3
Entropiq,Imperial,0,2,2022-09-04,/matches/2358346/entropiq-vs-imperial-esl-challenger-melbourne-2022
ODDIK,The Union,2,1,2022-09-04,/matches/2358547/oddik-vs-the-union-cbcs-masters-festival-2022
Into the Breach,K10,2,0,2022-09-04,/matches/2358522/into-the-breach-vs-k10-ukic-beyond-summer-invitational-2022
