team1,team2,result1,result2,date_of_match,reference
1PIN,EKO,0,2,2022-08-31,/matches/2358491/1pin-vs-eko-steelseries-nova-cup-uk-ireland-fall-2022
1WIN,9INE,2,1,2022-08-31,/matches/2358299/1win-vs-9ine-esl-challenger-league-season-42-europe
Sprout,Sangal,1,2,2022-08-31,/matches/2358487/sprout-vs-sangal-steelseries-nova-cup-dach-fall-2022
MASONIC,SINNERS,2,1,2022-08-31,/matches/2358042/masonic-vs-sinners-flow-fireleague-2022-europe-closed-qualifier
SAW,forZe,0,2,2022-08-31,/matches/2358300/saw-vs-forze-esl-challenger-league-season-42-europe
Ninjas in Pyjamas,fnatic,0,2,2022-08-31,/matches/2357695/ninjas-in-pyjamas-vs-fnatic-esl-pro-league-season-16
Into the Breach,tokyoxd,2,0,2022-08-31,/matches/2358490/into-the-breach-vs-tokyoxd-steelseries-nova-cup-uk-ireland-fall-2022
Falcons,LDLC,1,2,2022-08-31,/matches/2358484/falcons-vs-ldlc-steelseries-nova-cup-france-fall-2022
Vitality,Endpoint,2,0,2022-08-31,/matches/2357694/vitality-vs-endpoint-esl-pro-league-season-16
SKADE X,JANO,2,1,2022-08-31,/matches/2358266/skade-x-vs-jano-elisa-invitational-fall-2022-contenders
Natus Vincere,Spirit,2,0,2022-08-31,/matches/2357693/natus-vincere-vs-spirit-esl-pro-league-season-16
Tricked,B8,0,2,2022-08-31,/matches/2358265/tricked-vs-b8-elisa-invitational-fall-2022-contenders
ATK,timbermen,2,1,2022-08-31,/matches/2358281/atk-vs-timbermen-esl-challenger-league-season-42-north-america
Victorum,Vendetta,1,2,2022-08-31,/matches/2358283/victorum-vs-vendetta-esl-challenger-league-season-42-north-america
Davenport University,Brazen,0,2,2022-08-31,/matches/2358280/davenport-university-vs-brazen-esl-challenger-league-season-42-north-america
Detonate,BHOP,0,2,2022-08-31,/matches/2358282/detonate-vs-bhop-esl-challenger-league-season-42-north-america
Daotsu,AJF,2,0,2022-08-31,/matches/2358489/daotsu-vs-ajf-liga-gamers-club-2022-serie-a-august-cup
The Union,Stars Horizon,1,2,2022-08-31,/matches/2358488/the-union-vs-stars-horizon-liga-gamers-club-2022-serie-a-august-cup
