team1,team2,result1,result2,date_of_match,reference
Monte,SC,1,0,2022-08-25,/matches/2358247/monte-vs-sc-cct-central-europe-series-1
Tricked,Monte,2,1,2022-08-25,/matches/2358234/tricked-vs-monte-cct-central-europe-series-1
9z,Stars Horizon,2,0,2022-08-25,/matches/2358238/9z-vs-stars-horizon-cct-south-america-series-1
G2,BIG,2,0,2022-08-25,/matches/2357659/g2-vs-big-blast-premier-fall-groups-2022
Fluxo,The Union,2,1,2022-08-25,/matches/2358237/fluxo-vs-the-union-cct-south-america-series-1
Enterprise,Aurora,0,2,2022-08-25,/matches/2358233/enterprise-vs-aurora-cct-central-europe-series-1
Ninjas in Pyjamas,Evil Geniuses,2,1,2022-08-25,/matches/2357660/ninjas-in-pyjamas-vs-evil-geniuses-blast-premier-fall-groups-2022
ARCTIC,Redragon,2,0,2022-08-25,/matches/2358236/arctic-vs-redragon-cct-south-america-series-1
B8,Into the Breach,0,2,2022-08-25,/matches/2358083/b8-vs-into-the-breach-elisa-invitational-fall-2022-contenders
OG,Complexity,2,0,2022-08-25,/matches/2357658/og-vs-complexity-blast-premier-fall-groups-2022
SKADE,PALOMA,2,0,2022-08-25,/matches/2358232/skade-vs-paloma-cct-central-europe-series-1
EYEBALLERS,JANO,2,0,2022-08-25,/matches/2358081/eyeballers-vs-jano-elisa-invitational-fall-2022-contenders
ECLOT,Illuminar,2,0,2022-08-25,/matches/2358231/eclot-vs-illuminar-cct-central-europe-series-1
TeamOne,Mythic,2,0,2022-08-25,/matches/2358197/teamone-vs-mythic-esl-challenger-league-season-42-north-america
Squirtle Squad,timbermen,2,0,2022-08-25,/matches/2358198/squirtle-squad-vs-timbermen-esl-challenger-league-season-42-north-america
