team1,team2,result1,result2,date_of_match,reference
Mythic,Electrify Steel,0,1,2022-09-28,/matches/2359274/mythic-vs-electrify-steel-cct-north-america-series-1
EYEBALLERS,Iron Branch,0,2,2022-09-28,/matches/2359258/eyeballers-vs-iron-branch-esea-advanced-season-42-europe
OG Academy,Beyond Possible,2,1,2022-09-28,/matches/2359266/og-academy-vs-beyond-possible-cct-south-europe-series-1-closed-qualifier
Aurora,Into the Breach,0,2,2022-09-28,/matches/2359206/aurora-vs-into-the-breach-cct-central-europe-series-2
Young Ninjas,Copenhagen Flames,0,2,2022-09-28,/matches/2359264/young-ninjas-vs-copenhagen-flames-cct-north-europe-series-1-closed-qualifier
Entropiq,AGO,2,0,2022-09-28,/matches/2357817/entropiq-vs-ago-esl-challenger-league-season-42-europe
Illuminar,Astralis Talent,2,0,2022-09-28,/matches/2359268/illuminar-vs-astralis-talent-cct-north-europe-series-1-closed-qualifier
fnatic Rising,OneTap,2,1,2022-09-28,/matches/2359226/fnatic-rising-vs-onetap-esea-advanced-season-42-europe
Zero Tenacity,EUMIX,2,0,2022-09-28,/matches/2359240/zero-tenacity-vs-eumix-cct-south-europe-series-1-closed-qualifier
Finest,BLUEJAYS,0,2,2022-09-28,/matches/2359245/finest-vs-bluejays-iem-road-to-rio-2022-europe-rmr-replacement-play-in
OG,Enterprise,2,1,2022-09-28,/matches/2359205/og-vs-enterprise-cct-central-europe-series-2
FURIA,Outsiders,1,2,2022-09-28,/matches/2358328/furia-vs-outsiders-esl-pro-league-season-16
Beyond Possible,Never Surrender,2,1,2022-09-28,/matches/2359238/beyond-possible-vs-never-surrender-cct-south-europe-series-1-closed-qualifier
Anonymo,Sashi,1,0,2022-09-28,/matches/2359246/anonymo-vs-sashi-iem-road-to-rio-2022-europe-rmr-replacement-play-in
PROSPECTS,Astralis Talent,0,2,2022-09-28,/matches/2359252/prospects-vs-astralis-talent-cct-north-europe-series-1-closed-qualifier
NeedDOCTOR,Kyoto,2,0,2022-09-28,/matches/2359239/needdoctor-vs-kyoto-cct-south-europe-series-1-closed-qualifier
Copenhagen Flames,EC Brugge,2,0,2022-09-28,/matches/2359250/copenhagen-flames-vs-ec-brugge-cct-north-europe-series-1-closed-qualifier
Finest,Into the Breach,2,0,2022-09-28,/matches/2359146/finest-vs-into-the-breach-elisa-invitational-fall-2022
Illuminar,Lilmix,2,1,2022-09-28,/matches/2359251/illuminar-vs-lilmix-cct-north-europe-series-1-closed-qualifier
KTRL,OG Academy,1,2,2022-09-28,/matches/2359237/ktrl-vs-og-academy-cct-south-europe-series-1-closed-qualifier
Entropiq,eSuba,2,0,2022-09-28,/matches/2359204/entropiq-vs-esuba-cct-central-europe-series-2
Young Ninjas,CENTER,2,0,2022-09-28,/matches/2359249/young-ninjas-vs-center-cct-north-europe-series-1-closed-qualifier
EC Kyiv,Endpoint,1,2,2022-09-28,/matches/2359145/ec-kyiv-vs-endpoint-elisa-invitational-fall-2022
Finest,Illuminar,2,0,2022-09-28,/matches/2359203/finest-vs-illuminar-cct-central-europe-series-2
Vendetta,Strife,2,1,2022-09-28,/matches/2359232/vendetta-vs-strife-esl-challenger-league-season-42-north-america
Villainous Union,Infinity,2,1,2022-09-28,/matches/2359235/villainous-union-vs-infinity-esea-advanced-season-42-north-america
X13,Red Wolves,1,2,2022-09-28,/matches/2359134/x13-vs-red-wolves-esea-advanced-season-42-north-america
Earlybirds,Eros,0,2,2022-09-28,/matches/2359236/earlybirds-vs-eros-esea-advanced-season-42-north-america
Davenport University,Kari,1,2,2022-09-28,/matches/2359231/davenport-university-vs-kari-esl-challenger-league-season-42-north-america
Mythic,Unjustified,2,1,2022-09-28,/matches/2359230/mythic-vs-unjustified-esl-challenger-league-season-42-north-america
Magic School Bus,Snakes Den,2,0,2022-09-28,/matches/2359133/magic-school-bus-vs-snakes-den-esea-advanced-season-42-north-america
Iron Blood,Task Force 141,2,0,2022-09-28,/matches/2358806/iron-blood-vs-task-force-141-esl-challenger-league-season-42-north-america
Brazen,EG Black,0,2,2022-09-28,/matches/2359229/brazen-vs-eg-black-esl-challenger-league-season-42-north-america
Corinthians Academy,AJF,2,0,2022-09-28,/matches/2359225/corinthians-academy-vs-ajf-liga-gamers-club-2022-serie-a-september-cup
Iron Branch,Anonymo,2,1,2022-09-28,/matches/2359213/iron-branch-vs-anonymo-esea-advanced-season-42-europe
