team1,team2,result1,result2,date_of_match,reference
Hatred,SKADE,0,2,2022-09-03,/matches/2358552/hatred-vs-skade-monster-king-of-the-hill-bulgaria-2022
Natus Vincere,Vitality,1,2,2022-09-03,/matches/2357704/natus-vincere-vs-vitality-esl-pro-league-season-16
Bad News Eagles,Enterprise,1,2,2022-09-03,/matches/2358551/bad-news-eagles-vs-enterprise-tipsport-prague-cup-2022
Nixuh,Bravado,2,0,2022-09-03,/matches/2358545/nixuh-vs-bravado-esl-challenger-rotterdam-2022-south-africa-closed-qualifier
forZe,1WIN,0,2,2022-09-03,/matches/2358466/forze-vs-1win-cct-central-europe-series-1
NIJE,Zero Tenacity,1,2,2022-09-03,/matches/2358537/nije-vs-zero-tenacity-res-season-3
gothboiclique,Brosskiez,1,3,2022-09-03,/matches/2358543/gothboiclique-vs-brosskiez-esa-supremes-fall-2022
SAW,Sprout,2,0,2022-09-03,/matches/2358516/saw-vs-sprout-flow-fireleague-2022-europe-closed-qualifier
Daotsu,Stars Horizon,2,0,2022-09-03,/matches/2358542/daotsu-vs-stars-horizon-cbcs-masters-festival-2022
NeedDOCTOR,SKADE,1,2,2022-09-03,/matches/2358532/needdoctor-vs-skade-monster-king-of-the-hill-bulgaria-2022
1PIN,XRAVEL,2,0,2022-09-03,/matches/2358521/1pin-vs-xravel-ukic-beyond-summer-invitational-2022
Sampi,Entropiq Prague,0,2,2022-09-03,/matches/2358550/sampi-vs-entropiq-prague-tipsport-prague-cup-2022
MIBR,Monte,2,1,2022-09-03,/matches/2358467/mibr-vs-monte-cct-central-europe-series-1
DNMK,Bravado,0,2,2022-09-03,/matches/2358544/dnmk-vs-bravado-esl-challenger-rotterdam-2022-south-africa-closed-qualifier
EKO,tokyoxd,2,0,2022-09-03,/matches/2358520/eko-vs-tokyoxd-ukic-beyond-summer-invitational-2022
BLUEJAYS,KTRL,2,0,2022-09-03,/matches/2358509/bluejays-vs-ktrl-res-season-3
TAG,Websterz,2,0,2022-09-03,/matches/2358517/tag-vs-websterz-cyberpark-cup-2022
fnatic,Spirit,2,0,2022-09-03,/matches/2357703/fnatic-vs-spirit-esl-pro-league-season-16
Hatred,BNR,2,1,2022-09-03,/matches/2358531/hatred-vs-bnr-monster-king-of-the-hill-bulgaria-2022
Enterprise,Entropiq Prague,16,4,2022-09-03,/matches/2358513/enterprise-vs-entropiq-prague-tipsport-prague-cup-2022
9 Pandas,wannafly,1,0,2022-09-03,/matches/2358534/9-pandas-vs-wannafly-cyberpark-cup-2022
BLVKHVND,7AM,2,1,2022-09-03,/matches/2358519/blvkhvnd-vs-7am-ukic-beyond-summer-invitational-2022
Falcons,ECLOT,2,1,2022-09-03,/matches/2358465/falcons-vs-eclot-cct-central-europe-series-1
Bad News Eagles,Sampi,16,8,2022-09-03,/matches/2358512/bad-news-eagles-vs-sampi-tipsport-prague-cup-2022
xDDDD,AVANGAR,0,2,2022-09-03,/matches/2358518/xdddd-vs-avangar-cyberpark-cup-2022
Ninjas in Pyjamas,Endpoint,2,0,2022-09-03,/matches/2357702/ninjas-in-pyjamas-vs-endpoint-esl-pro-league-season-16
Enterprise,EC Kyiv,0,2,2022-09-03,/matches/2358464/enterprise-vs-ec-kyiv-cct-central-europe-series-1
Imperial,Grayhound,2,0,2022-09-03,/matches/2358345/imperial-vs-grayhound-esl-challenger-melbourne-2022
OG,Wings Up,0,2,2022-09-03,/matches/2358344/og-vs-wings-up-esl-challenger-melbourne-2022
VERTEX,Grayhound,0,2,2022-09-03,/matches/2358343/vertex-vs-grayhound-esl-challenger-melbourne-2022
B4,Meta BR,17,19,2022-09-03,/matches/2358541/b4-vs-meta-br-cbcs-masters-festival-2022
ARCTIC,Sharks,16,14,2022-09-03,/matches/2358540/arctic-vs-sharks-cbcs-masters-festival-2022
Evil Geniuses,ATK,16,6,2022-09-03,/matches/2358169/evil-geniuses-vs-atk-iem-road-to-rio-2022-north-america-open-qualifier-2
Meta BR,The Union,16,14,2022-09-03,/matches/2357872/meta-br-vs-the-union-cbcs-masters-festival-2022
Goliath,Bravado,1,2,2022-09-03,/matches/2358535/goliath-vs-bravado-esl-challenger-rotterdam-2022-south-africa-closed-qualifier
gothboiclique,Eternal Fire,1,2,2022-09-03,/matches/2358510/gothboiclique-vs-eternal-fire-esa-supremes-fall-2022
