,team1,team2,result1,result2,date_of_match,reference
447,ex-Finest,ECLOT,2,0,2022-10-12,/matches/2359576/ex-finest-vs-eclot-esl-challenger-league-season-42-europe-relegation
448,AGO,Iron Branch,2,1,2022-10-12,/matches/2359578/ago-vs-iron-branch-esl-challenger-league-season-42-europe-relegation
449,SAW,fnatic Rising,2,1,2022-10-12,/matches/2359579/saw-vs-fnatic-rising-esl-challenger-league-season-42-europe-relegation
450,UNGENTIUM,Aurora,1,2,2022-10-12,/matches/2359577/ungentium-vs-aurora-esl-challenger-league-season-42-europe-relegation
451,PROSPECTS,Astralis Talent,16,2,2022-10-12,/matches/2359454/prospects-vs-astralis-talent-weplay-academy-league-season-6
452,eSuba,Narcis,28,25,2022-10-12,/matches/2359539/esuba-vs-narcis-slovak-national-championship-2022
453,BLINK,Partizan,0,2,2022-10-12,/matches/2359563/blink-vs-partizan-cct-south-europe-series-1
454,Illuminar,PACT,2,0,2022-10-12,/matches/2359570/illuminar-vs-pact-cct-central-europe-series-3-closed-qualifier
455,Flames Ascent,MOUZ NXT,26,28,2022-10-12,/matches/2359453/flames-ascent-vs-mouz-nxt-weplay-academy-league-season-6
456,Young Ninjas,ENCE Academy,16,9,2022-10-12,/matches/2359452/young-ninjas-vs-ence-academy-weplay-academy-league-season-6
457,Entropiq Prague,Enterprise,13,16,2022-10-12,/matches/2359537/entropiq-prague-vs-enterprise-slovak-national-championship-2022
458,ECSTATIC,PROSPECTS,0,2,2022-10-12,/matches/2359419/ecstatic-vs-prospects-cct-north-europe-series-1
459,eSuba,Wolsung,0,1,2022-10-12,/matches/2359569/esuba-vs-wolsung-cct-central-europe-series-3-closed-qualifier
460,Wolsung,Nigma Galaxy,2,0,2022-10-12,/matches/2359557/wolsung-vs-nigma-galaxy-cct-central-europe-series-3-closed-qualifier
461,NAVI Junior,Flames Ascent,16,8,2022-10-12,/matches/2359451/navi-junior-vs-flames-ascent-weplay-academy-league-season-6
462,Zero Tenacity,X,2,1,2022-10-12,/matches/2359562/zero-tenacity-vs-x-cct-south-europe-series-1
463,BIG Academy,MIBR Academy,16,5,2022-10-12,/matches/2359450/big-academy-vs-mibr-academy-weplay-academy-league-season-6
464,Into the Breach,ex-TITANS,2,1,2022-10-12,/matches/2359421/into-the-breach-vs-ex-titans-cct-north-europe-series-1
465,BLUEJAYS,Endpoint,0,2,2022-10-12,/matches/2359352/bluejays-vs-endpoint-elisa-invitational-fall-2022
466,fnatic Rising,OG Academy,16,10,2022-10-12,/matches/2359449/fnatic-rising-vs-og-academy-weplay-academy-league-season-6
467,AGO,PACT,2,0,2022-10-12,/matches/2359556/ago-vs-pact-cct-central-europe-series-3-closed-qualifier
468,Nut-E,Warriors,2,1,2022-10-12,/matches/2359542/nut-e-vs-warriors-lpl-pro-league-season-11
469,Apeks Rebels,Flames Ascent,8,16,2022-10-12,/matches/2359437/apeks-rebels-vs-flames-ascent-weplay-academy-league-season-6
470,Grayhound,DGG,2,0,2022-10-12,/matches/2359359/grayhound-vs-dgg-esl-australia-nz-championship-season-15
471,ECLOT,SAW,0,2,2022-10-12,/matches/2359351/eclot-vs-saw-elisa-invitational-fall-2022
472,NAVI Junior,NeedDOCTOR,0,2,2022-10-12,/matches/2359561/navi-junior-vs-needdoctor-cct-south-europe-series-1
473,fnatic Rising,IKLA,2,0,2022-10-12,/matches/2359414/fnatic-rising-vs-ikla-cct-north-europe-series-1
474,Antic,yellow,2,0,2022-10-12,/matches/2359541/antic-vs-yellow-lpl-pro-league-season-11
475,Rooster,VERTEX,0,2,2022-10-12,/matches/2359355/rooster-vs-vertex-esl-australia-nz-championship-season-15
476,Eros,X13,1,2,2022-10-12,/matches/2359370/eros-vs-x13-esea-advanced-season-42-north-america
477,JiJieHao International,NASR,2,1,2022-08-28,/matches/2358220/jijiehao-international-vs-nasr-iem-road-to-rio-2022-middle-east-closed-qualifier
478,GamerLegion,Benched Heroes,10,16,2022-08-28,/matches/2358153/gamerlegion-vs-benched-heroes-iem-road-to-rio-2022-europe-open-qualifier-4
479,Leicester 5,Temperate,0,2,2022-08-28,/matches/2358291/leicester-5-vs-temperate-insomnia69
480,9z,paiN,1,2,2022-08-28,/matches/2358278/9z-vs-pain-cct-south-america-series-1
481,Illuminar,Benched Heroes,1,2,2022-08-28,/matches/2358149/illuminar-vs-benched-heroes-iem-road-to-rio-2022-europe-open-qualifier-4
482,MASONIC,Beyond Possible,0,2,2022-08-28,/matches/2358274/masonic-vs-beyond-possible-cct-central-europe-series-1
483,Forward,GamerLegion,1,2,2022-08-28,/matches/2358150/forward-vs-gamerlegion-iem-road-to-rio-2022-europe-open-qualifier-4
484,SC,SD Invicta,2,0,2022-08-28,/matches/2358287/sc-vs-sd-invicta-predator-cup-baltics-fall-2022
485,Temperate,1fredde,2,0,2022-08-28,/matches/2358289/temperate-vs-1fredde-insomnia69
486,Ninjas in Pyjamas,Heroic,2,1,2022-08-28,/matches/2357668/ninjas-in-pyjamas-vs-heroic-blast-premier-fall-groups-2022
487,SAW,Astralis,16,12,2022-08-28,/matches/2358151/saw-vs-astralis-iem-road-to-rio-2022-europe-open-qualifier-4
488,1WIN,HEET,14,16,2022-08-28,/matches/2358152/1win-vs-heet-iem-road-to-rio-2022-europe-open-qualifier-4
489,IHC,NKT,2,1,2022-08-28,/matches/2358208/ihc-vs-nkt-iem-road-to-rio-2022-asia-closed-qualifier
490,Astralis,HEET,16,9,2022-08-28,/matches/2358147/astralis-vs-heet-iem-road-to-rio-2022-europe-open-qualifier-4
491,JPB,NASR,1,2,2022-08-28,/matches/2358219/jpb-vs-nasr-iem-road-to-rio-2022-middle-east-closed-qualifier
492,SC,X,2,1,2022-08-28,/matches/2358273/sc-vs-x-cct-central-europe-series-1
493,1WIN,SAW,9,16,2022-08-28,/matches/2358148/1win-vs-saw-iem-road-to-rio-2022-europe-open-qualifier-4
494,Kalbos Egzaminas,SD Invicta,0,2,2022-08-28,/matches/2358271/kalbos-egzaminas-vs-sd-invicta-predator-cup-baltics-fall-2022
495,Lynn Vision,Rare Atom,0,2,2022-08-28,/matches/2358226/lynn-vision-vs-rare-atom-iem-road-to-rio-2022-china-closed-qualifier
496,Leicester 5,EKO,0,2,2022-08-28,/matches/2358288/leicester-5-vs-eko-insomnia69
497,ORDER,Encore,2,1,2022-08-28,/matches/2358214/order-vs-encore-iem-road-to-rio-2022-oceania-closed-qualifier
498,FaZe,Astralis,2,1,2022-08-28,/matches/2357667/faze-vs-astralis-blast-premier-fall-groups-2022
499,KOVA,Enterprise,0,2,2022-08-28,/matches/2358272/kova-vs-enterprise-cct-central-europe-series-1
500,SC,Wolsung,2,0,2022-08-28,/matches/2358270/sc-vs-wolsung-predator-cup-baltics-fall-2022
501,NKT,ARAVT,2,0,2022-08-28,/matches/2358207/nkt-vs-aravt-iem-road-to-rio-2022-asia-closed-qualifier
502,Rare Atom,Wings Up,2,0,2022-08-28,/matches/2358225/rare-atom-vs-wings-up-iem-road-to-rio-2022-china-closed-qualifier
503,Encore,DGG,2,1,2022-08-28,/matches/2358213/encore-vs-dgg-iem-road-to-rio-2022-oceania-closed-qualifier
504,Isurus,ODDIK,0,2,2022-08-28,/matches/2358258/isurus-vs-oddik-cct-south-america-series-1
505,Corinthians,B4,1,2,2022-08-28,/matches/2358118/corinthians-vs-b4-iem-road-to-rio-2022-south-america-open-qualifier-3
506,HEET,Benched Heroes,2,0,2022-08-28,/matches/2358144/heet-vs-benched-heroes-iem-road-to-rio-2022-europe-open-qualifier-4
507,ARCTIC,Isurus,19,15,2022-08-28,/matches/2358117/arctic-vs-isurus-iem-road-to-rio-2022-south-america-open-qualifier-3
508,WINDINGO,ex-Holkattes,2,0,2022-08-22,/matches/2358193/windingo-vs-ex-holkattes-cct-south-america-series-1
509,Redragon,Stars Horizon,0,2,2022-08-22,/matches/2358192/redragon-vs-stars-horizon-cct-south-america-series-1
510,fnatic,K23,16,14,2022-08-22,/matches/2358041/fnatic-vs-k23-iem-road-to-rio-2022-europe-open-qualifier-2
511,Monte,forZe,8,16,2022-08-22,/matches/2358040/monte-vs-forze-iem-road-to-rio-2022-europe-open-qualifier-2
512,K23,forZe,16,13,2022-08-22,/matches/2358038/k23-vs-forze-iem-road-to-rio-2022-europe-open-qualifier-2
513,Monte,fnatic,3,16,2022-08-22,/matches/2358039/monte-vs-fnatic-iem-road-to-rio-2022-europe-open-qualifier-2
514,Aurora,Sampi,2,0,2022-08-22,/matches/2357862/aurora-vs-sampi-cct-central-europe-series-1
515,Meta BR,SWS,2,0,2022-08-22,/matches/2358194/meta-br-vs-sws-cct-south-america-series-1
516,Enterprise,Beyond Possible,2,1,2022-08-22,/matches/2357861/enterprise-vs-beyond-possible-cct-central-europe-series-1
517,Hotspurs,777,2,0,2022-08-22,/matches/2358068/hotspurs-vs-777-elisa-invitational-fall-2022-contenders
518,Bandits,VERTEX,4,16,2022-08-22,/matches/2358054/bandits-vs-vertex-iem-road-to-rio-2022-oceania-open-qualifier-2
519,Antic,Morbin5,16,10,2022-08-22,/matches/2358056/antic-vs-morbin5-iem-road-to-rio-2022-oceania-open-qualifier-2
520,DGG,yellow,16,9,2022-08-22,/matches/2358057/dgg-vs-yellow-iem-road-to-rio-2022-oceania-open-qualifier-2
521,SKADE X,yodagus,2,1,2022-08-22,/matches/2358067/skade-x-vs-yodagus-elisa-invitational-fall-2022-contenders
522,Encore,CAMO,16,3,2022-08-22,/matches/2358055/encore-vs-camo-iem-road-to-rio-2022-oceania-open-qualifier-2
523,SKADE,MASONIC,2,0,2022-08-22,/matches/2357860/skade-vs-masonic-cct-central-europe-series-1
524,ARCTIC,Fluxo,9,16,2022-08-22,/matches/2358005/arctic-vs-fluxo-iem-road-to-rio-2022-south-america-open-qualifier-2
525,9z,B4,16,9,2022-08-22,/matches/2358003/9z-vs-b4-iem-road-to-rio-2022-south-america-open-qualifier-2
526,Los Grandes,O PLANO,6,16,2022-08-22,/matches/2358006/los-grandes-vs-o-plano-iem-road-to-rio-2022-south-america-open-qualifier-2
527,ODDIK,Case,14,16,2022-08-22,/matches/2358004/oddik-vs-case-iem-road-to-rio-2022-south-america-open-qualifier-2
528,Fluxo,Boca Juniors,16,3,2022-08-22,/matches/2357999/fluxo-vs-boca-juniors-iem-road-to-rio-2022-south-america-open-qualifier-2
529,B4,Isurus,19,16,2022-08-22,/matches/2357996/b4-vs-isurus-iem-road-to-rio-2022-south-america-open-qualifier-2
530,Arvum,O PLANO,11,16,2022-08-22,/matches/2358001/arvum-vs-o-plano-iem-road-to-rio-2022-south-america-open-qualifier-2
531,ARCTIC,WINDINGO,16,14,2022-08-22,/matches/2358000/arctic-vs-windingo-iem-road-to-rio-2022-south-america-open-qualifier-2
532,Case,SWS,19,15,2022-08-22,/matches/2357997/case-vs-sws-iem-road-to-rio-2022-south-america-open-qualifier-2
533,ODDIK,Redragon,16,14,2022-08-22,/matches/2357998/oddik-vs-redragon-iem-road-to-rio-2022-south-america-open-qualifier-2
534,9z,Sharks,16,11,2022-08-22,/matches/2357995/9z-vs-sharks-iem-road-to-rio-2022-south-america-open-qualifier-2
535,Brazen,Electrify Steel,2,0,2022-08-22,/matches/2357975/brazen-vs-electrify-steel-egl-premier-season-3
536,Paquetá,Los Grandes,5,16,2022-08-22,/matches/2358002/paquet-vs-los-grandes-iem-road-to-rio-2022-south-america-open-qualifier-2
537,River Plate,Rehl,2,0,2022-08-22,/matches/2358191/river-plate-vs-rehl-cct-south-america-series-1
538,fnatic,HAVU,2,0,2022-08-22,/matches/2358036/fnatic-vs-havu-iem-road-to-rio-2022-europe-open-qualifier-2
539,AJF,Meta BR,1,0,2022-09-26,/matches/2359219/ajf-vs-meta-br-liga-gamers-club-2022-serie-a-september-cup
540,MOB,Ape Gang,2,1,2022-09-26,/matches/2359214/mob-vs-ape-gang-americas-supercup-2022
541,Daotsu,Corinthians Academy,2,0,2022-09-26,/matches/2359218/daotsu-vs-corinthians-academy-liga-gamers-club-2022-serie-a-september-cup
542,B8,OneTap,0,2,2022-09-26,/matches/2359196/b8-vs-onetap-esea-advanced-season-42-europe
543,fnatic Rising,ECLOT,1,2,2022-09-26,/matches/2359151/fnatic-rising-vs-eclot-esea-advanced-season-42-europe
544,Finest,SINNERS,1,2,2022-09-26,/matches/2358306/finest-vs-sinners-esl-challenger-league-season-42-europe
545,EC Brugge,HOTU,1,2,2022-09-26,/matches/2359211/ec-brugge-vs-hotu-esea-advanced-season-42-europe
546,PACT,Sangal,1,2,2022-09-26,/matches/2359152/pact-vs-sangal-esea-advanced-season-42-europe
547,EYEBALLERS,Aurora,0,2,2022-09-26,/matches/2359150/eyeballers-vs-aurora-esea-advanced-season-42-europe
548,BLUEJAYS,HEET,2,0,2022-09-26,/matches/2358305/bluejays-vs-heet-esl-challenger-league-season-42-europe
549,PALOMA,Apeks,1,0,2022-09-26,/matches/2359126/paloma-vs-apeks-esea-advanced-season-42-europe
550,SKADE X,Sashi,0,2,2022-09-26,/matches/2359142/skade-x-vs-sashi-elisa-invitational-fall-2022
551,Elemental,Warriors,1,2,2022-09-26,/matches/2359013/elemental-vs-warriors-esl-australia-nz-championship-season-15
552,SINNERS,Hotspurs,2,1,2022-09-26,/matches/2359141/sinners-vs-hotspurs-elisa-invitational-fall-2022
553,KRAKEN,Frontier,2,0,2022-09-26,/matches/2359012/kraken-vs-frontier-esl-australia-nz-championship-season-15
554,Infinity,Take Flyte,2,1,2022-09-26,/matches/2359137/infinity-vs-take-flyte-esea-advanced-season-42-north-america
555,Iron Blood,Sojoga,2,1,2022-09-26,/matches/2359216/iron-blood-vs-sojoga-esea-autumn-2022-cash-cup-1-north-america
556,Paquetá,Fluxo,0,2,2022-09-26,/matches/2359202/paquet-vs-fluxo-cct-south-america-series-2
557,Eros,New Threat,2,0,2022-09-26,/matches/2359175/eros-vs-new-threat-esea-advanced-season-42-north-america
558,Task Force 141,BHOP,0,2,2022-09-26,/matches/2359217/task-force-141-vs-bhop-esea-autumn-2022-cash-cup-1-north-america
559,EG Black,Davenport University,2,0,2022-09-26,/matches/2358801/eg-black-vs-davenport-university-esl-challenger-league-season-42-north-america
560,BHOP,Sojoga,0,2,2022-09-26,/matches/2359194/bhop-vs-sojoga-esea-autumn-2022-cash-cup-1-north-america
561,Fluxo,ODDIK,2,1,2022-09-26,/matches/2359089/fluxo-vs-oddik-kabum-challenge-cup-2
562,TeamOne,Nouns,2,1,2022-09-26,/matches/2359197/teamone-vs-nouns-ace-north-american-masters-fall-2022-blast-premier-qualifier
563,Task Force 141,Iron Blood,0,2,2022-09-26,/matches/2359195/task-force-141-vs-iron-blood-esea-autumn-2022-cash-cup-1-north-america
564,SINNERS,Eternal Fire,1,2,2022-09-26,/matches/2359111/sinners-vs-eternal-fire-twr-eastern-european-masters-fall-2022-blast-premier-qualifier
565,Mythic,Electrify Steel,0,1,2022-09-28,/matches/2359274/mythic-vs-electrify-steel-cct-north-america-series-1
566,EYEBALLERS,Iron Branch,0,2,2022-09-28,/matches/2359258/eyeballers-vs-iron-branch-esea-advanced-season-42-europe
567,OG Academy,Beyond Possible,2,1,2022-09-28,/matches/2359266/og-academy-vs-beyond-possible-cct-south-europe-series-1-closed-qualifier
568,Aurora,Into the Breach,0,2,2022-09-28,/matches/2359206/aurora-vs-into-the-breach-cct-central-europe-series-2
569,Young Ninjas,Copenhagen Flames,0,2,2022-09-28,/matches/2359264/young-ninjas-vs-copenhagen-flames-cct-north-europe-series-1-closed-qualifier
570,Entropiq,AGO,2,0,2022-09-28,/matches/2357817/entropiq-vs-ago-esl-challenger-league-season-42-europe
571,Illuminar,Astralis Talent,2,0,2022-09-28,/matches/2359268/illuminar-vs-astralis-talent-cct-north-europe-series-1-closed-qualifier
572,fnatic Rising,OneTap,2,1,2022-09-28,/matches/2359226/fnatic-rising-vs-onetap-esea-advanced-season-42-europe
573,Zero Tenacity,EUMIX,2,0,2022-09-28,/matches/2359240/zero-tenacity-vs-eumix-cct-south-europe-series-1-closed-qualifier
574,Finest,BLUEJAYS,0,2,2022-09-28,/matches/2359245/finest-vs-bluejays-iem-road-to-rio-2022-europe-rmr-replacement-play-in
575,OG,Enterprise,2,1,2022-09-28,/matches/2359205/og-vs-enterprise-cct-central-europe-series-2
576,FURIA,Outsiders,1,2,2022-09-28,/matches/2358328/furia-vs-outsiders-esl-pro-league-season-16
577,Beyond Possible,Never Surrender,2,1,2022-09-28,/matches/2359238/beyond-possible-vs-never-surrender-cct-south-europe-series-1-closed-qualifier
578,Anonymo,Sashi,1,0,2022-09-28,/matches/2359246/anonymo-vs-sashi-iem-road-to-rio-2022-europe-rmr-replacement-play-in
579,PROSPECTS,Astralis Talent,0,2,2022-09-28,/matches/2359252/prospects-vs-astralis-talent-cct-north-europe-series-1-closed-qualifier
580,NeedDOCTOR,Kyoto,2,0,2022-09-28,/matches/2359239/needdoctor-vs-kyoto-cct-south-europe-series-1-closed-qualifier
581,Copenhagen Flames,EC Brugge,2,0,2022-09-28,/matches/2359250/copenhagen-flames-vs-ec-brugge-cct-north-europe-series-1-closed-qualifier
582,Finest,Into the Breach,2,0,2022-09-28,/matches/2359146/finest-vs-into-the-breach-elisa-invitational-fall-2022
583,Illuminar,Lilmix,2,1,2022-09-28,/matches/2359251/illuminar-vs-lilmix-cct-north-europe-series-1-closed-qualifier
584,KTRL,OG Academy,1,2,2022-09-28,/matches/2359237/ktrl-vs-og-academy-cct-south-europe-series-1-closed-qualifier
585,Entropiq,eSuba,2,0,2022-09-28,/matches/2359204/entropiq-vs-esuba-cct-central-europe-series-2
586,Young Ninjas,CENTER,2,0,2022-09-28,/matches/2359249/young-ninjas-vs-center-cct-north-europe-series-1-closed-qualifier
587,EC Kyiv,Endpoint,1,2,2022-09-28,/matches/2359145/ec-kyiv-vs-endpoint-elisa-invitational-fall-2022
588,Finest,Illuminar,2,0,2022-09-28,/matches/2359203/finest-vs-illuminar-cct-central-europe-series-2
589,Vendetta,Strife,2,1,2022-09-28,/matches/2359232/vendetta-vs-strife-esl-challenger-league-season-42-north-america
590,Villainous Union,Infinity,2,1,2022-09-28,/matches/2359235/villainous-union-vs-infinity-esea-advanced-season-42-north-america
591,X13,Red Wolves,1,2,2022-09-28,/matches/2359134/x13-vs-red-wolves-esea-advanced-season-42-north-america
592,Earlybirds,Eros,0,2,2022-09-28,/matches/2359236/earlybirds-vs-eros-esea-advanced-season-42-north-america
593,Davenport University,Kari,1,2,2022-09-28,/matches/2359231/davenport-university-vs-kari-esl-challenger-league-season-42-north-america
594,Mythic,Unjustified,2,1,2022-09-28,/matches/2359230/mythic-vs-unjustified-esl-challenger-league-season-42-north-america
595,Magic School Bus,Snakes Den,2,0,2022-09-28,/matches/2359133/magic-school-bus-vs-snakes-den-esea-advanced-season-42-north-america
596,Iron Blood,Task Force 141,2,0,2022-09-28,/matches/2358806/iron-blood-vs-task-force-141-esl-challenger-league-season-42-north-america
597,Brazen,EG Black,0,2,2022-09-28,/matches/2359229/brazen-vs-eg-black-esl-challenger-league-season-42-north-america
598,Corinthians Academy,AJF,2,0,2022-09-28,/matches/2359225/corinthians-academy-vs-ajf-liga-gamers-club-2022-serie-a-september-cup
599,Iron Branch,Anonymo,2,1,2022-09-28,/matches/2359213/iron-branch-vs-anonymo-esea-advanced-season-42-europe
600,KOVA,MASONIC,0,2,2022-08-24,/matches/2358230/kova-vs-masonic-cct-central-europe-series-1
601,ECSTATIC,HEET,2,0,2022-08-24,/matches/2358102/ecstatic-vs-heet-iem-road-to-rio-2022-europe-open-qualifier-3
602,EC Kyiv,X,2,0,2022-08-24,/matches/2358229/ec-kyiv-vs-x-cct-central-europe-series-1
603,Eternal Fire,Sangal,16,10,2022-08-24,/matches/2358100/eternal-fire-vs-sangal-iem-road-to-rio-2022-europe-open-qualifier-3
604,FANTASY,B8,0,1,2022-08-24,/matches/2358101/fantasy-vs-b8-iem-road-to-rio-2022-europe-open-qualifier-3
605,Entropiq,HEET,9,16,2022-08-24,/matches/2358098/entropiq-vs-heet-iem-road-to-rio-2022-europe-open-qualifier-3
606,los kogutos,ECSTATIC,9,16,2022-08-24,/matches/2358099/los-kogutos-vs-ecstatic-iem-road-to-rio-2022-europe-open-qualifier-3
607,B8,Sangal,2,16,2022-08-24,/matches/2358097/b8-vs-sangal-iem-road-to-rio-2022-europe-open-qualifier-3
608,FANTASY,Eternal Fire,0,1,2022-08-24,/matches/2358096/fantasy-vs-eternal-fire-iem-road-to-rio-2022-europe-open-qualifier-3
609,Sampi,Beyond Possible,1,2,2022-08-24,/matches/2358228/sampi-vs-beyond-possible-cct-central-europe-series-1
610,Tricked,MASONIC,1,2,2022-08-24,/matches/2358078/tricked-vs-masonic-elisa-invitational-fall-2022-contenders
611,EYEBALLERS,SC,1,2,2022-08-24,/matches/2358227/eyeballers-vs-sc-cct-central-europe-series-1
612,EC Kyiv,ECLOT,2,0,2022-08-24,/matches/2358076/ec-kyiv-vs-eclot-elisa-invitational-fall-2022-contenders
613,Strife,timbermen,0,2,2022-08-24,/matches/2358196/strife-vs-timbermen-esl-challenger-league-season-42-north-america
614,River Plate,SWS,0,2,2022-08-24,/matches/2358202/river-plate-vs-sws-cct-south-america-series-1
615,ECSTATIC,Eternal Fire,1,2,2022-08-24,/matches/2358093/ecstatic-vs-eternal-fire-iem-road-to-rio-2022-europe-open-qualifier-3
616,los kogutos,FANTASY,1,2,2022-08-24,/matches/2358092/los-kogutos-vs-fantasy-iem-road-to-rio-2022-europe-open-qualifier-3
617,MIBR Academy,Isurus,1,2,2022-08-24,/matches/2358201/mibr-academy-vs-isurus-cct-south-america-series-1
618,Hatred,SKADE,0,2,2022-09-03,/matches/2358552/hatred-vs-skade-monster-king-of-the-hill-bulgaria-2022
619,Natus Vincere,Vitality,1,2,2022-09-03,/matches/2357704/natus-vincere-vs-vitality-esl-pro-league-season-16
620,Bad News Eagles,Enterprise,1,2,2022-09-03,/matches/2358551/bad-news-eagles-vs-enterprise-tipsport-prague-cup-2022
621,Nixuh,Bravado,2,0,2022-09-03,/matches/2358545/nixuh-vs-bravado-esl-challenger-rotterdam-2022-south-africa-closed-qualifier
622,forZe,1WIN,0,2,2022-09-03,/matches/2358466/forze-vs-1win-cct-central-europe-series-1
623,NIJE,Zero Tenacity,1,2,2022-09-03,/matches/2358537/nije-vs-zero-tenacity-res-season-3
624,gothboiclique,Brosskiez,1,3,2022-09-03,/matches/2358543/gothboiclique-vs-brosskiez-esa-supremes-fall-2022
625,SAW,Sprout,2,0,2022-09-03,/matches/2358516/saw-vs-sprout-flow-fireleague-2022-europe-closed-qualifier
626,Daotsu,Stars Horizon,2,0,2022-09-03,/matches/2358542/daotsu-vs-stars-horizon-cbcs-masters-festival-2022
627,NeedDOCTOR,SKADE,1,2,2022-09-03,/matches/2358532/needdoctor-vs-skade-monster-king-of-the-hill-bulgaria-2022
628,1PIN,XRAVEL,2,0,2022-09-03,/matches/2358521/1pin-vs-xravel-ukic-beyond-summer-invitational-2022
629,Sampi,Entropiq Prague,0,2,2022-09-03,/matches/2358550/sampi-vs-entropiq-prague-tipsport-prague-cup-2022
630,MIBR,Monte,2,1,2022-09-03,/matches/2358467/mibr-vs-monte-cct-central-europe-series-1
631,DNMK,Bravado,0,2,2022-09-03,/matches/2358544/dnmk-vs-bravado-esl-challenger-rotterdam-2022-south-africa-closed-qualifier
632,EKO,tokyoxd,2,0,2022-09-03,/matches/2358520/eko-vs-tokyoxd-ukic-beyond-summer-invitational-2022
633,BLUEJAYS,KTRL,2,0,2022-09-03,/matches/2358509/bluejays-vs-ktrl-res-season-3
634,TAG,Websterz,2,0,2022-09-03,/matches/2358517/tag-vs-websterz-cyberpark-cup-2022
635,fnatic,Spirit,2,0,2022-09-03,/matches/2357703/fnatic-vs-spirit-esl-pro-league-season-16
636,Hatred,BNR,2,1,2022-09-03,/matches/2358531/hatred-vs-bnr-monster-king-of-the-hill-bulgaria-2022
637,Enterprise,Entropiq Prague,16,4,2022-09-03,/matches/2358513/enterprise-vs-entropiq-prague-tipsport-prague-cup-2022
638,9 Pandas,wannafly,1,0,2022-09-03,/matches/2358534/9-pandas-vs-wannafly-cyberpark-cup-2022
639,BLVKHVND,7AM,2,1,2022-09-03,/matches/2358519/blvkhvnd-vs-7am-ukic-beyond-summer-invitational-2022
640,Falcons,ECLOT,2,1,2022-09-03,/matches/2358465/falcons-vs-eclot-cct-central-europe-series-1
641,Bad News Eagles,Sampi,16,8,2022-09-03,/matches/2358512/bad-news-eagles-vs-sampi-tipsport-prague-cup-2022
642,xDDDD,AVANGAR,0,2,2022-09-03,/matches/2358518/xdddd-vs-avangar-cyberpark-cup-2022
643,Ninjas in Pyjamas,Endpoint,2,0,2022-09-03,/matches/2357702/ninjas-in-pyjamas-vs-endpoint-esl-pro-league-season-16
644,Enterprise,EC Kyiv,0,2,2022-09-03,/matches/2358464/enterprise-vs-ec-kyiv-cct-central-europe-series-1
645,Imperial,Grayhound,2,0,2022-09-03,/matches/2358345/imperial-vs-grayhound-esl-challenger-melbourne-2022
646,OG,Wings Up,0,2,2022-09-03,/matches/2358344/og-vs-wings-up-esl-challenger-melbourne-2022
647,VERTEX,Grayhound,0,2,2022-09-03,/matches/2358343/vertex-vs-grayhound-esl-challenger-melbourne-2022
648,B4,Meta BR,17,19,2022-09-03,/matches/2358541/b4-vs-meta-br-cbcs-masters-festival-2022
649,ARCTIC,Sharks,16,14,2022-09-03,/matches/2358540/arctic-vs-sharks-cbcs-masters-festival-2022
650,Evil Geniuses,ATK,16,6,2022-09-03,/matches/2358169/evil-geniuses-vs-atk-iem-road-to-rio-2022-north-america-open-qualifier-2
651,Meta BR,The Union,16,14,2022-09-03,/matches/2357872/meta-br-vs-the-union-cbcs-masters-festival-2022
652,Goliath,Bravado,1,2,2022-09-03,/matches/2358535/goliath-vs-bravado-esl-challenger-rotterdam-2022-south-africa-closed-qualifier
653,gothboiclique,Eternal Fire,1,2,2022-09-03,/matches/2358510/gothboiclique-vs-eternal-fire-esa-supremes-fall-2022
654,ex-Holkattes,MIBR Academy,2,1,2022-08-18,/matches/2357971/ex-holkattes-vs-mibr-academy-cct-south-america-series-1
655,MIBR fe,B4 fe,2,0,2022-08-18,/matches/2357965/mibr-fe-vs-b4-fe-monster-energy-bgs-bomb-b-women-cup-2022
656,Daotsu,SWS,2,1,2022-08-18,/matches/2357970/daotsu-vs-sws-cct-south-america-series-1
657,Into the Breach,Hotspurs,2,1,2022-08-18,/matches/2357827/into-the-breach-vs-hotspurs-elisa-invitational-fall-2022-contenders
658,Tricked,schadE halt,2,1,2022-08-18,/matches/2357826/tricked-vs-schade-halt-elisa-invitational-fall-2022-contenders
659,00NATION,Fluxo,2,1,2022-08-18,/matches/2357912/00nation-vs-fluxo-iem-road-to-rio-2022-south-america-open-qualifier-1
660,paiN,MIBR,16,12,2022-08-18,/matches/2357911/pain-vs-mibr-iem-road-to-rio-2022-south-america-open-qualifier-1
661,Rehl,Isurus,2,1,2022-08-18,/matches/2357969/rehl-vs-isurus-cct-south-america-series-1
662,MIBR,Fluxo,2,1,2022-08-18,/matches/2357909/mibr-vs-fluxo-iem-road-to-rio-2022-south-america-open-qualifier-1
663,paiN,00NATION,2,0,2022-08-18,/matches/2357910/pain-vs-00nation-iem-road-to-rio-2022-south-america-open-qualifier-1
664,Complexity,Gaimin Gladiators,16,9,2022-08-18,/matches/2357927/complexity-vs-gaimin-gladiators-iem-road-to-rio-2022-north-america-open-qualifier-1
665,homeless,Redragon,0,2,2022-08-18,/matches/2357968/homeless-vs-redragon-cct-south-america-series-1
666,Sprout,ECSTATIC,2,0,2022-08-16,/matches/2357955/sprout-vs-ecstatic-iem-road-to-rio-2022-europe-open-qualifier-1
