,team1,team2,result1,result2,date_of_match,reference
384,NAVI Junior,BLINK,0,1,2022-10-15,/matches/2359622/navi-junior-vs-blink-cct-south-europe-series-1
385,Red Wolves,Victorum,2,1,2022-10-15,/matches/2359631/red-wolves-vs-victorum-esl-challenger-league-season-42-north-america-relegation
386,Villainous Union,Snakes Den,1,2,2022-10-15,/matches/2359632/villainous-union-vs-snakes-den-esl-challenger-league-season-42-north-america-relegation
387,CEPTER,struggletony,2,1,2022-10-15,/matches/2359639/cepter-vs-struggletony-npf-invitational-2022
388,Atlantic,Sashi,2,1,2022-10-15,/matches/2359640/atlantic-vs-sashi-npf-invitational-2022
389,TeamOne,Fluxo,1,2,2022-10-15,/matches/2359549/teamone-vs-fluxo-esl-challenger-rotterdam-2022
390,iNation,KTRL,1,2,2022-10-15,/matches/2359535/ination-vs-ktrl-jaxi-league-balkan-series-2022
391,Flames Ascent,Astralis Talent,0,2,2022-10-15,/matches/2359638/flames-ascent-vs-astralis-talent-npf-invitational-2022
392,Imperial,Isurus,2,0,2022-10-15,/matches/2359377/imperial-vs-isurus-flow-fireleague-2022-global-finals
393,Natus Vincere,Illuminar,16,5,2022-10-04,/matches/2358395/natus-vincere-vs-illuminar-iem-road-to-rio-2022-europe-rmr-b
394,MOUZ,OG,16,10,2022-10-04,/matches/2358402/mouz-vs-og-iem-road-to-rio-2022-europe-rmr-b
395,BIG,Sangal,16,3,2022-10-04,/matches/2358399/big-vs-sangal-iem-road-to-rio-2022-europe-rmr-b
396,ENCE,HEET,16,8,2022-10-04,/matches/2358396/ence-vs-heet-iem-road-to-rio-2022-europe-rmr-b
397,Heroic,SAW,16,5,2022-10-04,/matches/2358397/heroic-vs-saw-iem-road-to-rio-2022-europe-rmr-b
398,Falcons,K23,16,9,2022-10-04,/matches/2358401/falcons-vs-k23-iem-road-to-rio-2022-europe-rmr-b
399,Vitality,FANTASY,16,6,2022-10-04,/matches/2358398/vitality-vs-fantasy-iem-road-to-rio-2022-europe-rmr-b
400,Outsiders,Monte,16,9,2022-10-04,/matches/2358400/outsiders-vs-monte-iem-road-to-rio-2022-europe-rmr-b
401,Ninjas in Pyjamas,Astralis,16,12,2022-10-04,/matches/2358389/ninjas-in-pyjamas-vs-astralis-iem-road-to-rio-2022-europe-rmr-a
402,Aurora,fnatic,4,16,2022-10-04,/matches/2358394/aurora-vs-fnatic-iem-road-to-rio-2022-europe-rmr-a
403,FaZe,GamerLegion,28,25,2022-10-04,/matches/2358387/faze-vs-gamerlegion-iem-road-to-rio-2022-europe-rmr-a
404,Spirit,1WIN,16,9,2022-10-04,/matches/2358388/spirit-vs-1win-iem-road-to-rio-2022-europe-rmr-a
405,DGG,Elemental,2,0,2022-10-04,/matches/2359223/dgg-vs-elemental-lpl-pro-league-season-11
406,Cloud9,B8,16,6,2022-10-04,/matches/2358391/cloud9-vs-b8-iem-road-to-rio-2022-europe-rmr-a
407,G2,ECSTATIC,16,0,2022-10-04,/matches/2358390/g2-vs-ecstatic-iem-road-to-rio-2022-europe-rmr-a
408,Antic,Warriors,2,1,2022-10-04,/matches/2359222/antic-vs-warriors-lpl-pro-league-season-11
409,Sprout,forZe,19,17,2022-10-04,/matches/2358393/sprout-vs-forze-iem-road-to-rio-2022-europe-rmr-a
410,Bad News Eagles,Eternal Fire,16,14,2022-10-04,/matches/2358392/bad-news-eagles-vs-eternal-fire-iem-road-to-rio-2022-europe-rmr-a
411,9z,Furious,2,0,2022-09-17,/matches/2358941/9z-vs-furious-fireleague-latin-power-fall-2022-blast-premier-qualifier
412,Davenport University,All Gas No Brakes,1,0,2022-09-17,/matches/2358946/davenport-university-vs-all-gas-no-brakes-cct-north-america-series-1
