team1,team2,result1,result2,date_of_match,reference
Paquetá,FURIA Academy,2,0,2022-09-23,/matches/2359047/paquet-vs-furia-academy-cct-south-america-series-2
ONYX,SINNERS,2,16,2022-09-23,/matches/2359105/onyx-vs-sinners-twr-eastern-european-masters-fall-2022-blast-premier-qualifier
Nouns,TeamOne,7,16,2022-09-23,/matches/2359138/nouns-vs-teamone-ace-north-american-masters-fall-2022-blast-premier-qualifier
LeeK,MASONIC,2,1,2022-09-23,/matches/2359078/leek-vs-masonic-esea-advanced-season-42-europe
River Plate,MOB,16,10,2022-09-23,/matches/2359123/river-plate-vs-mob-americas-supercup-2022
ODDIK,Daotsu,2,0,2022-09-23,/matches/2359088/oddik-vs-daotsu-kabum-challenge-cup-2
MOUZ,SINNERS,16,14,2022-09-23,/matches/2359104/mouz-vs-sinners-twr-eastern-european-masters-fall-2022-blast-premier-qualifier
Liquid,FURIA,1,2,2022-09-23,/matches/2357746/liquid-vs-furia-esl-pro-league-season-16
TeamOne,BHOP,25,23,2022-09-23,/matches/2359130/teamone-vs-bhop-ace-north-american-masters-fall-2022-blast-premier-qualifier
Apeks,Enterprise,1,2,2022-09-23,/matches/2359117/apeks-vs-enterprise-cct-central-europe-series-2
ALTERNATE aTTaX,LDLC,1,2,2022-09-23,/matches/2359083/alternate-attax-vs-ldlc-esea-advanced-season-42-europe
HOTU,Zero Tenacity,2,0,2022-09-23,/matches/2359113/hotu-vs-zero-tenacity-scl-season-6
markeloff's Team,Edward's Team,0,3,2022-09-23,/matches/2359114/markeloffs-team-vs-edwards-team-showmatch-csgo
ONYX,Nexus,19,16,2022-09-23,/matches/2359103/onyx-vs-nexus-twr-eastern-european-masters-fall-2022-blast-premier-qualifier
Meta BR,Ape Gang,12,16,2022-09-23,/matches/2359122/meta-br-vs-ape-gang-americas-supercup-2022
ECLOT,9 Pandas,2,1,2022-09-23,/matches/2359057/eclot-vs-9-pandas-esea-advanced-season-42-europe
Nouns,Sojoga,16,11,2022-09-23,/matches/2359129/nouns-vs-sojoga-ace-north-american-masters-fall-2022-blast-premier-qualifier
Into the Breach,xDDDD,2,0,2022-09-23,/matches/2359081/into-the-breach-vs-xdddd-esea-advanced-season-42-europe
ARCRED,NeedDOCTOR,2,0,2022-09-23,/matches/2359082/arcred-vs-needdoctor-esea-advanced-season-42-europe
Aurora,B8,2,0,2022-09-23,/matches/2359073/aurora-vs-b8-esea-advanced-season-42-europe
SINNERS,Nexus,16,10,2022-09-23,/matches/2358955/sinners-vs-nexus-twr-eastern-european-masters-fall-2022-blast-premier-qualifier
FTW,BIG Academy,1,2,2022-09-23,/matches/2359116/ftw-vs-big-academy-cct-central-europe-series-2
MASONIC,Lilmix,16,7,2022-09-23,/matches/2359096/masonic-vs-lilmix-pelaajat-nordic-masters-fall-2022-blast-premier-qualifier
