team1,team2,result1,result2,date_of_match,reference
ARCTIC,Daotsu,2,1,2022-09-09,/matches/2358654/arctic-vs-daotsu-cbcs-masters-festival-2022-finals
Limitless,Vireo.pro,2,1,2022-09-09,/matches/2358677/limitless-vs-vireopro-fragadelphia-17-last-chance-qualifier
FaZe,Outsiders,2,1,2022-09-09,/matches/2357716/faze-vs-outsiders-esl-pro-league-season-16
Sharks,FURIA Academy,16,12,2022-09-09,/matches/2358661/sharks-vs-furia-academy-esl-challenger-rotterdam-2022-south-america-open-qualifier-1
EG White,7AM,2,1,2022-09-09,/matches/2358638/eg-white-vs-7am-fragadelphia-17-last-chance-qualifier
Firstwave,Snakes Den,0,2,2022-09-09,/matches/2358676/firstwave-vs-snakes-den-fragadelphia-17-last-chance-qualifier
Tricked,Monte,2,1,2022-09-09,/matches/2358679/tricked-vs-monte-esl-challenger-rotterdam-2022-europe-open-qualifier-1
X13,Esoteric,2,0,2022-09-09,/matches/2358675/x13-vs-esoteric-fragadelphia-17-last-chance-qualifier
1WIN,SKADE,2,0,2022-09-09,/matches/2358678/1win-vs-skade-esl-challenger-rotterdam-2022-europe-open-qualifier-1
EG Black,Detonate,2,0,2022-09-09,/matches/2358653/eg-black-vs-detonate-fragadelphia-17-last-chance-qualifier
Zenigma,BLVKHVND,0,2,2022-09-09,/matches/2358674/zenigma-vs-blvkhvnd-fragadelphia-17-last-chance-qualifier
BIG,MIBR,2,1,2022-09-09,/matches/2357715/big-vs-mibr-esl-pro-league-season-16
Esoteric,DU Black,2,1,2022-09-09,/matches/2358639/esoteric-vs-du-black-fragadelphia-17-last-chance-qualifier
Snakes Den,Kari,2,1,2022-09-09,/matches/2358652/snakes-den-vs-kari-fragadelphia-17-last-chance-qualifier
Apeks,BIG Academy,0,2,2022-09-09,/matches/2358636/apeks-vs-big-academy-fragadelphia-17-last-chance-qualifier
Websterz,Monte,13,16,2022-09-09,/matches/2358635/websterz-vs-monte-esl-challenger-rotterdam-2022-europe-open-qualifier-1
