team1,team2,result1,result2,date_of_match,reference
Detonate,DNA,0,1,2022-09-13,/matches/2358836/detonate-vs-dna-cct-north-america-series-1
Paquetá,FUSION,2,1,2022-09-13,/matches/2358791/paquet-vs-fusion-cct-south-america-series-2
UNGENTIUM,ECSTATIC,0,2,2022-09-13,/matches/2358303/ungentium-vs-ecstatic-esl-challenger-league-season-42-europe
Bad News Eagles,Falcons,2,0,2022-09-13,/matches/2358302/bad-news-eagles-vs-falcons-esl-challenger-league-season-42-europe
ECLOT,9INE,2,0,2022-09-13,/matches/2358720/eclot-vs-9ine-cct-central-europe-series-2-closed-qualifier
Forward,AVANGAR,1,2,2022-09-13,/matches/2358770/forward-vs-avangar-pari-patriki-vibe-lan-2022
eSuba,OG Academy,2,1,2022-09-13,/matches/2358719/esuba-vs-og-academy-cct-central-europe-series-2-closed-qualifier
Furious,ex-Holkattes,1,2,2022-09-13,/matches/2358790/furious-vs-ex-holkattes-cct-south-america-series-2
Edward's Team,HeatoN's Team,16,10,2022-09-13,/matches/2358816/edwards-team-vs-heatons-team-kinguin-legends-2022
TITANS,Eternal Fire Academy,2,0,2022-09-13,/matches/2358718/titans-vs-eternal-fire-academy-cct-central-europe-series-2-closed-qualifier
SAW,EYEBALLERS,2,1,2022-09-13,/matches/2358689/saw-vs-eyeballers-elisa-invitational-fall-2022
kennyS' Team,HeatoN's Team,16,11,2022-09-13,/matches/2358815/kennys-team-vs-heatons-team-kinguin-legends-2022
K23,RCL,0,2,2022-09-13,/matches/2358769/k23-vs-rcl-pari-patriki-vibe-lan-2022
NEO's Team,HeatoN's Team,16,14,2022-09-13,/matches/2358814/neos-team-vs-heatons-team-kinguin-legends-2022
los kogutos,Nexus,0,2,2022-09-13,/matches/2358717/los-kogutos-vs-nexus-cct-central-europe-series-2-closed-qualifier
Antic,Frontier,2,0,2022-09-13,/matches/2358478/antic-vs-frontier-esl-australia-nz-championship-season-15
HeatoN's Team,Maikelele's Team,10,16,2022-09-13,/matches/2358813/heatons-team-vs-maikeleles-team-kinguin-legends-2022
GoodJob,BEBRA,2,0,2022-09-13,/matches/2358830/goodjob-vs-bebra-pari-patriki-vibe-lan-2022
pashaBiceps' Team,HeatoN's Team,16,3,2022-09-13,/matches/2358812/pashabiceps-team-vs-heatons-team-kinguin-legends-2022
BLUEJAYS,Sashi,2,0,2022-09-13,/matches/2358688/bluejays-vs-sashi-elisa-invitational-fall-2022
Encore,God's Work,2,0,2022-09-13,/matches/2358477/encore-vs-gods-work-esl-australia-nz-championship-season-15
SWS,MIBR Academy,0,2,2022-09-13,/matches/2358789/sws-vs-mibr-academy-cct-south-america-series-2
TAG,BEBRA,2,1,2022-09-13,/matches/2358811/tag-vs-bebra-pari-patriki-vibe-lan-2022
