team1,team2,result1,result2,date_of_match,reference
Aurora,Into the Breach,2,1,2022-09-21,/matches/2359022/aurora-vs-into-the-breach-esea-advanced-season-42-europe
Ape Gang,The Union,16,11,2022-09-21,/matches/2359038/ape-gang-vs-the-union-americas-supercup-2022
HEET,SINNERS,2,0,2022-09-21,/matches/2357816/heet-vs-sinners-esl-challenger-league-season-42-europe
ex-SKADE,Illuminar,0,2,2022-09-21,/matches/2359052/ex-skade-vs-illuminar-cct-central-europe-series-2
Apeks,HOTU,2,1,2022-09-21,/matches/2359019/apeks-vs-hotu-esea-advanced-season-42-europe
LDLC,JANO,0,2,2022-09-21,/matches/2359029/ldlc-vs-jano-esea-advanced-season-42-europe
Anonymo,NeedDOCTOR,2,0,2022-09-21,/matches/2359025/anonymo-vs-needdoctor-esea-advanced-season-42-europe
fnatic Rising,ARCRED,2,0,2022-09-21,/matches/2359024/fnatic-rising-vs-arcred-esea-advanced-season-42-europe
Eternal Fire,FURIA,1,2,2022-09-21,/matches/2357739/eternal-fire-vs-furia-esl-pro-league-season-16
xDDDD,B8,0,2,2022-09-21,/matches/2359023/xdddd-vs-b8-esea-advanced-season-42-europe
los kogutos,Nexus,2,0,2022-09-21,/matches/2359051/los-kogutos-vs-nexus-cct-central-europe-series-2
Sprout,SAW,2,1,2022-09-21,/matches/2358982/sprout-vs-saw-elisa-invitational-fall-2022
ex-SKADE,LeeK,2,0,2022-09-21,/matches/2359016/ex-skade-vs-leek-esea-advanced-season-42-europe
BIG Academy,MOUZ NXT,2,1,2022-09-21,/matches/2359050/big-academy-vs-mouz-nxt-cct-central-europe-series-2
Cloud9,Evil Geniuses,2,0,2022-09-21,/matches/2357738/cloud9-vs-evil-geniuses-esl-pro-league-season-16
Bad News Eagles,Endpoint,2,1,2022-09-21,/matches/2358981/bad-news-eagles-vs-endpoint-elisa-invitational-fall-2022
EYEBALLERS,Enterprise,0,2,2022-09-21,/matches/2359049/eyeballers-vs-enterprise-cct-central-europe-series-2
Iron Blood,Victorum,2,1,2022-09-21,/matches/2359004/iron-blood-vs-victorum-esl-challenger-league-season-42-north-america
MIBR,Mythic,2,1,2022-09-21,/matches/2358809/mibr-vs-mythic-esl-challenger-league-season-42-north-america
Strife,Nouns,1,2,2022-09-21,/matches/2359005/strife-vs-nouns-esl-challenger-league-season-42-north-america
Foggy,Detonate,0,2,2022-09-21,/matches/2359000/foggy-vs-detonate-cct-north-america-series-1
Davenport University,TeamOne,0,2,2022-09-21,/matches/2359003/davenport-university-vs-teamone-esl-challenger-league-season-42-north-america
DNA,Villainous Union,0,2,2022-09-21,/matches/2358999/dna-vs-villainous-union-cct-north-america-series-1
MOB,WINDINGO,2,1,2022-09-21,/matches/2359039/mob-vs-windingo-americas-supercup-2022
Nexus,TAG,1,2,2022-09-21,/matches/2359018/nexus-vs-tag-esea-advanced-season-42-europe
