team1,team2,result1,result2,date_of_match,reference
Sashi,Tricked,9,16,2022-09-08,/matches/2358622/sashi-vs-tricked-esl-challenger-rotterdam-2022-europe-open-qualifier-1
TeamOne,BLVKHVND,2,0,2022-09-08,/matches/2358614/teamone-vs-blvkhvnd-fragadelphia-17-last-chance-qualifier
EG White,Vireo.pro,2,0,2022-09-08,/matches/2358619/eg-white-vs-vireopro-fragadelphia-17-last-chance-qualifier
Websterz,los kogutos,16,14,2022-09-08,/matches/2358621/websterz-vs-los-kogutos-esl-challenger-rotterdam-2022-europe-open-qualifier-1
ARCTIC,ODDIK,2,0,2022-09-08,/matches/2358611/arctic-vs-oddik-cbcs-masters-festival-2022-finals
FaZe,MIBR,2,1,2022-09-08,/matches/2357713/faze-vs-mibr-esl-pro-league-season-16
SC,ECLOT,2,0,2022-09-08,/matches/2358567/sc-vs-eclot-steelseries-nova-cup-western-europe-fall-2022
Strive in chaos,0to100,2,0,2022-09-08,/matches/2358592/strive-in-chaos-vs-0to100-res-season-3
Hotspurs,B8,2,1,2022-09-08,/matches/2358610/hotspurs-vs-b8-elisa-invitational-fall-2022-contenders
ECLOT,Movistar Riders,2,1,2022-09-08,/matches/2358566/eclot-vs-movistar-riders-steelseries-nova-cup-western-europe-fall-2022
G2,BIG,2,0,2022-09-08,/matches/2357712/g2-vs-big-esl-pro-league-season-16
Tricked,SKADE X,0,2,2022-09-08,/matches/2358609/tricked-vs-skade-x-elisa-invitational-fall-2022-contenders
RCL,9 Pandas,0,2,2022-09-08,/matches/2358607/rcl-vs-9-pandas-cyberpark-cup-2022
Outsiders,FTW,2,0,2022-09-08,/matches/2357711/outsiders-vs-ftw-esl-pro-league-season-16
PROSPECTS,ECLOT,1,2,2022-09-08,/matches/2358608/prospects-vs-eclot-elisa-invitational-fall-2022-contenders
Unjustified,Brazen,0,2,2022-09-08,/matches/2358575/unjustified-vs-brazen-esl-challenger-league-season-42-north-america
timbermen,TeamOne,0,2,2022-09-08,/matches/2358613/timbermen-vs-teamone-esl-challenger-rotterdam-2022-north-america-open-qualifier-1
TeamOne,Phantom Troupe,16,5,2022-09-08,/matches/2358599/teamone-vs-phantom-troupe-esl-challenger-rotterdam-2022-north-america-open-qualifier-1
Vendetta,timbermen,7,16,2022-09-08,/matches/2358598/vendetta-vs-timbermen-esl-challenger-rotterdam-2022-north-america-open-qualifier-1
