team1,team2,result1,result2,date_of_match,reference
Boca Juniors,WINDINGO,0,2,2022-09-15,/matches/2358858/boca-juniors-vs-windingo-cct-south-america-series-2
GoodJob,RCL,3,1,2022-09-15,/matches/2358893/goodjob-vs-rcl-pari-patriki-vibe-lan-2022
ODDIK,Furious,16,13,2022-09-15,/matches/2358605/oddik-vs-furious-fireleague-latin-power-fall-2022-blast-premier-qualifier
PGE Turow,SC,16,14,2022-09-15,/matches/2358896/pge-turow-vs-sc-gam3rs-x-eu-champions-fall-2022-blast-premier-qualifier
9z,Mad Kings,16,2,2022-09-15,/matches/2358603/9z-vs-mad-kings-fireleague-latin-power-fall-2022-blast-premier-qualifier
ENCE,Heroic,0,2,2022-09-15,/matches/2357728/ence-vs-heroic-esl-pro-league-season-16
Fluxo,WINDINGO,19,16,2022-09-15,/matches/2358604/fluxo-vs-windingo-fireleague-latin-power-fall-2022-blast-premier-qualifier
SC,EKO,16,13,2022-09-15,/matches/2358895/sc-vs-eko-gam3rs-x-eu-champions-fall-2022-blast-premier-qualifier
Entropiq Prague,eSuba,0,2,2022-09-15,/matches/2358872/entropiq-prague-vs-esuba-cct-central-europe-series-2-closed-qualifier
Genk,EC Brugge,2,1,2022-09-15,/matches/2358831/genk-vs-ec-brugge-betfirst-elite-series-summer-split-2022
The Union,Furious,0,1,2022-09-15,/matches/2358857/the-union-vs-furious-cct-south-america-series-2
PGE Turow,Sangal,2,16,2022-09-15,/matches/2358894/pge-turow-vs-sangal-gam3rs-x-eu-champions-fall-2022-blast-premier-qualifier
Sangal,EKO,16,8,2022-09-15,/matches/2358842/sangal-vs-eko-gam3rs-x-eu-champions-fall-2022-blast-premier-qualifier
ECLOT,HONORIS,0,2,2022-09-15,/matches/2358871/eclot-vs-honoris-cct-central-europe-series-2-closed-qualifier
Endpoint,SKADE X,2,0,2022-09-15,/matches/2358693/endpoint-vs-skade-x-elisa-invitational-fall-2022
Complexity,HEET,2,0,2022-09-15,/matches/2357727/complexity-vs-heet-esl-pro-league-season-16
TAG,RCL,1,2,2022-09-15,/matches/2358868/tag-vs-rcl-pari-patriki-vibe-lan-2022
Liberty,FUSION,0,2,2022-09-15,/matches/2358856/liberty-vs-fusion-cct-south-america-series-2
SC,PGE Turow,7,16,2022-09-15,/matches/2358841/sc-vs-pge-turow-gam3rs-x-eu-champions-fall-2022-blast-premier-qualifier
NEO's Team,Maikelele's Team,3,16,2022-09-15,/matches/2358826/neos-team-vs-maikeleles-team-kinguin-legends-2022
Young Ninjas,los kogutos,1,2,2022-09-15,/matches/2358870/young-ninjas-vs-los-kogutos-cct-central-europe-series-2-closed-qualifier
NEO's Team,pashaBiceps' Team,16,7,2022-09-15,/matches/2358825/neos-team-vs-pashabiceps-team-kinguin-legends-2022
kennyS' Team,pashaBiceps' Team,16,8,2022-09-15,/matches/2358824/kennys-team-vs-pashabiceps-team-kinguin-legends-2022
SINNERS,MASONIC,1,2,2022-09-15,/matches/2358692/sinners-vs-masonic-elisa-invitational-fall-2022
Astralis,MOUZ,2,0,2022-09-15,/matches/2357726/astralis-vs-mouz-esl-pro-league-season-16
kennyS' Team,Maikelele's Team,16,12,2022-09-15,/matches/2358823/kennys-team-vs-maikeleles-team-kinguin-legends-2022
AVANGAR,GoodJob,1,2,2022-09-15,/matches/2358867/avangar-vs-goodjob-pari-patriki-vibe-lan-2022
yellow,Nut-E,0,2,2022-09-15,/matches/2358482/yellow-vs-nut-e-esl-australia-nz-championship-season-15
Maikelele's Team,Edward's Team,16,8,2022-09-15,/matches/2358822/maikeleles-team-vs-edwards-team-kinguin-legends-2022
SC,Nexus,0,2,2022-09-15,/matches/2358869/sc-vs-nexus-cct-central-europe-series-2-closed-qualifier
Grayhound,Meat Grinders,2,0,2022-09-15,/matches/2358481/grayhound-vs-meat-grinders-esl-australia-nz-championship-season-15
FURIA Academy,O PLANO,1,2,2022-09-15,/matches/2358875/furia-academy-vs-o-plano-esl-challenger-rotterdam-2022-south-america-closed-qualifier
Limitless,Electrify Steel,2,1,2022-09-15,/matches/2358840/limitless-vs-electrify-steel-cct-north-america-series-1
Strife,BHOP,12,16,2022-09-15,/matches/2358880/strife-vs-bhop-esl-challenger-rotterdam-2022-north-america-open-qualifier-2
Iron Blood,EG Black,16,12,2022-09-15,/matches/2358881/iron-blood-vs-eg-black-esl-challenger-rotterdam-2022-north-america-open-qualifier-2
Paquetá,Fluxo,1,2,2022-09-15,/matches/2358874/paquet-vs-fluxo-esl-challenger-rotterdam-2022-south-america-closed-qualifier
Sojoga,Valence,2,0,2022-09-15,/matches/2358838/sojoga-vs-valence-cct-north-america-series-1
MIBR,Phantom Troupe,2,0,2022-09-15,/matches/2358800/mibr-vs-phantom-troupe-esl-challenger-league-season-42-north-america
EG Black,Victorum,16,10,2022-09-15,/matches/2358878/eg-black-vs-victorum-esl-challenger-rotterdam-2022-north-america-open-qualifier-2
Mythic,BHOP,8,16,2022-09-15,/matches/2358877/mythic-vs-bhop-esl-challenger-rotterdam-2022-north-america-open-qualifier-2
Iron Blood,Brazen,16,6,2022-09-15,/matches/2358879/iron-blood-vs-brazen-esl-challenger-rotterdam-2022-north-america-open-qualifier-2
Infinity,Strife,3,16,2022-09-15,/matches/2358876/infinity-vs-strife-esl-challenger-rotterdam-2022-north-america-open-qualifier-2
Take Flyte,Foggy,2,0,2022-09-15,/matches/2358839/take-flyte-vs-foggy-cct-north-america-series-1
Davenport University,Villainous Union,2,0,2022-09-15,/matches/2358837/davenport-university-vs-villainous-union-cct-north-america-series-1
O PLANO,Fluxo,1,2,2022-09-15,/matches/2358862/o-plano-vs-fluxo-esl-challenger-rotterdam-2022-south-america-closed-qualifier
