team1,team2,result1,result2,date_of_match,reference
Paquetá,FURIA Academy,2,0,2022-09-14,/matches/2358861/paquet-vs-furia-academy-esl-challenger-rotterdam-2022-south-america-closed-qualifier
B4 Academy,MIBR Academy,0,2,2022-09-14,/matches/2358855/b4-academy-vs-mibr-academy-cct-south-america-series-2
Falcons,ECSTATIC,2,1,2022-09-14,/matches/2358304/falcons-vs-ecstatic-esl-challenger-league-season-42-europe
ENCE,HEET,2,0,2022-09-14,/matches/2357725/ence-vs-heet-esl-pro-league-season-16
eSuba,9INE,2,0,2022-09-14,/matches/2358851/esuba-vs-9ine-cct-central-europe-series-2-closed-qualifier
TITANS,los kogutos,0,2,2022-09-14,/matches/2358852/titans-vs-los-kogutos-cct-central-europe-series-2-closed-qualifier
SWS,Arvum,0,2,2022-09-14,/matches/2358854/sws-vs-arvum-cct-south-america-series-2
Forward,RCL,1,2,2022-09-14,/matches/2358860/forward-vs-rcl-pari-patriki-vibe-lan-2022
Complexity,Astralis,2,1,2022-09-14,/matches/2357724/complexity-vs-astralis-esl-pro-league-season-16
OG Academy,9INE,1,2,2022-09-14,/matches/2358848/og-academy-vs-9ine-cct-central-europe-series-2-closed-qualifier
kennyS' Team,NEO's Team,14,16,2022-09-14,/matches/2358821/kennys-team-vs-neos-team-kinguin-legends-2022
los kogutos,Eternal Fire Academy,2,0,2022-09-14,/matches/2358846/los-kogutos-vs-eternal-fire-academy-cct-central-europe-series-2-closed-qualifier
Yawara,Redragon,0,2,2022-09-14,/matches/2358853/yawara-vs-redragon-cct-south-america-series-2
Finest,EC Kyiv,2,0,2022-09-14,/matches/2358691/finest-vs-ec-kyiv-elisa-invitational-fall-2022
kennyS' Team,Edward's Team,8,16,2022-09-14,/matches/2358820/kennys-team-vs-edwards-team-kinguin-legends-2022
AVANGAR,RCL,2,0,2022-09-14,/matches/2358850/avangar-vs-rcl-pari-patriki-vibe-lan-2022
NEO's Team,Edward's Team,16,11,2022-09-14,/matches/2358819/neos-team-vs-edwards-team-kinguin-legends-2022
eSuba,ECLOT,0,2,2022-09-14,/matches/2358847/esuba-vs-eclot-cct-central-europe-series-2-closed-qualifier
MOUZ,Heroic,2,0,2022-09-14,/matches/2357723/mouz-vs-heroic-esl-pro-league-season-16
ECSTATIC,Into the Breach,1,2,2022-09-14,/matches/2358690/ecstatic-vs-into-the-breach-elisa-invitational-fall-2022
Edward's Team,pashaBiceps' Team,16,12,2022-09-14,/matches/2358818/edwards-team-vs-pashabiceps-team-kinguin-legends-2022
Elemental,Dynasty,0,2,2022-09-14,/matches/2358480/elemental-vs-dynasty-esl-australia-nz-championship-season-15
Forward,K23,2,1,2022-09-14,/matches/2358849/forward-vs-k23-pari-patriki-vibe-lan-2022
Maikelele's Team,pashaBiceps' Team,16,8,2022-09-14,/matches/2358817/maikeleles-team-vs-pashabiceps-team-kinguin-legends-2022
VERTEX,KRAKEN,2,0,2022-09-14,/matches/2358479/vertex-vs-kraken-esl-australia-nz-championship-season-15
BHOP,Vendetta,1,2,2022-09-14,/matches/2358799/bhop-vs-vendetta-esl-challenger-league-season-42-north-america
X13,Victorum,0,2,2022-09-14,/matches/2358834/x13-vs-victorum-cct-north-america-series-1
Unjustified,Phantom Troupe,1,2,2022-09-14,/matches/2358795/unjustified-vs-phantom-troupe-esl-challenger-league-season-42-north-america
WINDINGO,Liberty,2,1,2022-09-14,/matches/2358792/windingo-vs-liberty-cct-south-america-series-2
Mythic,Davenport University,0,2,2022-09-14,/matches/2358796/mythic-vs-davenport-university-esl-challenger-league-season-42-north-america
Detonate,Strife,0,2,2022-09-14,/matches/2358797/detonate-vs-strife-esl-challenger-league-season-42-north-america
ATK,Squirtle Squad,2,0,2022-09-14,/matches/2358798/atk-vs-squirtle-squad-esl-challenger-league-season-42-north-america
Kari,All Gas No Brakes,0,2,2022-09-14,/matches/2358835/kari-vs-all-gas-no-brakes-cct-north-america-series-1
Infinity,REIGN,2,0,2022-09-14,/matches/2358833/infinity-vs-reign-cct-north-america-series-1
Nexus,TITANS,2,1,2022-09-14,/matches/2358845/nexus-vs-titans-cct-central-europe-series-2-closed-qualifier
Boca Juniors,ex-Young Gods,1,0,2022-09-14,/matches/2358793/boca-juniors-vs-ex-young-gods-cct-south-america-series-2
