team1,team2,result1,result2,date_of_match,reference
BHOP,Pete's Hookah Lounge,1,0,2022-09-05,/matches/2358185/bhop-vs-petes-hookah-lounge-iem-road-to-rio-2022-north-america-open-qualifier-3
TITANS,ECLOT,1,2,2022-09-05,/matches/2358560/titans-vs-eclot-steelseries-nova-cup-western-europe-fall-2022
Zero Tenacity,Partizan,1,2,2022-09-05,/matches/2358554/zero-tenacity-vs-partizan-res-season-3
VP.Prodigy,RCL,1,2,2022-09-05,/matches/2358533/vpprodigy-vs-rcl-cyberpark-cup-2022
Entropiq Prague,Bad News Eagles,0,2,2022-09-05,/matches/2358555/entropiq-prague-vs-bad-news-eagles-tipsport-prague-cup-2022
SC,ECLOT,12,16,2022-09-05,/matches/2358559/sc-vs-eclot-steelseries-nova-cup-western-europe-fall-2022
TITANS,ROYALS,16,13,2022-09-05,/matches/2358558/titans-vs-royals-steelseries-nova-cup-western-europe-fall-2022
BLUEJAYS,X,2,0,2022-09-05,/matches/2358553/bluejays-vs-x-res-season-3
PROSPECTS,yodagus,2,1,2022-09-05,/matches/2358524/prospects-vs-yodagus-elisa-invitational-fall-2022-contenders
ECLOT,TITANS,2,0,2022-09-05,/matches/2358584/eclot-vs-titans-tipsport-prague-cup-2022
Websterz,9 Pandas,0,2,2022-09-05,/matches/2358579/websterz-vs-9-pandas-cyberpark-cup-2022
JANO,ECLOT,1,2,2022-09-05,/matches/2358523/jano-vs-eclot-elisa-invitational-fall-2022-contenders
Pete's Hookah Lounge,Infinity,0,2,2022-09-05,/matches/2358182/petes-hookah-lounge-vs-infinity-iem-road-to-rio-2022-north-america-open-qualifier-3
TeamOne,BHOP,2,0,2022-09-05,/matches/2358183/teamone-vs-bhop-iem-road-to-rio-2022-north-america-open-qualifier-3
Mad Kings,Supremacy,3,1,2022-09-05,/matches/2358578/mad-kings-vs-supremacy-gosu-masters-2022
B4,ODDIK,0,2,2022-09-05,/matches/2358549/b4-vs-oddik-cbcs-masters-festival-2022
Davenport University,BHOP,13,16,2022-09-05,/matches/2358181/davenport-university-vs-bhop-iem-road-to-rio-2022-north-america-open-qualifier-3
Unjustified,TeamOne,13,16,2022-09-05,/matches/2358180/unjustified-vs-teamone-iem-road-to-rio-2022-north-america-open-qualifier-3
Infinity,timbermen,16,13,2022-09-05,/matches/2358179/infinity-vs-timbermen-iem-road-to-rio-2022-north-america-open-qualifier-3
Into the Breach,EKO,1,2,2022-09-05,/matches/2358580/into-the-breach-vs-eko-ukic-beyond-summer-invitational-2022
Pete's Hookah Lounge,X13,16,11,2022-09-05,/matches/2358178/petes-hookah-lounge-vs-x13-iem-road-to-rio-2022-north-america-open-qualifier-3
TITANS,SINNERS,1,2,2022-09-05,/matches/2358582/titans-vs-sinners-tipsport-prague-cup-2022
