team1,team2,result1,result2,date_of_match,reference
Valence,Foggy,0,1,2022-09-18,/matches/2358949/valence-vs-foggy-cct-north-america-series-1
Heroic,Astralis,2,1,2022-09-18,/matches/2357735/heroic-vs-astralis-esl-pro-league-season-16
MOUZ,HEET,2,1,2022-09-18,/matches/2357737/mouz-vs-heet-esl-pro-league-season-16
Entropiq,Eternal Fire,0,2,2022-09-18,/matches/2358924/entropiq-vs-eternal-fire-esl-challenger-rotterdam-2022-europe-closed-qualifier
Furious,Liberty,2,1,2022-09-18,/matches/2358964/furious-vs-liberty-cct-south-america-series-2
HAVU,JANO,2,1,2022-09-18,/matches/2358972/havu-vs-jano-pelaajat-series-fall-2022
ECLOT,Bad News Eagles,0,2,2022-09-18,/matches/2358959/eclot-vs-bad-news-eagles-tipsport-prague-cup-2022-finals
ENCE,Complexity,0,2,2022-09-18,/matches/2357736/ence-vs-complexity-esl-pro-league-season-16
BIG Academy,los kogutos,0,2,2022-09-18,/matches/2358904/big-academy-vs-los-kogutos-cct-central-europe-series-2
Maikelele's Team,Edward's Team,2,1,2022-09-18,/matches/2358829/maikeleles-team-vs-edwards-team-kinguin-legends-2022
Enterprise,SINNERS,2,1,2022-09-18,/matches/2358960/enterprise-vs-sinners-tipsport-prague-cup-2022-finals
MostValuablePlayers,ORGLESS fe,2,0,2022-09-18,/matches/2358969/mostvaluableplayers-vs-orgless-fe-esl-impact-summer-2022-cash-cup-5-europe
Into the Breach,MOUZ NXT,2,0,2022-09-18,/matches/2358903/into-the-breach-vs-mouz-nxt-cct-central-europe-series-2
Eternal Fire,Iron Branch,2,0,2022-09-18,/matches/2358923/eternal-fire-vs-iron-branch-esl-challenger-rotterdam-2022-europe-closed-qualifier
JANO,Conquer,2,0,2022-09-18,/matches/2358962/jano-vs-conquer-pelaajat-series-fall-2022
Grayhound,VERTEX,1,2,2022-09-18,/matches/2358927/grayhound-vs-vertex-fortress-oce-masters-fall-2022-finals-blast-premier-qualifier
HAVU,KOVA,2,0,2022-09-18,/matches/2358961/havu-vs-kova-pelaajat-series-fall-2022
K23,eSuba,0,2,2022-09-18,/matches/2358901/k23-vs-esuba-cct-central-europe-series-2
Nouns,BHOP,2,1,2022-09-18,/matches/2358951/nouns-vs-bhop-esl-challenger-rotterdam-2022-north-america-closed-qualifier
TeamOne,ATK,0,2,2022-09-18,/matches/2358950/teamone-vs-atk-esl-challenger-rotterdam-2022-north-america-closed-qualifier
Infinity,Sojoga,0,2,2022-09-18,/matches/2358944/infinity-vs-sojoga-cct-north-america-series-1
ATK,BHOP,2,1,2022-09-18,/matches/2358932/atk-vs-bhop-esl-challenger-rotterdam-2022-north-america-closed-qualifier
Los Grandes Academy,Paquetá,0,2,2022-09-18,/matches/2358914/los-grandes-academy-vs-paquet-cct-south-america-series-2
Limitless,Victorum,0,2,2022-09-18,/matches/2358943/limitless-vs-victorum-cct-north-america-series-1
Take Flyte,DNA,2,0,2022-09-18,/matches/2358945/take-flyte-vs-dna-cct-north-america-series-1
ODDIK,Fluxo,0,2,2022-09-18,/matches/2358942/oddik-vs-fluxo-fireleague-latin-power-fall-2022-blast-premier-qualifier
TeamOne,Nouns,2,0,2022-09-18,/matches/2358933/teamone-vs-nouns-esl-challenger-rotterdam-2022-north-america-closed-qualifier
Iron Branch,Entropiq,1,2,2022-09-18,/matches/2358921/iron-branch-vs-entropiq-esl-challenger-rotterdam-2022-europe-closed-qualifier
