team1,team2,result1,result2,date_of_match,reference
Vitality,G2,2,1,2022-08-26,/matches/2357662/vitality-vs-g2-blast-premier-fall-groups-2022
Sharks,Isurus,0,2,2022-08-26,/matches/2358241/sharks-vs-isurus-cct-south-america-series-1
Liquid,Ninjas in Pyjamas,2,0,2022-08-26,/matches/2357663/liquid-vs-ninjas-in-pyjamas-blast-premier-fall-groups-2022
PALOMA,Enterprise,2,1,2022-08-26,/matches/2358246/paloma-vs-enterprise-cct-central-europe-series-1
Corinthians,Meta BR,0,1,2022-08-26,/matches/2358242/corinthians-vs-meta-br-cct-south-america-series-1
paiN,Daotsu,2,0,2022-08-26,/matches/2358240/pain-vs-daotsu-cct-south-america-series-1
FaZe,OG,1,2,2022-08-26,/matches/2357661/faze-vs-og-blast-premier-fall-groups-2022
EYEBALLERS,KOVA,1,2,2022-08-26,/matches/2358245/eyeballers-vs-kova-cct-central-europe-series-1
Sampi,X,0,2,2022-08-26,/matches/2358244/sampi-vs-x-cct-central-europe-series-1
00NATION,SWS,2,0,2022-08-26,/matches/2358239/00nation-vs-sws-cct-south-america-series-1
