team1,team2,result1,result2,date_of_match,reference
WINDINGO,Ape Gang,9,16,2022-09-19,/matches/2358974/windingo-vs-ape-gang-americas-supercup-2022
EYEBALLERS,Nexus,1,2,2022-09-19,/matches/2358988/eyeballers-vs-nexus-cct-central-europe-series-2
Meta BR,Sotano,16,5,2022-09-19,/matches/2358973/meta-br-vs-sotano-americas-supercup-2022
FTW,Enterprise,2,0,2022-09-19,/matches/2358987/ftw-vs-enterprise-cct-central-europe-series-2
SKADE X,ECLOT,0,2,2022-09-19,/matches/2358978/skade-x-vs-eclot-elisa-invitational-fall-2022
ex-SKADE,MOUZ NXT,2,0,2022-09-19,/matches/2358986/ex-skade-vs-mouz-nxt-cct-central-europe-series-2
EYEBALLERS,Hotspurs,2,1,2022-09-19,/matches/2358977/eyeballers-vs-hotspurs-elisa-invitational-fall-2022
BIG Academy,K23,1,2,2022-09-19,/matches/2358985/big-academy-vs-k23-cct-central-europe-series-2
ATK,TeamOne,0,2,2022-09-19,/matches/2358953/atk-vs-teamone-esl-challenger-rotterdam-2022-north-america-closed-qualifier
ChocoCheck,Iron Blood,2,1,2022-09-19,/matches/2358993/chococheck-vs-iron-blood-esea-summer-2022-cash-cup-6-north-america
X13,Detonate,2,0,2022-09-19,/matches/2358948/x13-vs-detonate-cct-north-america-series-1
Boca Juniors,Redragon,2,1,2022-09-19,/matches/2358966/boca-juniors-vs-redragon-cct-south-america-series-2
Davenport University,Unjustified,0,2,2022-09-19,/matches/2358570/davenport-university-vs-unjustified-esl-challenger-league-season-42-north-america
Electrify Steel,Villainous Union,2,0,2022-09-19,/matches/2358947/electrify-steel-vs-villainous-union-cct-north-america-series-1
CLG Red,EG fe,2,0,2022-09-19,/matches/2358970/clg-red-vs-eg-fe-esl-impact-summer-2022-cash-cup-4-north-america
Detonate,Mythic,0,1,2022-09-19,/matches/2358994/detonate-vs-mythic-esea-summer-2022-cash-cup-6-north-america
Mythic,Iron Blood,0,2,2022-09-19,/matches/2358968/mythic-vs-iron-blood-esea-summer-2022-cash-cup-6-north-america
Detonate,ChocoCheck,0,2,2022-09-19,/matches/2358967/detonate-vs-chococheck-esea-summer-2022-cash-cup-6-north-america
TeamOne,Nouns,2,0,2022-09-19,/matches/2358952/teamone-vs-nouns-esl-challenger-rotterdam-2022-north-america-closed-qualifier
9z,Fluxo,0,2,2022-09-19,/matches/2358963/9z-vs-fluxo-fireleague-latin-power-fall-2022-blast-premier-qualifier
Arvum,Los Grandes Academy,2,0,2022-09-19,/matches/2358965/arvum-vs-los-grandes-academy-cct-south-america-series-2
B4 fe,Black Dragons fe,2,0,2022-09-19,/matches/2358971/b4-fe-vs-black-dragons-fe-esl-impact-summer-2022-cash-cup-5-south-america
