team1,team2,result1,result2,date_of_match,reference
9z,Furious,2,0,2022-09-17,/matches/2358941/9z-vs-furious-fireleague-latin-power-fall-2022-blast-premier-qualifier
Davenport University,All Gas No Brakes,1,0,2022-09-17,/matches/2358946/davenport-university-vs-all-gas-no-brakes-cct-north-america-series-1
0to100,Enterprise,2,0,2022-09-17,/matches/2358937/0to100-vs-enterprise-twr-eastern-european-masters-fall-2022-last-chance-qualifier
Enterprise,Illuminar,0,1,2022-09-17,/matches/2358902/enterprise-vs-illuminar-cct-central-europe-series-2
SINNERS,Bad News Eagles,1,2,2022-09-17,/matches/2358586/sinners-vs-bad-news-eagles-tipsport-prague-cup-2022-finals
1WIN,Eternal Fire,0,2,2022-09-17,/matches/2358922/1win-vs-eternal-fire-esl-challenger-rotterdam-2022-europe-closed-qualifier
ENCE,Astralis,0,2,2022-09-17,/matches/2357734/ence-vs-astralis-esl-pro-league-season-16
LDLC,Sangal,0,2,2022-09-17,/matches/2358958/ldlc-vs-sangal-gam3rs-x-eu-champions-fall-2022-blast-premier-qualifier
BLUEJAYS,Nexus,2,0,2022-09-17,/matches/2358899/bluejays-vs-nexus-cct-central-europe-series-2
Boca Juniors,MIBR Academy,0,2,2022-09-17,/matches/2358912/boca-juniors-vs-mibr-academy-cct-south-america-series-2
Complexity,MOUZ,1,2,2022-09-17,/matches/2357733/complexity-vs-mouz-esl-pro-league-season-16
Sangal,fnatic,2,1,2022-09-17,/matches/2358939/sangal-vs-fnatic-gam3rs-x-eu-champions-fall-2022-blast-premier-qualifier
NEO's Team,Edward's Team,0,2,2022-09-17,/matches/2358828/neos-team-vs-edwards-team-kinguin-legends-2022
ex-SKADE,HONORIS,0,2,2022-09-17,/matches/2358900/ex-skade-vs-honoris-cct-central-europe-series-2
Eternal Fire,Sprout,2,1,2022-09-17,/matches/2358919/eternal-fire-vs-sprout-esl-challenger-rotterdam-2022-europe-closed-qualifier
Enterprise,ECLOT,0,2,2022-09-17,/matches/2358585/enterprise-vs-eclot-tipsport-prague-cup-2022-finals
FUSION,Furious,1,0,2022-09-17,/matches/2358913/fusion-vs-furious-cct-south-america-series-2
1WIN,Tricked,2,0,2022-09-17,/matches/2358920/1win-vs-tricked-esl-challenger-rotterdam-2022-europe-closed-qualifier
Heroic,HEET,2,1,2022-09-17,/matches/2357732/heroic-vs-heet-esl-pro-league-season-16
SINNERS,EYEBALLERS,2,1,2022-09-17,/matches/2358898/sinners-vs-eyeballers-cct-central-europe-series-2
kennyS' Team,Edward's Team,0,2,2022-09-17,/matches/2358827/kennys-team-vs-edwards-team-kinguin-legends-2022
LDLC,PGE Turow,2,0,2022-09-17,/matches/2358938/ldlc-vs-pge-turow-gam3rs-x-eu-champions-fall-2022-blast-premier-qualifier
VERTEX,Rooster,2,0,2022-09-17,/matches/2358926/vertex-vs-rooster-fortress-oce-masters-fall-2022-finals-blast-premier-qualifier
FTW,Apeks,0,2,2022-09-17,/matches/2358897/ftw-vs-apeks-cct-central-europe-series-2
Grayhound,Encore,2,0,2022-09-17,/matches/2358925/grayhound-vs-encore-fortress-oce-masters-fall-2022-finals-blast-premier-qualifier
Vendetta,ATK,1,2,2022-09-17,/matches/2358803/vendetta-vs-atk-esl-challenger-league-season-42-north-america
Foggy,Electrify Steel,0,2,2022-09-17,/matches/2358892/foggy-vs-electrify-steel-cct-north-america-series-1
MIBR,TeamOne,2,0,2022-09-17,/matches/2358808/mibr-vs-teamone-esl-challenger-league-season-42-north-america
X13,REIGN,2,1,2022-09-17,/matches/2358888/x13-vs-reign-cct-north-america-series-1
ATK,Strife,2,0,2022-09-17,/matches/2358571/atk-vs-strife-esl-challenger-league-season-42-north-america
Villainous Union,Valence,2,0,2022-09-17,/matches/2358889/villainous-union-vs-valence-cct-north-america-series-1
Isurus,Furious,8,16,2022-09-17,/matches/2358936/isurus-vs-furious-fireleague-latin-power-fall-2022-blast-premier-qualifier
Sprout,Entropiq,1,2,2022-09-17,/matches/2358916/sprout-vs-entropiq-esl-challenger-rotterdam-2022-europe-closed-qualifier
Fluxo,Mad Kings,16,6,2022-09-17,/matches/2358935/fluxo-vs-mad-kings-fireleague-latin-power-fall-2022-blast-premier-qualifier
