team1,team2,result1,result2,date_of_match,reference
Cloud9,FaZe,2,1,2022-09-29,/matches/2358329/cloud9-vs-faze-esl-pro-league-season-16
The Union,Meta BR,2,0,2022-09-29,/matches/2359227/the-union-vs-meta-br-americas-supercup-2022
BHOP,Take Flyte,1,0,2022-09-29,/matches/2359277/bhop-vs-take-flyte-cct-north-america-series-1
Young Ninjas,EC Brugge,2,0,2022-09-29,/matches/2359279/young-ninjas-vs-ec-brugge-cct-north-europe-series-1-closed-qualifier
Astralis Talent,PROSPECTS,0,2,2022-09-29,/matches/2359280/astralis-talent-vs-prospects-cct-north-europe-series-1-closed-qualifier
Beyond Possible,KTRL,0,2,2022-09-29,/matches/2359284/beyond-possible-vs-ktrl-cct-south-europe-series-1-closed-qualifier
9z,HONORIS,1,2,2022-09-29,/matches/2359209/9z-vs-honoris-cct-central-europe-series-2
Zero Tenacity,EUMIX,2,0,2022-09-29,/matches/2359285/zero-tenacity-vs-eumix-cct-south-europe-series-1-closed-qualifier
Anonymo,BLUEJAYS,0,2,2022-09-29,/matches/2359247/anonymo-vs-bluejays-iem-road-to-rio-2022-europe-rmr-replacement-play-in
PACT,ex-SKADE,2,0,2022-09-29,/matches/2359259/pact-vs-ex-skade-esea-advanced-season-42-europe
PALOMA,Aurora,2,1,2022-09-29,/matches/2359224/paloma-vs-aurora-esea-advanced-season-42-europe
Sashi,Finest,0,1,2022-09-29,/matches/2359248/sashi-vs-finest-iem-road-to-rio-2022-europe-rmr-replacement-play-in
Kyoto,EUMIX,0,2,2022-09-29,/matches/2359271/kyoto-vs-eumix-cct-south-europe-series-1-closed-qualifier
MOUZ,Liquid,0,2,2022-09-29,/matches/2358330/mouz-vs-liquid-esl-pro-league-season-16
Lilmix,PROSPECTS,0,2,2022-09-29,/matches/2359269/lilmix-vs-prospects-cct-north-europe-series-1-closed-qualifier
CENTER,EC Brugge,0,2,2022-09-29,/matches/2359265/center-vs-ec-brugge-cct-north-europe-series-1-closed-qualifier
KTRL,Never Surrender,2,0,2022-09-29,/matches/2359267/ktrl-vs-never-surrender-cct-south-europe-series-1-closed-qualifier
forZe,los kogutos,2,1,2022-09-29,/matches/2359208/forze-vs-los-kogutos-cct-central-europe-series-2
SINNERS,BLUEJAYS,2,0,2022-09-29,/matches/2359210/sinners-vs-bluejays-cct-central-europe-series-2
ECSTATIC,SAW,0,2,2022-09-29,/matches/2359148/ecstatic-vs-saw-elisa-invitational-fall-2022
Apeks,HOTU,0,1,2022-09-29,/matches/2359283/apeks-vs-hotu-esea-advanced-season-42-europe
NeedDOCTOR,Zero Tenacity,2,0,2022-09-29,/matches/2359270/needdoctor-vs-zero-tenacity-cct-south-europe-series-1-closed-qualifier
Rooster,Dynasty,2,0,2022-09-29,/matches/2359015/rooster-vs-dynasty-esl-australia-nz-championship-season-15
BLUEJAYS,MASONIC,1,2,2022-09-29,/matches/2359147/bluejays-vs-masonic-elisa-invitational-fall-2022
God's Work,Meat Grinders,2,1,2022-09-29,/matches/2359014/gods-work-vs-meat-grinders-esl-australia-nz-championship-season-15
BHOP,Iron Blood,1,2,2022-09-29,/matches/2359233/bhop-vs-iron-blood-esl-challenger-league-season-42-north-america
Infinity,Villainous Union,2,1,2022-09-29,/matches/2359273/infinity-vs-villainous-union-cct-north-america-series-1
Strife,X13,2,0,2022-09-29,/matches/2359275/strife-vs-x13-cct-north-america-series-1
Victorum,Task Force 141,2,1,2022-09-29,/matches/2359234/victorum-vs-task-force-141-esl-challenger-league-season-42-north-america
EG Black,Kari,2,1,2022-09-29,/matches/2358568/eg-black-vs-kari-esl-challenger-league-season-42-north-america
Mythic,Brazen,2,0,2022-09-29,/matches/2358284/mythic-vs-brazen-esl-challenger-league-season-42-north-america
Daotsu,Corinthians Academy,2,0,2022-09-29,/matches/2359260/daotsu-vs-corinthians-academy-liga-gamers-club-2022-serie-a-september-cup
Sojoga,DNA,2,0,2022-09-29,/matches/2359272/sojoga-vs-dna-cct-north-america-series-1
Heroic,Natus Vincere,1,2,2022-09-29,/matches/2358327/heroic-vs-natus-vincere-esl-pro-league-season-16
