team1,team2,result1,result2,date_of_match,reference
B4 Academy,Yawara,2,0,2022-09-12,/matches/2358788/b4-academy-vs-yawara-cct-south-america-series-2
HONORIS,Anonymo,2,0,2022-09-12,/matches/2358784/honoris-vs-anonymo-cct-central-europe-series-2-closed-qualifier
GoodJob,Websterz,2,0,2022-09-12,/matches/2358810/goodjob-vs-websterz-pari-patriki-vibe-lan-2022
SC,Infinite,2,0,2022-09-12,/matches/2358783/sc-vs-infinite-cct-central-europe-series-2-closed-qualifier
Redragon,Los Grandes Academy,0,2,2022-09-12,/matches/2358787/redragon-vs-los-grandes-academy-cct-south-america-series-2
UNGENTIUM,Anonymo,1,2,2022-09-12,/matches/2358772/ungentium-vs-anonymo-cct-central-europe-series-2-closed-qualifier
BEBRA,Websterz,2,1,2022-09-12,/matches/2358768/bebra-vs-websterz-pari-patriki-vibe-lan-2022
Nigma Galaxy,Infinite,0,2,2022-09-12,/matches/2358777/nigma-galaxy-vs-infinite-cct-central-europe-series-2-closed-qualifier
The Union,Arvum,2,0,2022-09-12,/matches/2358786/the-union-vs-arvum-cct-south-america-series-2
Bad News Eagles,ECLOT,2,1,2022-09-12,/matches/2358687/bad-news-eagles-vs-eclot-elisa-invitational-fall-2022
Young Ninjas,SC,2,1,2022-09-12,/matches/2358776/young-ninjas-vs-sc-cct-central-europe-series-2-closed-qualifier
TAG,GoodJob,2,1,2022-09-12,/matches/2358767/tag-vs-goodjob-pari-patriki-vibe-lan-2022
DGG,Arena,2,0,2022-09-12,/matches/2358476/dgg-vs-arena-esl-australia-nz-championship-season-15
Sprout,Hotspurs,2,0,2022-09-12,/matches/2358686/sprout-vs-hotspurs-elisa-invitational-fall-2022
Rooster,Warriors,2,0,2022-09-12,/matches/2358475/rooster-vs-warriors-esl-australia-nz-championship-season-15
EG White,BIG Academy,2,1,2022-09-12,/matches/2358782/eg-white-vs-big-academy-fragadelphia-17
WINDINGO,MIBR Academy,2,0,2022-09-12,/matches/2358701/windingo-vs-mibr-academy-cct-south-america-series-2
The Union,Paquetá,1,2,2022-09-12,/matches/2358785/the-union-vs-paquet-esl-challenger-rotterdam-2022-south-america-open-qualifier-2
BIG Academy,Apeks,2,1,2022-09-12,/matches/2358778/big-academy-vs-apeks-fragadelphia-17
EG White,TeamOne,2,0,2022-09-12,/matches/2358781/eg-white-vs-teamone-fragadelphia-17
SWS,Liberty,1,2,2022-09-12,/matches/2358700/sws-vs-liberty-cct-south-america-series-2
Paquetá,O PLANO,16,19,2022-09-12,/matches/2358762/paquet-vs-o-plano-esl-challenger-rotterdam-2022-south-america-open-qualifier-2
The Union,FURIA Academy,14,16,2022-09-12,/matches/2358761/the-union-vs-furia-academy-esl-challenger-rotterdam-2022-south-america-open-qualifier-2
