team1,team2,result1,result2,date_of_match,reference
homeless,SWS,1,2,2022-08-15,/matches/2357774/homeless-vs-sws-cct-south-america-series-1
Ooredoo Thunders,InTheClub,14,16,2022-08-15,/matches/2357893/ooredoo-thunders-vs-intheclub-iem-road-to-rio-2022-middle-east-open-qualifier-1
NASR,Triple 6,13,16,2022-08-15,/matches/2357891/nasr-vs-triple-6-iem-road-to-rio-2022-middle-east-open-qualifier-1
Aseris,EagleEye,16,5,2022-08-15,/matches/2357892/aseris-vs-eagleeye-iem-road-to-rio-2022-middle-east-open-qualifier-1
JiJieHao International,POGGERZ,16,6,2022-08-15,/matches/2357894/jijiehao-international-vs-poggerz-iem-road-to-rio-2022-middle-east-open-qualifier-1
Meta BR,Los Grandes Academy,2,0,2022-08-15,/matches/2357773/meta-br-vs-los-grandes-academy-cct-south-america-series-1
IHC,QUAZAR,16,14,2022-08-15,/matches/2357885/ihc-vs-quazar-iem-road-to-rio-2022-asia-open-qualifier-1
EYEBALLERS,Sashi,2,0,2022-08-15,/matches/2357821/eyeballers-vs-sashi-elisa-invitational-fall-2022-contenders
D13,Flaggers,16,8,2022-08-15,/matches/2357886/d13-vs-flaggers-iem-road-to-rio-2022-asia-open-qualifier-1
Clutch,NKT,1,16,2022-08-15,/matches/2357887/clutch-vs-nkt-iem-road-to-rio-2022-asia-open-qualifier-1
Dobegaem,ARAVT,8,16,2022-08-15,/matches/2357888/dobegaem-vs-aravt-iem-road-to-rio-2022-asia-open-qualifier-1
XXG,TYLOO,7,16,2022-08-15,/matches/2357882/xxg-vs-tyloo-iem-road-to-rio-2022-china-open-qualifier-1
