team1,team2,result1,result2,date_of_match,reference
MASONIC,Tricked,2,0,2022-08-20,/matches/2358188/masonic-vs-tricked-nordic-masters-fall-2022-denmark-closed-qualifier
Daotsu,ex-Holkattes,2,0,2022-08-20,/matches/2358051/daotsu-vs-ex-holkattes-cct-south-america-series-1
JPB,SNRG,16,7,2022-08-20,/matches/2357992/jpb-vs-snrg-iem-road-to-rio-2022-middle-east-open-qualifier-2
Liquid,Natus Vincere,4,16,2022-08-20,/matches/2357656/liquid-vs-natus-vincere-blast-premier-fall-groups-2022
PremuimGods,WahWah,16,7,2022-08-20,/matches/2357990/premuimgods-vs-wahwah-iem-road-to-rio-2022-middle-east-open-qualifier-2
POGGERZ,NASR,7,16,2022-08-20,/matches/2357989/poggerz-vs-nasr-iem-road-to-rio-2022-middle-east-open-qualifier-2
Ooredoo Thunders,how bad u are,16,4,2022-08-20,/matches/2357991/ooredoo-thunders-vs-how-bad-u-are-iem-road-to-rio-2022-middle-east-open-qualifier-2
Tricked,Sashi,2,1,2022-08-20,/matches/2357964/tricked-vs-sashi-nordic-masters-fall-2022-denmark-closed-qualifier
Complexity,Natus Vincere,3,16,2022-08-20,/matches/2357653/complexity-vs-natus-vincere-blast-premier-fall-groups-2022
Meta BR,The Union,1,2,2022-08-20,/matches/2358050/meta-br-vs-the-union-cct-south-america-series-1
Natus Vincere,G2,16,14,2022-08-20,/matches/2357650/natus-vincere-vs-g2-blast-premier-fall-groups-2022
d54,MIRAI,12,16,2022-08-20,/matches/2357977/d54-vs-mirai-iem-road-to-rio-2022-asia-open-qualifier-2
Complexity,Liquid,14,16,2022-08-20,/matches/2357647/complexity-vs-liquid-blast-premier-fall-groups-2022
maGic,TheMongolz,6,16,2022-08-20,/matches/2357979/magic-vs-themongolz-iem-road-to-rio-2022-asia-open-qualifier-2
Dobegaem,D13,8,16,2022-08-20,/matches/2357978/dobegaem-vs-d13-iem-road-to-rio-2022-asia-open-qualifier-2
Invictus,WDNMD,11,16,2022-08-20,/matches/2357984/invictus-vs-wdnmd-iem-road-to-rio-2022-china-open-qualifier-2
ARAVT,Renewal,16,7,2022-08-20,/matches/2357976/aravt-vs-renewal-iem-road-to-rio-2022-asia-open-qualifier-2
YK,CR,13,16,2022-08-20,/matches/2357985/yk-vs-cr-iem-road-to-rio-2022-china-open-qualifier-2
Atlantiss,Wings Up,7,16,2022-08-20,/matches/2357986/atlantiss-vs-wings-up-iem-road-to-rio-2022-china-open-qualifier-2
G2,Liquid,12,16,2022-08-20,/matches/2357644/g2-vs-liquid-blast-premier-fall-groups-2022
TYLOO,SHPL,16,3,2022-08-20,/matches/2357983/tyloo-vs-shpl-iem-road-to-rio-2022-china-open-qualifier-2
MASONIC,minion bobs,2,0,2022-08-20,/matches/2357963/masonic-vs-minion-bobs-nordic-masters-fall-2022-denmark-closed-qualifier
Natus Vincere,Complexity,9,16,2022-08-20,/matches/2357641/natus-vincere-vs-complexity-blast-premier-fall-groups-2022
WINDINGO,River Plate,2,1,2022-08-20,/matches/2358049/windingo-vs-river-plate-cct-south-america-series-1
Redragon,MIBR Academy,2,0,2022-08-20,/matches/2358048/redragon-vs-mibr-academy-cct-south-america-series-1
