team1,team2,result1,result2,date_of_match,reference
Aurora,fnatic Rising,2,1,2022-10-03,/matches/2359321/aurora-vs-fnatic-rising-esea-advanced-season-42-europe
TTC,SNOGARD Dragons,2,0,2022-10-03,/matches/2359363/ttc-vs-snogard-dragons-fragster-league-season-2
SNOGARD Dragons,Party Daddlers,2,1,2022-10-03,/matches/2359353/snogard-dragons-vs-party-daddlers-fragster-league-season-2
BHOP,Sojoga,1,2,2022-10-03,/matches/2359343/bhop-vs-sojoga-cct-north-america-series-1
DUELISTS,WetKillers,1,2,2022-10-03,/matches/2359368/duelists-vs-wetkillers-nitro-cup-2022
Liquid,Vitality,2,3,2022-10-03,/matches/2358335/liquid-vs-vitality-esl-pro-league-season-16
