team1,team2,result1,result2,date_of_match,reference
Sprout,ECSTATIC,2,0,2022-08-16,/matches/2357955/sprout-vs-ecstatic-iem-road-to-rio-2022-europe-open-qualifier-1
MOUZ,Portuguese Family,2,0,2022-08-16,/matches/2357953/mouz-vs-portuguese-family-iem-road-to-rio-2022-europe-open-qualifier-1
fnatic,Falcons,14,16,2022-08-16,/matches/2357946/fnatic-vs-falcons-iem-road-to-rio-2022-europe-open-qualifier-1
Portuguese Family,777,16,12,2022-08-16,/matches/2357949/portuguese-family-vs-777-iem-road-to-rio-2022-europe-open-qualifier-1
Astralis,Aurora,11,16,2022-08-16,/matches/2357944/astralis-vs-aurora-iem-road-to-rio-2022-europe-open-qualifier-1
WINDINGO,Redragon,2,0,2022-08-16,/matches/2357778/windingo-vs-redragon-cct-south-america-series-1
Sampi,ECSTATIC,11,16,2022-08-16,/matches/2357951/sampi-vs-ecstatic-iem-road-to-rio-2022-europe-open-qualifier-1
Sprout,Entropiq,16,8,2022-08-16,/matches/2357950/sprout-vs-entropiq-iem-road-to-rio-2022-europe-open-qualifier-1
OG,AVANGAR,16,10,2022-08-16,/matches/2357947/og-vs-avangar-iem-road-to-rio-2022-europe-open-qualifier-1
BLUEJAYS,9INE,16,7,2022-08-16,/matches/2357945/bluejays-vs-9ine-iem-road-to-rio-2022-europe-open-qualifier-1
AGO,MOUZ,6,16,2022-08-16,/matches/2357948/ago-vs-mouz-iem-road-to-rio-2022-europe-open-qualifier-1
777,Ambush,19,16,2022-08-16,/matches/2357938/777-vs-ambush-iem-road-to-rio-2022-europe-open-qualifier-1
Aseris,Triple 6,0,2,2022-08-16,/matches/2357895/aseris-vs-triple-6-iem-road-to-rio-2022-middle-east-open-qualifier-1
Aurora,Monte,22,20,2022-08-16,/matches/2357929/aurora-vs-monte-iem-road-to-rio-2022-europe-open-qualifier-1
Copenhagen Flames,Falcons,10,16,2022-08-16,/matches/2357933/copenhagen-flames-vs-falcons-iem-road-to-rio-2022-europe-open-qualifier-1
Websterz,ECSTATIC,17,19,2022-08-16,/matches/2357942/websterz-vs-ecstatic-iem-road-to-rio-2022-europe-open-qualifier-1
Eternal Fire,9INE,4,16,2022-08-16,/matches/2357930/eternal-fire-vs-9ine-iem-road-to-rio-2022-europe-open-qualifier-1
BLUEJAYS,flowstate,16,10,2022-08-16,/matches/2357931/bluejays-vs-flowstate-iem-road-to-rio-2022-europe-open-qualifier-1
Endpoint,fnatic,14,16,2022-08-16,/matches/2357932/endpoint-vs-fnatic-iem-road-to-rio-2022-europe-open-qualifier-1
1PIN,Entropiq,10,16,2022-08-16,/matches/2357941/1pin-vs-entropiq-iem-road-to-rio-2022-europe-open-qualifier-1
1WIN,AVANGAR,8,16,2022-08-16,/matches/2357934/1win-vs-avangar-iem-road-to-rio-2022-europe-open-qualifier-1
Astralis,MASONIC,16,12,2022-08-16,/matches/2357928/astralis-vs-masonic-iem-road-to-rio-2022-europe-open-qualifier-1
MOUZ,EC Kyiv,16,7,2022-08-16,/matches/2357936/mouz-vs-ec-kyiv-iem-road-to-rio-2022-europe-open-qualifier-1
Sampi,En av de lette,16,4,2022-08-16,/matches/2357943/sampi-vs-en-av-de-lette-iem-road-to-rio-2022-europe-open-qualifier-1
Sprout,premghouls,16,9,2022-08-16,/matches/2357940/sprout-vs-premghouls-iem-road-to-rio-2022-europe-open-qualifier-1
Portuguese Family,Montecarlo,16,9,2022-08-16,/matches/2357939/portuguese-family-vs-montecarlo-iem-road-to-rio-2022-europe-open-qualifier-1
OG,Sangal,16,4,2022-08-16,/matches/2357935/og-vs-sangal-iem-road-to-rio-2022-europe-open-qualifier-1
