team1,team2,result1,result2,date_of_match,reference
Sangal,Aurora,2,0,2022-10-07,/matches/2359394/sangal-vs-aurora-esea-advanced-season-42-europe
Astralis,forZe,0,2,2022-10-07,/matches/2358440/astralis-vs-forze-iem-road-to-rio-2022-europe-rmr-a
G2,GamerLegion,1,2,2022-10-07,/matches/2358439/g2-vs-gamerlegion-iem-road-to-rio-2022-europe-rmr-a
Nouns,O PLANO,2,1,2022-10-07,/matches/2358376/nouns-vs-o-plano-iem-road-to-rio-2022-americas-rmr
Complexity,00NATION,1,2,2022-10-07,/matches/2358375/complexity-vs-00nation-iem-road-to-rio-2022-americas-rmr
fnatic,Eternal Fire,2,0,2022-10-07,/matches/2358438/fnatic-vs-eternal-fire-iem-road-to-rio-2022-europe-rmr-a
Enterprise,Entropiq Prague,2,1,2022-10-07,/matches/2359334/enterprise-vs-entropiq-prague-sazka-eleague-fall-2022-finals
B8,Sprout,1,2,2022-10-07,/matches/2358437/b8-vs-sprout-iem-road-to-rio-2022-europe-rmr-a
Cloud9,1WIN,2,0,2022-10-07,/matches/2358436/cloud9-vs-1win-iem-road-to-rio-2022-europe-rmr-a
Spirit,Bad News Eagles,2,0,2022-10-07,/matches/2358435/spirit-vs-bad-news-eagles-iem-road-to-rio-2022-europe-rmr-a
FURIA,paiN,2,0,2022-10-07,/matches/2358373/furia-vs-pain-iem-road-to-rio-2022-americas-rmr
FANTASY,Illuminar,1,2,2022-10-07,/matches/2358434/fantasy-vs-illuminar-iem-road-to-rio-2022-europe-rmr-b
HEET,SAW,2,1,2022-10-07,/matches/2358433/heet-vs-saw-iem-road-to-rio-2022-europe-rmr-b
ATK,9z,0,2,2022-10-07,/matches/2358374/atk-vs-9z-iem-road-to-rio-2022-americas-rmr
SINNERS,eSuba,0,2,2022-10-07,/matches/2359333/sinners-vs-esuba-sazka-eleague-fall-2022-finals
ENCE,BIG,2,0,2022-10-07,/matches/2358432/ence-vs-big-iem-road-to-rio-2022-europe-rmr-b
Grayhound,Rare Atom,2,1,2022-10-07,/matches/2358253/grayhound-vs-rare-atom-iem-road-to-rio-2022-asia-rmr
IHC,JiJieHao International,2,0,2022-10-07,/matches/2358252/ihc-vs-jijiehao-international-iem-road-to-rio-2022-asia-rmr
