team1,team2,result1,result2,date_of_match,reference
Cryptova,Sampi,9,16,2022-10-12,/matches/2359538/cryptova-vs-sampi-slovak-national-championship-2022
Sangal,Nemiga,1,2,2022-10-12,/matches/2359420/sangal-vs-nemiga-cct-north-europe-series-1
ex-Finest,ECLOT,2,0,2022-10-12,/matches/2359576/ex-finest-vs-eclot-esl-challenger-league-season-42-europe-relegation
AGO,Iron Branch,2,1,2022-10-12,/matches/2359578/ago-vs-iron-branch-esl-challenger-league-season-42-europe-relegation
SAW,fnatic Rising,2,1,2022-10-12,/matches/2359579/saw-vs-fnatic-rising-esl-challenger-league-season-42-europe-relegation
UNGENTIUM,Aurora,1,2,2022-10-12,/matches/2359577/ungentium-vs-aurora-esl-challenger-league-season-42-europe-relegation
PROSPECTS,Astralis Talent,16,2,2022-10-12,/matches/2359454/prospects-vs-astralis-talent-weplay-academy-league-season-6
eSuba,Narcis,28,25,2022-10-12,/matches/2359539/esuba-vs-narcis-slovak-national-championship-2022
BLINK,Partizan,0,2,2022-10-12,/matches/2359563/blink-vs-partizan-cct-south-europe-series-1
Illuminar,PACT,2,0,2022-10-12,/matches/2359570/illuminar-vs-pact-cct-central-europe-series-3-closed-qualifier
Flames Ascent,MOUZ NXT,26,28,2022-10-12,/matches/2359453/flames-ascent-vs-mouz-nxt-weplay-academy-league-season-6
Young Ninjas,ENCE Academy,16,9,2022-10-12,/matches/2359452/young-ninjas-vs-ence-academy-weplay-academy-league-season-6
Entropiq Prague,Enterprise,13,16,2022-10-12,/matches/2359537/entropiq-prague-vs-enterprise-slovak-national-championship-2022
ECSTATIC,PROSPECTS,0,2,2022-10-12,/matches/2359419/ecstatic-vs-prospects-cct-north-europe-series-1
eSuba,Wolsung,0,1,2022-10-12,/matches/2359569/esuba-vs-wolsung-cct-central-europe-series-3-closed-qualifier
Wolsung,Nigma Galaxy,2,0,2022-10-12,/matches/2359557/wolsung-vs-nigma-galaxy-cct-central-europe-series-3-closed-qualifier
NAVI Junior,Flames Ascent,16,8,2022-10-12,/matches/2359451/navi-junior-vs-flames-ascent-weplay-academy-league-season-6
Zero Tenacity,X,2,1,2022-10-12,/matches/2359562/zero-tenacity-vs-x-cct-south-europe-series-1
BIG Academy,MIBR Academy,16,5,2022-10-12,/matches/2359450/big-academy-vs-mibr-academy-weplay-academy-league-season-6
Into the Breach,ex-TITANS,2,1,2022-10-12,/matches/2359421/into-the-breach-vs-ex-titans-cct-north-europe-series-1
BLUEJAYS,Endpoint,0,2,2022-10-12,/matches/2359352/bluejays-vs-endpoint-elisa-invitational-fall-2022
fnatic Rising,OG Academy,16,10,2022-10-12,/matches/2359449/fnatic-rising-vs-og-academy-weplay-academy-league-season-6
AGO,PACT,2,0,2022-10-12,/matches/2359556/ago-vs-pact-cct-central-europe-series-3-closed-qualifier
Nut-E,Warriors,2,1,2022-10-12,/matches/2359542/nut-e-vs-warriors-lpl-pro-league-season-11
Apeks Rebels,Flames Ascent,8,16,2022-10-12,/matches/2359437/apeks-rebels-vs-flames-ascent-weplay-academy-league-season-6
Grayhound,DGG,2,0,2022-10-12,/matches/2359359/grayhound-vs-dgg-esl-australia-nz-championship-season-15
ECLOT,SAW,0,2,2022-10-12,/matches/2359351/eclot-vs-saw-elisa-invitational-fall-2022
NAVI Junior,NeedDOCTOR,0,2,2022-10-12,/matches/2359561/navi-junior-vs-needdoctor-cct-south-europe-series-1
fnatic Rising,IKLA,2,0,2022-10-12,/matches/2359414/fnatic-rising-vs-ikla-cct-north-europe-series-1
Antic,yellow,2,0,2022-10-12,/matches/2359541/antic-vs-yellow-lpl-pro-league-season-11
Rooster,VERTEX,0,2,2022-10-12,/matches/2359355/rooster-vs-vertex-esl-australia-nz-championship-season-15
Eros,X13,1,2,2022-10-12,/matches/2359370/eros-vs-x13-esea-advanced-season-42-north-america
