team1,team2,result1,result2,date_of_match,reference
BIG Academy,Iron Blood,2,1,2022-09-10,/matches/2358725/big-academy-vs-iron-blood-fragadelphia-17
ATK,EG Black,2,0,2022-09-10,/matches/2358728/atk-vs-eg-black-fragadelphia-17
TeamOne,Squirtle Squad,2,0,2022-09-10,/matches/2358723/teamone-vs-squirtle-squad-fragadelphia-17
Paquetá,Arvum,2,1,2022-09-10,/matches/2358695/paquet-vs-arvum-cct-south-america-series-2
Electrify Steel,Vendetta,2,0,2022-09-10,/matches/2358731/electrify-steel-vs-vendetta-fragadelphia-17
allStars,Nexus Academy,2,1,2022-09-10,/matches/2358722/allstars-vs-nexus-academy-ropl-stars-fall-2022
Phantom Troupe,Apeks,0,2,2022-09-10,/matches/2358724/phantom-troupe-vs-apeks-fragadelphia-17
Detonate,EG White,0,2,2022-09-10,/matches/2358730/detonate-vs-eg-white-fragadelphia-17
FaZe,G2,0,2,2022-09-10,/matches/2357719/faze-vs-g2-esl-pro-league-season-16
Iron Blood,Victorum,2,1,2022-09-10,/matches/2358702/iron-blood-vs-victorum-fragadelphia-17
Electrify Steel,Detonate,0,2,2022-09-10,/matches/2358708/electrify-steel-vs-detonate-fragadelphia-17
Davenport University,EG Black,0,2,2022-09-10,/matches/2358707/davenport-university-vs-eg-black-fragadelphia-17
Squirtle Squad,Apeks,2,0,2022-09-10,/matches/2358704/squirtle-squad-vs-apeks-fragadelphia-17
SHAPE,Austria,0,2,2022-09-10,/matches/2358712/shape-vs-austria-clash-of-leagues-2022
Vendetta,EG White,0,2,2022-09-10,/matches/2358709/vendetta-vs-eg-white-fragadelphia-17
ATK,BLVKHVND,2,0,2022-09-10,/matches/2358706/atk-vs-blvkhvnd-fragadelphia-17
Boca Juniors,Yawara,2,1,2022-09-10,/matches/2358694/boca-juniors-vs-yawara-cct-south-america-series-2
Phantom Troupe,TeamOne,0,2,2022-09-10,/matches/2358705/phantom-troupe-vs-teamone-fragadelphia-17
Argon,BIG Academy,0,2,2022-09-10,/matches/2358703/argon-vs-big-academy-fragadelphia-17
UNGENTIUM,PACT,1,2,2022-09-10,/matches/2358710/ungentium-vs-pact-gam3rs-x-eu-champions-fall-2022-poland-closed-qualifier
Outsiders,MIBR,2,0,2022-09-10,/matches/2357718/outsiders-vs-mibr-esl-pro-league-season-16
Austria,SKADE,0,2,2022-09-10,/matches/2358681/austria-vs-skade-clash-of-leagues-2022
BIG,FTW,2,1,2022-09-10,/matches/2357717/big-vs-ftw-esl-pro-league-season-16
SHAPE,BLINK,1,2,2022-09-10,/matches/2358680/shape-vs-blink-clash-of-leagues-2022
Illuminar,UNGENTIUM,1,2,2022-09-10,/matches/2358601/illuminar-vs-ungentium-gam3rs-x-eu-champions-fall-2022-poland-closed-qualifier
ThunderFlash,PACT,1,2,2022-09-10,/matches/2358602/thunderflash-vs-pact-gam3rs-x-eu-champions-fall-2022-poland-closed-qualifier
Rooster,DGG,16,13,2022-09-10,/matches/2358668/rooster-vs-dgg-fortress-oce-masters-fall-2022-blast-premier-qualifier
Grayhound,DGG,16,3,2022-09-10,/matches/2358667/grayhound-vs-dgg-fortress-oce-masters-fall-2022-blast-premier-qualifier
yellow,Rooster,7,16,2022-09-10,/matches/2358666/yellow-vs-rooster-fortress-oce-masters-fall-2022-blast-premier-qualifier
DGG,Rooster,16,14,2022-09-10,/matches/2358665/dgg-vs-rooster-fortress-oce-masters-fall-2022-blast-premier-qualifier
Grayhound,yellow,16,3,2022-09-10,/matches/2358664/grayhound-vs-yellow-fortress-oce-masters-fall-2022-blast-premier-qualifier
BLVKHVND,7AM,2,0,2022-09-10,/matches/2358684/blvkhvnd-vs-7am-fragadelphia-17-last-chance-qualifier
Victorum,Limitless,2,0,2022-09-10,/matches/2358685/victorum-vs-limitless-fragadelphia-17-last-chance-qualifier
Detonate,X13,2,1,2022-09-10,/matches/2358682/detonate-vs-x13-fragadelphia-17-last-chance-qualifier
Fluxo,Sharks,2,0,2022-09-10,/matches/2358662/fluxo-vs-sharks-esl-challenger-rotterdam-2022-south-america-open-qualifier-1
Apeks,Snakes Den,2,0,2022-09-10,/matches/2358683/apeks-vs-snakes-den-fragadelphia-17-last-chance-qualifier
