team1,team2,result1,result2,date_of_match,reference
LF0,Sangal,1,2,2022-09-20,/matches/2359031/lf0-vs-sangal-esea-advanced-season-42-europe
ALTERNATE aTTaX,PACT,1,2,2022-09-20,/matches/2359028/alternate-attax-vs-pact-esea-advanced-season-42-europe
MASONIC,PALOMA,1,2,2022-09-20,/matches/2359017/masonic-vs-paloma-esea-advanced-season-42-europe
eSuba,Apeks,2,0,2022-09-20,/matches/2358992/esuba-vs-apeks-cct-central-europe-series-2
Finest,BLUEJAYS,0,2,2022-09-20,/matches/2357815/finest-vs-bluejays-esl-challenger-league-season-42-europe
9 Pandas,Partizan,2,0,2022-09-20,/matches/2359027/9-pandas-vs-partizan-esea-advanced-season-42-europe
Meta BR,Mad Kings,19,16,2022-09-20,/matches/2359037/meta-br-vs-mad-kings-americas-supercup-2022
ThunderFlash,OneTap,1,2,2022-09-20,/matches/2359020/thunderflash-vs-onetap-esea-advanced-season-42-europe
HONORIS,EC Brugge,1,2,2022-09-20,/matches/2359030/honoris-vs-ec-brugge-esea-advanced-season-42-europe
SINNERS,los kogutos,2,0,2022-09-20,/matches/2358990/sinners-vs-los-kogutos-cct-central-europe-series-2
ECLOT,X,2,1,2022-09-20,/matches/2359026/eclot-vs-x-esea-advanced-season-42-europe
ECSTATIC,Sashi,2,1,2022-09-20,/matches/2358980/ecstatic-vs-sashi-elisa-invitational-fall-2022
Into the Breach,Illuminar,2,0,2022-09-20,/matches/2358991/into-the-breach-vs-illuminar-cct-central-europe-series-2
SINNERS,EC Kyiv,1,2,2022-09-20,/matches/2358979/sinners-vs-ec-kyiv-elisa-invitational-fall-2022
BLUEJAYS,HONORIS,2,1,2022-09-20,/matches/2358989/bluejays-vs-honoris-cct-central-europe-series-2
yellow,Arena,0,1,2022-09-20,/matches/2359009/yellow-vs-arena-esl-australia-nz-championship-season-15
Grayhound,Encore,2,0,2022-09-20,/matches/2359008/grayhound-vs-encore-esl-australia-nz-championship-season-15
BHOP,Strife,0,2,2022-09-20,/matches/2358805/bhop-vs-strife-esl-challenger-league-season-42-north-america
REIGN,All Gas No Brakes,2,1,2022-09-20,/matches/2358998/reign-vs-all-gas-no-brakes-cct-north-america-series-1
Nouns,Victorum,2,0,2022-09-20,/matches/2358804/nouns-vs-victorum-esl-challenger-league-season-42-north-america
Limitless,Infinity,0,2,2022-09-20,/matches/2358996/limitless-vs-infinity-cct-north-america-series-1
MIBR,Davenport University,2,0,2022-09-20,/matches/2359001/mibr-vs-davenport-university-esl-challenger-league-season-42-north-america
9z Academy,Mad Kings,13,16,2022-09-20,/matches/2358976/9z-academy-vs-mad-kings-americas-supercup-2022
Take Flyte,Electrify Steel,1,2,2022-09-20,/matches/2358997/take-flyte-vs-electrify-steel-cct-north-america-series-1
Vendetta,Nouns,2,0,2022-09-20,/matches/2358195/vendetta-vs-nouns-esl-challenger-league-season-42-north-america
Davenport University,X13,1,2,2022-09-20,/matches/2358995/davenport-university-vs-x13-cct-north-america-series-1
MIBR,EG Black,2,0,2022-09-20,/matches/2358940/mibr-vs-eg-black-esl-challenger-league-season-42-north-america
The Union,MOB,16,10,2022-09-20,/matches/2358975/the-union-vs-mob-americas-supercup-2022
