team1,team2,result1,result2,date_of_match,reference
Vitality,Astralis,17,19,2022-08-19,/matches/2357655/vitality-vs-astralis-blast-premier-fall-groups-2022
Boca Juniors,Isurus,0,2,2022-08-19,/matches/2358047/boca-juniors-vs-isurus-cct-south-america-series-1
Ninjas in Pyjamas,Astralis,9,16,2022-08-19,/matches/2357652/ninjas-in-pyjamas-vs-astralis-blast-premier-fall-groups-2022
OG,Astralis,9,16,2022-08-19,/matches/2357649/og-vs-astralis-blast-premier-fall-groups-2022
Vitality,Ninjas in Pyjamas,16,12,2022-08-19,/matches/2357646/vitality-vs-ninjas-in-pyjamas-blast-premier-fall-groups-2022
Los Grandes Academy,homeless,1,0,2022-08-19,/matches/2358046/los-grandes-academy-vs-homeless-cct-south-america-series-1
Ninjas in Pyjamas,Astralis,16,10,2022-08-19,/matches/2357643/ninjas-in-pyjamas-vs-astralis-blast-premier-fall-groups-2022
Vitality,OG,16,11,2022-08-19,/matches/2357640/vitality-vs-og-blast-premier-fall-groups-2022
timbermen,Infinity,2,0,2022-08-19,/matches/2357974/timbermen-vs-infinity-egl-premier-season-3
The Union,Capivara Strong,2,1,2022-08-19,/matches/2357973/the-union-vs-capivara-strong-cct-south-america-series-1
WINDINGO,Meta BR,0,2,2022-08-19,/matches/2357972/windingo-vs-meta-br-cct-south-america-series-1
