team1,team2,result1,result2,date_of_match,reference
ThunderFlash,Iron Branch,1,2,2022-09-22,/matches/2359080/thunderflash-vs-iron-branch-esea-advanced-season-42-europe
Furious,Corinthians,1,2,2022-09-22,/matches/2359042/furious-vs-corinthians-cct-south-america-series-2
fnatic Rising,Anonymo,2,1,2022-09-22,/matches/2359075/fnatic-rising-vs-anonymo-esea-advanced-season-42-europe
X,Partizan,2,1,2022-09-22,/matches/2359059/x-vs-partizan-esea-advanced-season-42-europe
The Union,9z Academy,2,0,2022-09-22,/matches/2359085/the-union-vs-9z-academy-americas-supercup-2022
Nexus,HOTU,1,2,2022-09-22,/matches/2359079/nexus-vs-hotu-esea-advanced-season-42-europe
Liquid,Evil Geniuses,2,0,2022-09-22,/matches/2357743/liquid-vs-evil-geniuses-esl-pro-league-season-16
Into the Breach,SINNERS,0,2,2022-09-22,/matches/2359056/into-the-breach-vs-sinners-cct-central-europe-series-2
TAG,Apeks,1,2,2022-09-22,/matches/2359071/tag-vs-apeks-esea-advanced-season-42-europe
VP.Prodigy,1PIN,1,2,2022-09-22,/matches/2359112/vpprodigy-vs-1pin-scl-season-6
EC Brugge,JoinTheForce,2,0,2022-09-22,/matches/2358907/ec-brugge-vs-jointheforce-betfirst-elite-series-summer-split-2022
HONORIS,LF0,0,2,2022-09-22,/matches/2359060/honoris-vs-lf0-esea-advanced-season-42-europe
Ape Gang,Meta BR,1,2,2022-09-22,/matches/2359041/ape-gang-vs-meta-br-cct-south-america-series-2
eSuba,BLUEJAYS,0,2,2022-09-22,/matches/2359055/esuba-vs-bluejays-cct-central-europe-series-2
PACT,JANO,2,1,2022-09-22,/matches/2359076/pact-vs-jano-esea-advanced-season-42-europe
ex-SKADE,PALOMA,0,2,2022-09-22,/matches/2359070/ex-skade-vs-paloma-esea-advanced-season-42-europe
Movistar Riders,FURIA,0,2,2022-09-22,/matches/2357742/movistar-riders-vs-furia-esl-pro-league-season-16
Finest,MASONIC,1,2,2022-09-22,/matches/2358984/finest-vs-masonic-elisa-invitational-fall-2022
HONORIS,Apeks,2,0,2022-09-22,/matches/2359054/honoris-vs-apeks-cct-central-europe-series-2
Bravado,Nixuh,2,1,2022-09-22,/matches/2359006/bravado-vs-nixuh-telkom-vs-gaming-masters-2022
Antic,VERTEX,1,2,2022-09-22,/matches/2359011/antic-vs-vertex-esl-australia-nz-championship-season-15
Cloud9,Eternal Fire,2,0,2022-09-22,/matches/2357741/cloud9-vs-eternal-fire-esl-pro-league-season-16
BLUEJAYS,Into the Breach,2,0,2022-09-22,/matches/2358983/bluejays-vs-into-the-breach-elisa-invitational-fall-2022
DGG,Nut-E,2,1,2022-09-22,/matches/2359010/dgg-vs-nut-e-esl-australia-nz-championship-season-15
K23,FTW,2,0,2022-09-22,/matches/2359053/k23-vs-ftw-cct-central-europe-series-2
Iron Blood,Vendetta,0,2,2022-09-22,/matches/2359032/iron-blood-vs-vendetta-esl-challenger-league-season-42-north-america
Mythic,Kari,1,2,2022-09-22,/matches/2359035/mythic-vs-kari-esl-challenger-league-season-42-north-america
Strife,Victorum,2,1,2022-09-22,/matches/2359036/strife-vs-victorum-esl-challenger-league-season-42-north-america
Los Grandes Academy,Meta BR,2,0,2022-09-22,/matches/2359077/los-grandes-academy-vs-meta-br-kabum-challenge-cup-2
ex-B4,Daotsu,1,2,2022-09-22,/matches/2359084/ex-b4-vs-daotsu-kabum-challenge-cup-2
EG Black,Unjustified,2,0,2022-09-22,/matches/2359034/eg-black-vs-unjustified-esl-challenger-league-season-42-north-america
MIBR,Brazen,2,0,2022-09-22,/matches/2359033/mibr-vs-brazen-esl-challenger-league-season-42-north-america
REIGN,Detonate,1,0,2022-09-22,/matches/2359063/reign-vs-detonate-cct-north-america-series-1
Villainous Union,Take Flyte,0,2,2022-09-22,/matches/2359062/villainous-union-vs-take-flyte-cct-north-america-series-1
Fluxo,ODDIK,16,9,2022-09-22,/matches/2359074/fluxo-vs-oddik-kabum-challenge-cup-2
Davenport University,Limitless,2,1,2022-09-22,/matches/2359061/davenport-university-vs-limitless-cct-north-america-series-1
ODDIK,Meta BR,16,8,2022-09-22,/matches/2359069/oddik-vs-meta-br-kabum-challenge-cup-2
9z Academy,Sotano,2,0,2022-09-22,/matches/2359040/9z-academy-vs-sotano-americas-supercup-2022
Fluxo,Daotsu,16,4,2022-09-22,/matches/2359068/fluxo-vs-daotsu-kabum-challenge-cup-2
Liquid,Movistar Riders,2,1,2022-09-22,/matches/2357740/liquid-vs-movistar-riders-esl-pro-league-season-16
EYEBALLERS,Iron Branch,2,1,2022-09-22,/matches/2359021/eyeballers-vs-iron-branch-esea-advanced-season-42-europe
