team1,team2,result1,result2,date_of_match,reference
TeamOne,EG Black,2,1,2022-09-11,/matches/2358765/teamone-vs-eg-black-fragadelphia-17
Iron Branch,NASR,2,1,2022-09-11,/matches/2358780/iron-branch-vs-nasr-esl-challenger-rotterdam-2022-europe-open-qualifier-2
HONORIS,fnatic Rising,1,2,2022-09-11,/matches/2358779/honoris-vs-fnatic-rising-esl-challenger-rotterdam-2022-europe-open-qualifier-2
Nexus,allStars,2,0,2022-09-11,/matches/2358775/nexus-vs-allstars-ropl-stars-fall-2022
MIBR,FTW,2,0,2022-09-11,/matches/2357720/mibr-vs-ftw-esl-pro-league-season-16
FaZe,BIG,2,0,2022-09-11,/matches/2357722/faze-vs-big-esl-pro-league-season-16
G2,Outsiders,2,0,2022-09-11,/matches/2357721/g2-vs-outsiders-esl-pro-league-season-16
Redragon,ex-Holkattes,0,2,2022-09-11,/matches/2358699/redragon-vs-ex-holkattes-cct-south-america-series-2
SC,Infinite,2,0,2022-09-11,/matches/2358716/sc-vs-infinite-cct-central-europe-series-2-closed-qualifier
Iron Blood,EG White,0,2,2022-09-11,/matches/2358766/iron-blood-vs-eg-white-fragadelphia-17
SKADE,BLINK,2,0,2022-09-11,/matches/2358773/skade-vs-blink-clash-of-leagues-2022
OneTap,allStars,1,2,2022-09-11,/matches/2358774/onetap-vs-allstars-ropl-stars-fall-2022
ECSTATIC,NASR,12,16,2022-09-11,/matches/2358753/ecstatic-vs-nasr-esl-challenger-rotterdam-2022-europe-open-qualifier-2
Iron Branch,Young Ninjas,16,9,2022-09-11,/matches/2358752/iron-branch-vs-young-ninjas-esl-challenger-rotterdam-2022-europe-open-qualifier-2
fnatic Rising,AVANGAR,16,7,2022-09-11,/matches/2358755/fnatic-rising-vs-avangar-esl-challenger-rotterdam-2022-europe-open-qualifier-2
Apeks,ATK,2,0,2022-09-11,/matches/2358763/apeks-vs-atk-fragadelphia-17
HONORIS,Entropiq Prague,0,1,2022-09-11,/matches/2358771/honoris-vs-entropiq-prague-cct-central-europe-series-2-closed-qualifier
BLUEJAYS,HONORIS,1,16,2022-09-11,/matches/2358756/bluejays-vs-honoris-esl-challenger-rotterdam-2022-europe-open-qualifier-2
The Union,FUSION,0,2,2022-09-11,/matches/2358698/the-union-vs-fusion-cct-south-america-series-2
BIG Academy,Electrify Steel,2,0,2022-09-11,/matches/2358764/big-academy-vs-electrify-steel-fragadelphia-17
Anonymo,Entropiq Prague,0,2,2022-09-11,/matches/2358714/anonymo-vs-entropiq-prague-cct-central-europe-series-2-closed-qualifier
Austria,BLINK,0,2,2022-09-11,/matches/2358727/austria-vs-blink-clash-of-leagues-2022
Young Ninjas,Nigma Galaxy,2,0,2022-09-11,/matches/2358715/young-ninjas-vs-nigma-galaxy-cct-central-europe-series-2-closed-qualifier
Nexus,OneTap,2,1,2022-09-11,/matches/2358721/nexus-vs-onetap-ropl-stars-fall-2022
UNGENTIUM,HONORIS,0,2,2022-09-11,/matches/2358713/ungentium-vs-honoris-cct-central-europe-series-2-closed-qualifier
BLINK,SKADE,0,2,2022-09-11,/matches/2358711/blink-vs-skade-clash-of-leagues-2022
Antic,Encore,12,16,2022-09-11,/matches/2358673/antic-vs-encore-fortress-oce-masters-fall-2022-blast-premier-qualifier
Encore,VERTEX,10,16,2022-09-11,/matches/2358672/encore-vs-vertex-fortress-oce-masters-fall-2022-blast-premier-qualifier
Antic,CAMO,16,10,2022-09-11,/matches/2358671/antic-vs-camo-fortress-oce-masters-fall-2022-blast-premier-qualifier
VERTEX,CAMO,16,12,2022-09-11,/matches/2358670/vertex-vs-camo-fortress-oce-masters-fall-2022-blast-premier-qualifier
