team1,team2,result1,result2,date_of_match,reference
ALTERNATE aTTaX,eSuba,1,0,2022-09-30,/matches/2359309/alternate-attax-vs-esuba-cct-south-europe-series-1-closed-qualifier
G2,Natus Vincere,2,1,2022-09-30,/matches/2358331/g2-vs-natus-vincere-esl-pro-league-season-16
eSuba,Viary,2,1,2022-09-30,/matches/2359244/esuba-vs-viary-cct-south-europe-series-1-closed-qualifier
Endpoint,HONORIS,2,1,2022-09-30,/matches/2359290/endpoint-vs-honoris-cct-central-europe-series-2
LDLC,777,2,1,2022-09-30,/matches/2359305/ldlc-vs-777-cct-north-europe-series-1-closed-qualifier
IMMA PROBLEM,TITANS,1,2,2022-09-30,/matches/2359307/imma-problem-vs-titans-cct-north-europe-series-1-closed-qualifier
9 Pandas,EC Brugge,2,0,2022-09-30,/matches/2359308/9-pandas-vs-ec-brugge-cct-south-europe-series-1-closed-qualifier
ECLOT,Sangal,1,2,2022-09-30,/matches/2359257/eclot-vs-sangal-esea-advanced-season-42-europe
Partizan,ALTERNATE aTTaX,1,2,2022-09-30,/matches/2359243/partizan-vs-alternate-attax-cct-south-europe-series-1-closed-qualifier
OG,SINNERS,2,0,2022-09-30,/matches/2359289/og-vs-sinners-cct-central-europe-series-2
Vitality,Outsiders,2,0,2022-09-30,/matches/2358332/vitality-vs-outsiders-esl-pro-league-season-16
SKADE X,TITANS,0,2,2022-09-30,/matches/2359256/skade-x-vs-titans-cct-north-europe-series-1-closed-qualifier
EC Brugge,ToA,2,0,2022-09-30,/matches/2359242/ec-brugge-vs-toa-cct-south-europe-series-1-closed-qualifier
Nemiga,777,0,2,2022-09-30,/matches/2359254/nemiga-vs-777-cct-north-europe-series-1-closed-qualifier
Finest,forZe,0,2,2022-09-30,/matches/2359288/finest-vs-forze-cct-central-europe-series-2
HOTU,Iron Branch,0,2,2022-09-30,/matches/2359286/hotu-vs-iron-branch-esea-advanced-season-42-europe
LDLC,SMIX,2,1,2022-09-30,/matches/2359253/ldlc-vs-smix-cct-north-europe-series-1-closed-qualifier
JANO,IMMA PROBLEM,1,2,2022-09-30,/matches/2359255/jano-vs-imma-problem-cct-north-europe-series-1-closed-qualifier
9 Pandas,Illyrians,2,0,2022-09-30,/matches/2359241/9-pandas-vs-illyrians-cct-south-europe-series-1-closed-qualifier
Entropiq,Into the Breach,1,2,2022-09-30,/matches/2359281/entropiq-vs-into-the-breach-cct-central-europe-series-2
Sprout,K23,1,0,2022-09-30,/matches/2357818/sprout-vs-k23-esl-challenger-league-season-42-europe
Phantom Troupe,Victorum,2,1,2022-09-30,/matches/2359282/phantom-troupe-vs-victorum-cct-north-america-series-1
Snakes Den,Eros,2,1,2022-09-30,/matches/2359261/snakes-den-vs-eros-esea-advanced-season-42-north-america
Brazen,REIGN,1,2,2022-09-30,/matches/2359278/brazen-vs-reign-cct-north-america-series-1
X13,Villainous Union,1,2,2022-09-30,/matches/2359262/x13-vs-villainous-union-esea-advanced-season-42-north-america
EG Black,Davenport University,1,2,2022-09-30,/matches/2359276/eg-black-vs-davenport-university-cct-north-america-series-1
Isurus,MOB,2,0,2022-09-30,/matches/2359228/isurus-vs-mob-americas-supercup-2022
