team1,team2,result1,result2,date_of_match,reference
NeedDOCTOR,OneTap,1,2,2022-10-16,/matches/2359670/needdoctor-vs-onetap-jaxi-league-balkan-series-2022
163ON,GenOne,1,2,2022-10-16,/matches/2359682/163on-vs-genone-esea-autumn-2022-cash-cup-2-europe
GoodJob,BLINK,2,1,2022-10-16,/matches/2359674/goodjob-vs-blink-cct-south-europe-series-1
Astralis Talent,PROSPECTS,19,17,2022-10-16,/matches/2359478/astralis-talent-vs-prospects-weplay-academy-league-season-6
SC,Nemiga,1,2,2022-10-16,/matches/2359651/sc-vs-nemiga-cct-north-europe-series-1
MOUZ NXT,fnatic Rising,16,13,2022-10-16,/matches/2359441/mouz-nxt-vs-fnatic-rising-weplay-academy-league-season-6
Spirit,9z,2,0,2022-10-16,/matches/2359559/spirit-vs-9z-flow-fireleague-2022-global-finals
Outsiders,ENCE,2,0,2022-10-16,/matches/2359555/outsiders-vs-ence-esl-challenger-rotterdam-2022
ENCE Academy,Young Ninjas,16,14,2022-10-16,/matches/2359476/ence-academy-vs-young-ninjas-weplay-academy-league-season-6
Tricked,ex-SKADE,2,1,2022-10-16,/matches/2359650/tricked-vs-ex-skade-cct-north-europe-series-1
BLUEJAYS,Monte,1,2,2022-10-16,/matches/2359673/bluejays-vs-monte-cct-south-europe-series-1
EYEBALLERS,Ninjas in Pyjamas,0,2,2022-10-16,/matches/2359405/eyeballers-vs-ninjas-in-pyjamas-svenska-cupen-2022
fnatic Rising,NAVI Junior,16,12,2022-10-16,/matches/2359447/fnatic-rising-vs-navi-junior-weplay-academy-league-season-6
GenOne,HONORIS,2,0,2022-10-16,/matches/2359678/genone-vs-honoris-esea-autumn-2022-cash-cup-2-europe
paiN,Imperial,2,1,2022-10-16,/matches/2359558/pain-vs-imperial-flow-fireleague-2022-global-finals
MIBR Academy,BIG Academy,16,19,2022-10-16,/matches/2359474/mibr-academy-vs-big-academy-weplay-academy-league-season-6
ENCE,Eternal Fire,2,1,2022-10-16,/matches/2359553/ence-vs-eternal-fire-esl-challenger-rotterdam-2022
fnatic Rising,PROSPECTS,2,1,2022-10-16,/matches/2359649/fnatic-rising-vs-prospects-cct-north-europe-series-1
ECLOT,eSuba,3,1,2022-10-16,/matches/2359643/eclot-vs-esuba-slovak-national-championship-2022
NAVI Junior,MOUZ NXT,16,11,2022-10-16,/matches/2359473/navi-junior-vs-mouz-nxt-weplay-academy-league-season-6
ex-Finest,Lilmix,2,0,2022-10-16,/matches/2359404/ex-finest-vs-lilmix-svenska-cupen-2022
163ON,Monte,1,0,2022-10-16,/matches/2359679/163on-vs-monte-esea-autumn-2022-cash-cup-2-europe
Spirit Academy,BIG Academy,7,16,2022-10-16,/matches/2359448/spirit-academy-vs-big-academy-weplay-academy-league-season-6
NeedDOCTOR,X,2,0,2022-10-16,/matches/2359672/needdoctor-vs-x-cct-south-europe-series-1
BLUEJAYS,IKLA,2,1,2022-10-16,/matches/2359648/bluejays-vs-ikla-cct-north-europe-series-1
MOUZ,Outsiders,1,2,2022-10-16,/matches/2359554/mouz-vs-outsiders-esl-challenger-rotterdam-2022
Astralis Talent,Tricked,2,1,2022-10-16,/matches/2359671/astralis-talent-vs-tricked-npf-invitational-2022
