team1,team2,result1,result2,date_of_match,reference
Isurus,ARCTIC,2,0,2022-10-06,/matches/2358371/isurus-vs-arctic-iem-road-to-rio-2022-americas-rmr
K23,AGO,2,1,2022-10-06,/matches/2358309/k23-vs-ago-esl-challenger-league-season-42-europe
Natus Vincere,Outsiders,2,0,2022-10-06,/matches/2358431/natus-vincere-vs-outsiders-iem-road-to-rio-2022-europe-rmr-b
TeamOne,Infinity,2,0,2022-10-06,/matches/2358372/teamone-vs-infinity-iem-road-to-rio-2022-americas-rmr
Complexity,Liquid,1,2,2022-10-06,/matches/2358369/complexity-vs-liquid-iem-road-to-rio-2022-americas-rmr
forZe,ECSTATIC,2,0,2022-10-06,/matches/2358426/forze-vs-ecstatic-iem-road-to-rio-2022-europe-rmr-a
Evil Geniuses,9z,2,1,2022-10-06,/matches/2358370/evil-geniuses-vs-9z-iem-road-to-rio-2022-americas-rmr
Cloud9,Ninjas in Pyjamas,1,2,2022-10-06,/matches/2358423/cloud9-vs-ninjas-in-pyjamas-iem-road-to-rio-2022-europe-rmr-a
Eternal Fire,Aurora,2,1,2022-10-06,/matches/2358425/eternal-fire-vs-aurora-iem-road-to-rio-2022-europe-rmr-a
FaZe,Sprout,2,1,2022-10-06,/matches/2358424/faze-vs-sprout-iem-road-to-rio-2022-europe-rmr-a
Imperial,00NATION,11,16,2022-10-06,/matches/2358367/imperial-vs-00nation-iem-road-to-rio-2022-americas-rmr
O PLANO,FURIA,2,16,2022-10-06,/matches/2358368/o-plano-vs-furia-iem-road-to-rio-2022-americas-rmr
K23,MOUZ,10,16,2022-10-06,/matches/2358430/k23-vs-mouz-iem-road-to-rio-2022-europe-rmr-b
Falcons,OG,12,16,2022-10-06,/matches/2358429/falcons-vs-og-iem-road-to-rio-2022-europe-rmr-b
Nouns,paiN,8,16,2022-10-06,/matches/2358366/nouns-vs-pain-iem-road-to-rio-2022-americas-rmr
MIBR,ATK,8,16,2022-10-06,/matches/2358365/mibr-vs-atk-iem-road-to-rio-2022-americas-rmr
Monte,Vitality,7,16,2022-10-06,/matches/2358427/monte-vs-vitality-iem-road-to-rio-2022-europe-rmr-b
1WIN,G2,16,13,2022-10-06,/matches/2358422/1win-vs-g2-iem-road-to-rio-2022-europe-rmr-a
Heroic,Sangal,16,6,2022-10-06,/matches/2358428/heroic-vs-sangal-iem-road-to-rio-2022-europe-rmr-b
Spirit,GamerLegion,22,20,2022-10-06,/matches/2358420/spirit-vs-gamerlegion-iem-road-to-rio-2022-europe-rmr-a
B8,fnatic,16,9,2022-10-06,/matches/2358421/b8-vs-fnatic-iem-road-to-rio-2022-europe-rmr-a
Bad News Eagles,Astralis,16,3,2022-10-06,/matches/2358419/bad-news-eagles-vs-astralis-iem-road-to-rio-2022-europe-rmr-a
Magic School Bus,Red Wolves,2,1,2022-10-06,/matches/2359263/magic-school-bus-vs-red-wolves-esea-advanced-season-42-north-america
Iron Branch,Aurora,1,2,2022-10-06,/matches/2359371/iron-branch-vs-aurora-esea-advanced-season-42-europe
