team1,team2,result1,result2,date_of_match,reference
JiJieHao International,NASR,2,1,2022-08-28,/matches/2358220/jijiehao-international-vs-nasr-iem-road-to-rio-2022-middle-east-closed-qualifier
GamerLegion,Benched Heroes,10,16,2022-08-28,/matches/2358153/gamerlegion-vs-benched-heroes-iem-road-to-rio-2022-europe-open-qualifier-4
Leicester 5,Temperate,0,2,2022-08-28,/matches/2358291/leicester-5-vs-temperate-insomnia69
9z,paiN,1,2,2022-08-28,/matches/2358278/9z-vs-pain-cct-south-america-series-1
Illuminar,Benched Heroes,1,2,2022-08-28,/matches/2358149/illuminar-vs-benched-heroes-iem-road-to-rio-2022-europe-open-qualifier-4
MASONIC,Beyond Possible,0,2,2022-08-28,/matches/2358274/masonic-vs-beyond-possible-cct-central-europe-series-1
Forward,GamerLegion,1,2,2022-08-28,/matches/2358150/forward-vs-gamerlegion-iem-road-to-rio-2022-europe-open-qualifier-4
SC,SD Invicta,2,0,2022-08-28,/matches/2358287/sc-vs-sd-invicta-predator-cup-baltics-fall-2022
Temperate,1fredde,2,0,2022-08-28,/matches/2358289/temperate-vs-1fredde-insomnia69
Ninjas in Pyjamas,Heroic,2,1,2022-08-28,/matches/2357668/ninjas-in-pyjamas-vs-heroic-blast-premier-fall-groups-2022
SAW,Astralis,16,12,2022-08-28,/matches/2358151/saw-vs-astralis-iem-road-to-rio-2022-europe-open-qualifier-4
1WIN,HEET,14,16,2022-08-28,/matches/2358152/1win-vs-heet-iem-road-to-rio-2022-europe-open-qualifier-4
IHC,NKT,2,1,2022-08-28,/matches/2358208/ihc-vs-nkt-iem-road-to-rio-2022-asia-closed-qualifier
Astralis,HEET,16,9,2022-08-28,/matches/2358147/astralis-vs-heet-iem-road-to-rio-2022-europe-open-qualifier-4
JPB,NASR,1,2,2022-08-28,/matches/2358219/jpb-vs-nasr-iem-road-to-rio-2022-middle-east-closed-qualifier
SC,X,2,1,2022-08-28,/matches/2358273/sc-vs-x-cct-central-europe-series-1
1WIN,SAW,9,16,2022-08-28,/matches/2358148/1win-vs-saw-iem-road-to-rio-2022-europe-open-qualifier-4
Kalbos Egzaminas,SD Invicta,0,2,2022-08-28,/matches/2358271/kalbos-egzaminas-vs-sd-invicta-predator-cup-baltics-fall-2022
Lynn Vision,Rare Atom,0,2,2022-08-28,/matches/2358226/lynn-vision-vs-rare-atom-iem-road-to-rio-2022-china-closed-qualifier
Leicester 5,EKO,0,2,2022-08-28,/matches/2358288/leicester-5-vs-eko-insomnia69
ORDER,Encore,2,1,2022-08-28,/matches/2358214/order-vs-encore-iem-road-to-rio-2022-oceania-closed-qualifier
FaZe,Astralis,2,1,2022-08-28,/matches/2357667/faze-vs-astralis-blast-premier-fall-groups-2022
KOVA,Enterprise,0,2,2022-08-28,/matches/2358272/kova-vs-enterprise-cct-central-europe-series-1
SC,Wolsung,2,0,2022-08-28,/matches/2358270/sc-vs-wolsung-predator-cup-baltics-fall-2022
NKT,ARAVT,2,0,2022-08-28,/matches/2358207/nkt-vs-aravt-iem-road-to-rio-2022-asia-closed-qualifier
Rare Atom,Wings Up,2,0,2022-08-28,/matches/2358225/rare-atom-vs-wings-up-iem-road-to-rio-2022-china-closed-qualifier
Encore,DGG,2,1,2022-08-28,/matches/2358213/encore-vs-dgg-iem-road-to-rio-2022-oceania-closed-qualifier
Isurus,ODDIK,0,2,2022-08-28,/matches/2358258/isurus-vs-oddik-cct-south-america-series-1
Corinthians,B4,1,2,2022-08-28,/matches/2358118/corinthians-vs-b4-iem-road-to-rio-2022-south-america-open-qualifier-3
HEET,Benched Heroes,2,0,2022-08-28,/matches/2358144/heet-vs-benched-heroes-iem-road-to-rio-2022-europe-open-qualifier-4
ARCTIC,Isurus,19,15,2022-08-28,/matches/2358117/arctic-vs-isurus-iem-road-to-rio-2022-south-america-open-qualifier-3
