team1,team2,result1,result2,date_of_match,reference
Tricked,Brøndby,2,0,2022-10-14,/matches/2359637/tricked-vs-brndby-npf-invitational-2022
Entropiq,Sprout,2,1,2022-10-14,/matches/2358308/entropiq-vs-sprout-esl-challenger-league-season-42-europe
ex-TITANS,BLUEJAYS,1,2,2022-10-14,/matches/2359594/ex-titans-vs-bluejays-cct-north-europe-series-1
Lilmix,Kappa Bar,2,0,2022-10-14,/matches/2359401/lilmix-vs-kappa-bar-svenska-cupen-2022
AGO,UNGENTIUM,2,1,2022-10-14,/matches/2359629/ago-vs-ungentium-esl-challenger-league-season-42-europe-relegation
PROSPECTS,BIG Academy,16,19,2022-10-14,/matches/2359466/prospects-vs-big-academy-weplay-academy-league-season-6
X,WLG,2,0,2022-10-14,/matches/2359621/x-vs-wlg-cct-south-europe-series-1
ECLOT,eSuba,2,1,2022-10-14,/matches/2359617/eclot-vs-esuba-slovak-national-championship-2022
MOUZ,Movistar Riders,16,8,2022-10-14,/matches/2359548/mouz-vs-movistar-riders-esl-challenger-rotterdam-2022
paiN,MASONIC,2,1,2022-10-14,/matches/2359376/pain-vs-masonic-flow-fireleague-2022-global-finals
Flames Ascent,fnatic Rising,6,16,2022-10-14,/matches/2359465/flames-ascent-vs-fnatic-rising-weplay-academy-league-season-6
Nexus,OneTap,1,2,2022-10-14,/matches/2359534/nexus-vs-onetap-jaxi-league-balkan-series-2022
Tricked,IKLA,2,0,2022-10-14,/matches/2359620/tricked-vs-ikla-cct-south-europe-series-1
ENCE,Outsiders,16,14,2022-10-14,/matches/2359547/ence-vs-outsiders-esl-challenger-rotterdam-2022
ENCE Academy,MIBR Academy,16,9,2022-10-14,/matches/2359464/ence-academy-vs-mibr-academy-weplay-academy-league-season-6
EYEBALLERS,PROSPECTS,2,0,2022-10-14,/matches/2359400/eyeballers-vs-prospects-svenska-cupen-2022
Copenhagen Flames,Nemiga,0,2,2022-10-14,/matches/2359593/copenhagen-flames-vs-nemiga-cct-north-europe-series-1
Flames Ascent,OG Academy,16,11,2022-10-14,/matches/2359463/flames-ascent-vs-og-academy-weplay-academy-league-season-6
Zero Tenacity,GoodJob,2,1,2022-10-14,/matches/2359619/zero-tenacity-vs-goodjob-cct-south-europe-series-1
Movistar Riders,Eternal Fire,16,9,2022-10-14,/matches/2359546/movistar-riders-vs-eternal-fire-esl-challenger-rotterdam-2022
Astralis Talent,Spirit Academy,8,16,2022-10-14,/matches/2359462/astralis-talent-vs-spirit-academy-weplay-academy-league-season-6
Enterprise,Cryptova,0,2,2022-10-14,/matches/2359616/enterprise-vs-cryptova-slovak-national-championship-2022
Apeks Rebels,OG Academy,7,16,2022-10-14,/matches/2359461/apeks-rebels-vs-og-academy-weplay-academy-league-season-6
fnatic Rising,ex-SKADE,2,0,2022-10-14,/matches/2359592/fnatic-rising-vs-ex-skade-cct-north-europe-series-1
MOUZ,Nixuh,16,2,2022-10-14,/matches/2359545/mouz-vs-nixuh-esl-challenger-rotterdam-2022
Young Ninjas,Spirit Academy,16,10,2022-10-14,/matches/2359438/young-ninjas-vs-spirit-academy-weplay-academy-league-season-6
Outsiders,Fluxo,22,18,2022-10-14,/matches/2359544/outsiders-vs-fluxo-esl-challenger-rotterdam-2022
Partizan,Monte,2,1,2022-10-14,/matches/2359618/partizan-vs-monte-cct-south-europe-series-1
Into the Breach,PROSPECTS,1,2,2022-10-14,/matches/2359591/into-the-breach-vs-prospects-cct-north-europe-series-1
Entropiq Prague,Sampi,2,0,2022-10-14,/matches/2359607/entropiq-prague-vs-sampi-slovak-national-championship-2022
ENCE,TeamOne,16,5,2022-10-14,/matches/2359543/ence-vs-teamone-esl-challenger-rotterdam-2022
X13,Victorum,1,2,2022-10-14,/matches/2359605/x13-vs-victorum-esl-challenger-league-season-42-north-america-relegation
Red Wolves,BHOP,0,2,2022-10-14,/matches/2359604/red-wolves-vs-bhop-esl-challenger-league-season-42-north-america-relegation
Mythic,Villainous Union,2,0,2022-10-14,/matches/2359603/mythic-vs-villainous-union-esl-challenger-league-season-42-north-america-relegation
