team1,team2,result1,result2,date_of_match,reference
AJF,Meta BR,1,0,2022-09-26,/matches/2359219/ajf-vs-meta-br-liga-gamers-club-2022-serie-a-september-cup
MOB,Ape Gang,2,1,2022-09-26,/matches/2359214/mob-vs-ape-gang-americas-supercup-2022
Daotsu,Corinthians Academy,2,0,2022-09-26,/matches/2359218/daotsu-vs-corinthians-academy-liga-gamers-club-2022-serie-a-september-cup
B8,OneTap,0,2,2022-09-26,/matches/2359196/b8-vs-onetap-esea-advanced-season-42-europe
fnatic Rising,ECLOT,1,2,2022-09-26,/matches/2359151/fnatic-rising-vs-eclot-esea-advanced-season-42-europe
Finest,SINNERS,1,2,2022-09-26,/matches/2358306/finest-vs-sinners-esl-challenger-league-season-42-europe
EC Brugge,HOTU,1,2,2022-09-26,/matches/2359211/ec-brugge-vs-hotu-esea-advanced-season-42-europe
PACT,Sangal,1,2,2022-09-26,/matches/2359152/pact-vs-sangal-esea-advanced-season-42-europe
EYEBALLERS,Aurora,0,2,2022-09-26,/matches/2359150/eyeballers-vs-aurora-esea-advanced-season-42-europe
BLUEJAYS,HEET,2,0,2022-09-26,/matches/2358305/bluejays-vs-heet-esl-challenger-league-season-42-europe
PALOMA,Apeks,1,0,2022-09-26,/matches/2359126/paloma-vs-apeks-esea-advanced-season-42-europe
SKADE X,Sashi,0,2,2022-09-26,/matches/2359142/skade-x-vs-sashi-elisa-invitational-fall-2022
Elemental,Warriors,1,2,2022-09-26,/matches/2359013/elemental-vs-warriors-esl-australia-nz-championship-season-15
SINNERS,Hotspurs,2,1,2022-09-26,/matches/2359141/sinners-vs-hotspurs-elisa-invitational-fall-2022
KRAKEN,Frontier,2,0,2022-09-26,/matches/2359012/kraken-vs-frontier-esl-australia-nz-championship-season-15
Infinity,Take Flyte,2,1,2022-09-26,/matches/2359137/infinity-vs-take-flyte-esea-advanced-season-42-north-america
Iron Blood,Sojoga,2,1,2022-09-26,/matches/2359216/iron-blood-vs-sojoga-esea-autumn-2022-cash-cup-1-north-america
Paquetá,Fluxo,0,2,2022-09-26,/matches/2359202/paquet-vs-fluxo-cct-south-america-series-2
Eros,New Threat,2,0,2022-09-26,/matches/2359175/eros-vs-new-threat-esea-advanced-season-42-north-america
Task Force 141,BHOP,0,2,2022-09-26,/matches/2359217/task-force-141-vs-bhop-esea-autumn-2022-cash-cup-1-north-america
EG Black,Davenport University,2,0,2022-09-26,/matches/2358801/eg-black-vs-davenport-university-esl-challenger-league-season-42-north-america
BHOP,Sojoga,0,2,2022-09-26,/matches/2359194/bhop-vs-sojoga-esea-autumn-2022-cash-cup-1-north-america
Fluxo,ODDIK,2,1,2022-09-26,/matches/2359089/fluxo-vs-oddik-kabum-challenge-cup-2
TeamOne,Nouns,2,1,2022-09-26,/matches/2359197/teamone-vs-nouns-ace-north-american-masters-fall-2022-blast-premier-qualifier
Task Force 141,Iron Blood,0,2,2022-09-26,/matches/2359195/task-force-141-vs-iron-blood-esea-autumn-2022-cash-cup-1-north-america
SINNERS,Eternal Fire,1,2,2022-09-26,/matches/2359111/sinners-vs-eternal-fire-twr-eastern-european-masters-fall-2022-blast-premier-qualifier
