team1,team2,result1,result2,date_of_match,reference
Cryptova,Narcis,2,0,2022-10-13,/matches/2359602/cryptova-vs-narcis-slovak-national-championship-2022
Iron Branch,fnatic Rising,1,2,2022-10-13,/matches/2359598/iron-branch-vs-fnatic-rising-esl-challenger-league-season-42-europe-relegation
ENCE Academy,PROSPECTS,13,16,2022-10-13,/matches/2359442/ence-academy-vs-prospects-weplay-academy-league-season-6
ECLOT,UNGENTIUM,1,2,2022-10-13,/matches/2359597/eclot-vs-ungentium-esl-challenger-league-season-42-europe-relegation
Spirit Academy,PROSPECTS,16,11,2022-10-13,/matches/2359460/spirit-academy-vs-prospects-weplay-academy-league-season-6
ex-SKADE,Monte,2,1,2022-10-13,/matches/2359568/ex-skade-vs-monte-cct-south-europe-series-1
Entropiq Prague,Wolsung,1,2,2022-10-13,/matches/2359586/entropiq-prague-vs-wolsung-cct-central-europe-series-3-closed-qualifier
ECSTATIC,Sangal,0,2,2022-10-13,/matches/2359590/ecstatic-vs-sangal-cct-north-europe-series-1
AGO,SAW,0,2,2022-10-13,/matches/2359596/ago-vs-saw-esl-challenger-league-season-42-europe-relegation
ex-Finest,Aurora,2,0,2022-10-13,/matches/2359595/ex-finest-vs-aurora-esl-challenger-league-season-42-europe-relegation
BLUEJAYS,EYEBALLERS,1,2,2022-10-13,/matches/2359582/bluejays-vs-eyeballers-elisa-invitational-fall-2022
Sampi,eSuba,0,2,2022-10-13,/matches/2359600/sampi-vs-esuba-slovak-national-championship-2022
Flames Ascent,NAVI Junior,12,16,2022-10-13,/matches/2359459/flames-ascent-vs-navi-junior-weplay-academy-league-season-6
MIBR Academy,Astralis Talent,9,16,2022-10-13,/matches/2359458/mibr-academy-vs-astralis-talent-weplay-academy-league-season-6
Tricked,SC,1,2,2022-10-13,/matches/2359589/tricked-vs-sc-cct-north-europe-series-1
IKLA,GoodJob,2,0,2022-10-13,/matches/2359567/ikla-vs-goodjob-cct-south-europe-series-1
Apeks Rebels,NAVI Junior,12,16,2022-10-13,/matches/2359457/apeks-rebels-vs-navi-junior-weplay-academy-league-season-6
ONYX,Illuminar,2,0,2022-10-13,/matches/2359585/onyx-vs-illuminar-cct-central-europe-series-3-closed-qualifier
ECLOT,Enterprise,2,0,2022-10-13,/matches/2359599/eclot-vs-enterprise-slovak-national-championship-2022
BIG Academy,Young Ninjas,12,16,2022-10-13,/matches/2359456/big-academy-vs-young-ninjas-weplay-academy-league-season-6
Sprout,IKLA,2,0,2022-10-13,/matches/2359581/sprout-vs-ikla-elisa-invitational-fall-2022
HAVU,UNGENTIUM,2,0,2022-10-13,/matches/2359588/havu-vs-ungentium-cct-north-europe-series-1
fnatic Rising,Apeks Rebels,16,10,2022-10-13,/matches/2359455/fnatic-rising-vs-apeks-rebels-weplay-academy-league-season-6
Nut-E,God's Work,0,2,2022-10-13,/matches/2359358/nut-e-vs-gods-work-esl-australia-nz-championship-season-15
Copenhagen Flames,BLUEJAYS,2,0,2022-10-13,/matches/2359566/copenhagen-flames-vs-bluejays-cct-south-europe-series-1
HONORIS,Cryptova,2,0,2022-10-13,/matches/2359584/honoris-vs-cryptova-cct-central-europe-series-3-closed-qualifier
Entropiq Prague,GLORE,2,0,2022-10-13,/matches/2359601/entropiq-prague-vs-glore-slovak-national-championship-2022
IKLA,9INE,2,1,2022-10-13,/matches/2359587/ikla-vs-9ine-cct-north-europe-series-1
Meat Grinders,Frontier,1,2,2022-10-13,/matches/2359357/meat-grinders-vs-frontier-esl-australia-nz-championship-season-15
ALTERNATE aTTaX,Tricked,0,2,2022-10-13,/matches/2359565/alternate-attax-vs-tricked-cct-south-europe-series-1
AGO,AVEZ,2,0,2022-10-13,/matches/2359583/ago-vs-avez-cct-central-europe-series-3-closed-qualifier
ECLOT,SINNERS,0,1,2022-10-13,/matches/2359580/eclot-vs-sinners-elisa-invitational-fall-2022
Unjustified,Snakes Den,0,1,2022-10-13,/matches/2359606/unjustified-vs-snakes-den-esl-challenger-league-season-42-north-america-relegation
Unjustified,Red Wolves,1,2,2022-10-13,/matches/2359574/unjustified-vs-red-wolves-esl-challenger-league-season-42-north-america-relegation
Villainous Union,Victorum,2,0,2022-10-13,/matches/2359573/villainous-union-vs-victorum-esl-challenger-league-season-42-north-america-relegation
Mythic,X13,2,1,2022-10-13,/matches/2359572/mythic-vs-x13-esl-challenger-league-season-42-north-america-relegation
Snakes Den,BHOP,0,2,2022-10-13,/matches/2359575/snakes-den-vs-bhop-esl-challenger-league-season-42-north-america-relegation
ECLOT,GLORE,16,13,2022-10-13,/matches/2359536/eclot-vs-glore-slovak-national-championship-2022
WLG,HAVU,0,2,2022-10-13,/matches/2359564/wlg-vs-havu-cct-south-europe-series-1
